        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14]
 1.00e+00,        +4.087207877788e-10,        +4.087207872296e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.959323583392e-13,        +4.793794790913e-04,        +7.318683723847e-12,        +1.790631637176e-02,        +1.959323583392e-13,        +4.793794790913e-04,        +7.318683723847e-12,        +1.790631637176e-02,        +2.828603205080e-12,        +6.920624763061e-03,        +4.292967512855e-12,        +1.050342347879e-02,        +3.968969802242e-10,        +9.710711862275e-01,        +3.652910809000e-10,        +8.937423598540e-01,        +8.748613015173e-12,        +2.140486433958e-02,        +2.949737850525e-11,        +7.216999826504e-02,        +5.065897602741e-14,        +1.239451908055e-04,        +2.320676587703e-12,        +5.677902030461e-03
 2.00e+00,        +4.087207877788e-10,        +4.087207875944e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.961058106275e-13,        +4.798038575263e-04,        +7.321006191365e-12,        +1.791199863960e-02,        +1.961058106275e-13,        +4.798038575263e-04,        +7.321006191365e-12,        +1.791199863960e-02,        +2.830942067147e-12,        +6.926347158734e-03,        +4.295654146629e-12,        +1.050999674353e-02,        +3.968944059770e-10,        +9.710648879250e-01,        +3.652764504024e-10,        +8.937065632318e-01,        +8.748594795042e-12,        +2.140481976115e-02,        +2.950464853445e-11,        +7.218778547602e-02,        +5.073912893046e-14,        +1.241412975499e-04,        +2.323028319563e-12,        +5.683655909050e-03
 3.00e+00,        +4.087207877788e-10,        +4.087207877550e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.461386941238e-12,        +6.022172140093e-03,        +3.861630632935e-12,        +9.448089621636e-03,        +2.461386941238e-12,        +6.022172140093e-03,        +3.861630632935e-12,        +9.448089621636e-03,        +6.404448808068e-12,        +1.566949614399e-02,        +3.424252692022e-12,        +8.377975367562e-03,        +3.986894859845e-10,        +9.754568348511e-01,        +3.551848226423e-10,        +8.690158007211e-01,        +8.530227390736e-13,        +2.087054939656e-03,        +4.386808553468e-11,        +1.073302040144e-01,        +3.124433058835e-13,        +7.644419252113e-04,        +2.381996253109e-12,        +5.827930275316e-03
 4.00e+00,        +4.087207877788e-10,        +4.087207877458e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.463496649777e-12,        +6.027333875444e-03,        +3.863688078133e-12,        +9.453123486678e-03,        +2.463496649777e-12,        +6.027333875444e-03,        +3.863688078133e-12,        +9.453123486678e-03,        +6.410790017204e-12,        +1.568501091428e-02,        +3.427798821616e-12,        +8.386651534220e-03,        +3.986802403082e-10,        +9.754342138427e-01,        +3.551675049477e-10,        +8.689734302641e-01,        +8.534946925893e-13,        +2.088209648517e-03,        +4.387599271401e-11,        +1.073495501807e-01,        +3.127661110461e-13,        +7.652317190565e-04,        +2.385803184311e-12,        +5.837244534267e-03
 5.00e+00,        +4.087207877788e-10,        +4.087207875031e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.686305065341e-12,        +4.125811839679e-03,        +2.435313196334e-14,        +5.958378606608e-05,        +1.686305065341e-12,        +4.125811839679e-03,        +2.435313196334e-14,        +5.958378606608e-05,        +1.554170630252e-11,        +3.802524062205e-02,        +6.783515245189e-13,        +1.659694209984e-03,        +3.854885678452e-10,        +9.431587023997e-01,        +3.507510148279e-10,        +8.581677897292e-01,        +4.856574762639e-12,        +1.188237767164e-02,        +5.713748647154e-11,        +1.397958905408e-01,        +1.147633803072e-12,        +2.807867466955e-03,        +1.295815471554e-13,        +3.170417339109e-04
 6.00e+00,        +4.087207877788e-10,        +4.087207883181e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.662800790571e-11,        +4.068304916928e-02,        +3.187044679290e-13,        +7.797608466172e-04,        +1.662800790571e-11,        +4.068304916928e-02,        +3.187044679290e-13,        +7.797608466172e-04,        +9.972271590986e-11,        +2.439873842772e-01,        +4.606723565980e-12,        +1.127107721860e-02,        +2.799992942086e-10,        +6.850625233189e-01,        +3.708444354404e-10,        +9.073295169704e-01,        +7.836604679459e-12,        +1.917349181589e-02,        +3.232337962151e-11,        +7.908425640527e-02,        +4.534165075126e-12,        +1.109355141873e-02,        +6.275452222710e-13,        +1.535388559152e-03
 7.00e+00,        +4.087207877788e-10,        +4.087207871076e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.794518302698e-14,        +4.390572626487e-05,        +3.228026074781e-14,        +7.897875950046e-05,        +1.794518302698e-14,        +4.390572626487e-05,        +3.228026074781e-14,        +7.897875950046e-05,        +9.341058647932e-14,        +2.285437620801e-04,        +5.921337890427e-14,        +1.448748895873e-04,        +4.077818874402e-10,        +9.977028319413e-01,        +3.748535136173e-10,        +9.171383630130e-01,        +8.251685965039e-13,        +2.018905377895e-03,        +3.375812725265e-11,        +8.259459346696e-02,        +2.375972584343e-15,        +5.813192417386e-06,        +1.765259803394e-14,        +4.318987091130e-05
 8.00e+00,        +4.087207877788e-10,        +4.087207879411e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.907524293796e-14,        +4.667059642753e-05,        +3.235439582078e-14,        +7.916014251139e-05,        +1.907524293796e-14,        +4.667059642753e-05,        +3.235439582078e-14,        +7.916014251139e-05,        +1.004780592296e-13,        +2.458354510806e-04,        +5.961245561706e-14,        +1.458512935379e-04,        +4.077726616802e-10,        +9.976802596614e-01,        +3.748394021772e-10,        +9.171038352744e-01,        +8.258448809961e-13,        +2.020560014782e-03,        +3.377170625798e-11,        +8.262781648103e-02,        +2.727915451405e-15,        +6.674276261380e-06,        +1.771265451116e-14,        +4.333680848577e-05
 9.00e+00,        +4.087207877788e-10,        +4.087207876291e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.611057247043e-15,        +8.835022232824e-06,        +2.225267760145e-13,        +5.444469250154e-04,        +3.611057247043e-15,        +8.835022232824e-06,        +2.225267760145e-13,        +5.444469250154e-04,        +9.111750402712e-14,        +2.229333734707e-04,        +2.881096715615e-13,        +7.049058435044e-04,        +3.988999390939e-10,        +9.759717416424e-01,        +3.751657483975e-10,        +9.179022935773e-01,        +9.725144852897e-12,        +2.379410380800e-02,        +3.297924712563e-11,        +8.068894003884e-02,        +9.752706892177e-16,        +2.386153869290e-06,        +6.515565843833e-14,        +1.594136153835e-04
 1.00e+01,        +4.087207877788e-10,        +4.087207876131e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.557765169648e-15,        +8.704634743398e-06,        +2.227015711234e-13,        +5.448745888947e-04,        +3.557765169648e-15,        +8.704634743398e-06,        +2.227015711234e-13,        +5.448745888947e-04,        +9.086577004826e-14,        +2.223174665083e-04,        +2.883283117174e-13,        +7.054407812269e-04,        +3.989031307538e-10,        +9.759795505427e-01,        +3.751562753631e-10,        +9.178791163376e-01,        +9.722276328169e-12,        +2.378708550893e-02,        +3.298826172624e-11,        +8.071099568704e-02,        +9.571616175859e-16,        +2.341847163653e-06,        +6.522064089418e-14,        +1.595726052376e-04
 1.10e+01,        +4.087207877788e-10,        +4.087207875441e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163170810434e-12,        +5.292539247123e-03,        +7.056940918714e-12,        +1.726592122000e-02,        +2.163170810434e-12,        +5.292539247123e-03,        +7.056940918714e-12,        +1.726592122000e-02,        +9.031963386466e-12,        +2.209812580258e-02,        +6.053035424360e-12,        +1.480970777320e-02,        +3.870737866520e-10,        +9.470371907326e-01,        +3.338580860249e-10,        +8.168365696076e-01,        +1.003648270599e-11,        +2.455584106826e-02,        +5.689424785540e-11,        +1.392007688115e-01,        +4.153842238697e-13,        +1.016303149461e-03,        +4.858477320794e-12,        +1.188703258767e-02
 1.20e+01,        +4.087207877788e-10,        +4.087207876374e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163294548300e-12,        +5.292841991367e-03,        +7.058812776870e-12,        +1.727050101286e-02,        +2.163294548300e-12,        +5.292841991367e-03,        +7.058812776870e-12,        +1.727050101286e-02,        +9.033490971196e-12,        +2.210186328004e-02,        +6.054207492029e-12,        +1.481257541860e-02,        +3.870748722875e-10,        +9.470398469113e-01,        +3.338670509879e-10,        +8.168585036201e-01,        +1.003384825675e-11,        +2.454939547185e-02,        +5.688025846599e-11,        +1.391665415277e-01,        +4.152817150637e-13,        +1.016052345467e-03,        +4.860457914601e-12,        +1.189187842071e-02
 1.30e+01,        +4.087207877788e-10,        +4.087207882282e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.861413365533e-13,        +7.000900005805e-04,        +1.207824483885e-11,        +2.955133476623e-02,        +2.861413365533e-13,        +7.000900005805e-04,        +1.207824483885e-11,        +2.955133476623e-02,        +3.533935301565e-12,        +8.646331205149e-03,        +4.689555112598e-12,        +1.147373769004e-02,        +4.040292286931e-10,        +9.885213592605e-01,        +3.629988278177e-10,        +8.881339982516e-01,        +8.415493216307e-13,        +2.058983410666e-03,        +2.752072600705e-11,        +6.733380537446e-02,        +2.993312594468e-14,        +7.323612314253e-05,        +1.433434452059e-12,        +3.507123917707e-03
