        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14]
 1.00e+00,        +4.087207877788e-10,        +4.087207876656e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.389480399377e-12,        +1.807953160282e-02,        +3.632510251992e-14,        +8.887510402246e-05,        +7.389480399377e-12,        +1.807953160282e-02,        +3.632510251992e-14,        +8.887510402246e-05,        +4.597801586253e-12,        +1.124924820007e-02,        +5.009250945394e-14,        +1.225592408452e-04,        +3.679325371615e-10,        +9.002050988427e-01,        +3.809292222799e-10,        +9.320035431902e-01,        +2.675166374121e-11,        +6.545217307540e-02,        +2.769594454251e-11,        +6.776250530512e-02,        +2.049304890469e-12,        +5.013948278986e-03,        +9.203231295191e-15,        +2.251715981405e-05
 2.00e+00,        +4.087207877788e-10,        +4.087207873203e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.516947405845e-13,        +3.711451561075e-04,        +6.047876759217e-12,        +1.479708629177e-02,        +1.516947405845e-13,        +3.711451561075e-04,        +6.047876759217e-12,        +1.479708629177e-02,        +2.076069832100e-13,        +5.079432938517e-04,        +3.694479768074e-12,        +9.039128624450e-03,        +3.806168916990e-10,        +9.312393768066e-01,        +3.703426394801e-10,        +9.061017960652e-01,        +2.770612407202e-11,        +6.778741111405e-02,        +2.695682517495e-11,        +6.595413301998e-02,        +3.847028393816e-14,        +9.412362935398e-05,        +1.678966137929e-12,        +4.107855998557e-03
 3.00e+00,        +4.087207877788e-10,        +4.087207881866e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.517999265034e-13,        +3.714025100812e-04,        +6.049527886476e-12,        +1.480112600418e-02,        +1.517999265034e-13,        +3.714025100812e-04,        +6.049527886476e-12,        +1.480112600418e-02,        +2.077697645693e-13,        +5.083415641725e-04,        +3.696589237374e-12,        +9.044289755300e-03,        +3.806139666038e-10,        +9.312322200990e-01,        +3.703291455284e-10,        +9.060687790594e-01,        +2.770876787524e-11,        +6.779387959646e-02,        +2.696496532714e-11,        +6.597404904892e-02,        +3.848360863763e-14,        +9.415623033704e-05,        +1.680560207204e-12,        +4.111756132250e-03
 4.00e+00,        +4.087207877788e-10,        +4.087207876327e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.100266246435e-12,        +1.247860739884e-02,        +2.627795335801e-12,        +6.429316578246e-03,        +5.100266246435e-12,        +1.247860739884e-02,        +2.627795335801e-12,        +6.429316578246e-03,        +2.365261640628e-12,        +5.786986400868e-03,        +2.302765887311e-12,        +5.634080665797e-03,        +4.005394875700e-10,        +9.799831560971e-01,        +3.590616233847e-10,        +8.785010066759e-01,        +2.067627973651e-13,        +5.058778597702e-04,        +4.327941056114e-11,        +1.058899176913e-01,        +5.090095243948e-13,        +1.245372243387e-03,        +1.449192463753e-12,        +3.545678388777e-03
 5.00e+00,        +4.087207877788e-10,        +4.087207864760e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.104386950478e-12,        +1.248868935250e-02,        +2.628830088136e-12,        +6.431848281566e-03,        +5.104386950478e-12,        +1.248868935250e-02,        +2.628830088136e-12,        +6.431848281566e-03,        +2.367200709422e-12,        +5.791730639117e-03,        +2.304710505057e-12,        +5.638838496393e-03,        +4.005330858646e-10,        +9.799674933132e-01,        +3.590471803905e-10,        +8.784656720941e-01,        +2.066365380189e-13,        +5.055689463260e-04,        +4.328894043847e-11,        +1.059132343420e-01,        +5.094777162867e-13,        +1.246517748842e-03,        +1.451125053864e-12,        +3.550406785953e-03
 6.00e+00,        +4.087207877788e-10,        +4.087207877449e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.772578480325e-12,        +4.336893383765e-03,        +2.844355630105e-14,        +6.959165560915e-05,        +1.772578480325e-12,        +4.336893383765e-03,        +2.844355630105e-14,        +6.959165560915e-05,        +1.552227882003e-12,        +3.797770821588e-03,        +5.268839376231e-14,        +1.289104820261e-04,        +3.882185232087e-10,        +9.498379696282e-01,        +3.533783795333e-10,        +8.645960521926e-01,        +1.621156031665e-11,        +3.966414432883e-02,        +5.524681557924e-11,        +1.351700653252e-01,        +9.658978911536e-13,        +2.363221837585e-03,        +1.446068230124e-14,        +3.538034456487e-05
 7.00e+00,        +4.087207877788e-10,        +4.087207863345e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.081031527352e-14,        +1.732486269131e-04,        +2.704970669813e-14,        +6.618138250495e-05,        +7.081031527352e-14,        +1.732486269131e-04,        +2.704970669813e-14,        +6.618138250495e-05,        +7.583229472232e-14,        +1.855356932894e-04,        +4.997707237435e-14,        +1.222768061848e-04,        +4.083558807471e-10,        +9.991071972783e-01,        +3.759405285229e-10,        +9.197979185114e-01,        +2.119467293955e-13,        +5.185611687316e-04,        +3.268953486139e-11,        +7.998011345239e-02,        +6.317692334857e-15,        +1.545723272161e-05,        +1.369617123393e-14,        +3.350984753373e-05
 8.00e+00,        +4.087207877788e-10,        +4.087207860998e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.090516052291e-14,        +1.734806808047e-04,        +2.709199405910e-14,        +6.628484525493e-05,        +7.090516052291e-14,        +1.734806808047e-04,        +2.709199405910e-14,        +6.628484525493e-05,        +7.595686002576e-14,        +1.858404619901e-04,        +5.004062641443e-14,        +1.224323012586e-04,        +4.083557234598e-10,        +9.991068124502e-01,        +3.759274461488e-10,        +9.197659109438e-01,        +2.118627604099e-13,        +5.183557253383e-04,        +3.270249824138e-11,        +8.001183045628e-02,        +6.339538027316e-15,        +1.551068166062e-05,        +1.370908922525e-14,        +3.354145346036e-05
 9.00e+00,        +4.087207877788e-10,        +4.087207872820e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.868897964638e-15,        +7.019212260353e-06,        +1.891476647527e-13,        +4.627796545670e-04,        +2.868897964638e-15,        +7.019212260353e-06,        +1.891476647527e-13,        +4.627796545670e-04,        +6.796747617861e-15,        +1.662931717958e-05,        +2.563641733453e-13,        +6.272354656834e-04,        +3.808827770052e-10,        +9.318899072277e-01,        +3.804410120362e-10,        +9.308090605476e-01,        +2.782767467209e-11,        +6.808480386651e-02,        +2.778622067379e-11,        +6.798338019109e-02,        +6.704559161564e-16,        +1.640376355213e-06,        +4.804273388755e-14,        +1.175441410921e-04
 1.00e+01,        +4.087207877788e-10,        +4.087207875829e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.845820984679e-15,        +6.962750781885e-06,        +1.892882413432e-13,        +4.631235970713e-04,        +2.845820984679e-15,        +6.962750781885e-06,        +1.892882413432e-13,        +4.631235970713e-04,        +6.789926153842e-15,        +1.661262738982e-05,        +2.565746404796e-13,        +6.277504063273e-04,        +3.808875694216e-10,        +9.319016326318e-01,        +3.804329475597e-10,        +9.307893288460e-01,        +2.782291789736e-11,        +6.807316566541e-02,        +2.779388497509e-11,        +6.800213206539e-02,        +6.647126828760e-16,        +1.626324627354e-06,        +4.809216628478e-14,        +1.176650851775e-04
