        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.111364249315e+00,        +1.149314088849e-12,        +4.834902226022e+11,        +4.407224503925e-11,        +7.519476172246e-07
 2.00e+00,        +1.770841514347e+00,        +1.927088261140e-11,        +4.594604071998e+10,        +6.611696874670e-11,        +1.128834883288e-06
 3.00e+00,        +1.771002027134e+00,        -4.004769327417e-11,        +2.211116149698e+10,        +5.022995419838e-11,        +8.575912822184e-07
 4.00e+00,        +1.895097863554e+00,        -1.832308739407e-11,        +5.171338821883e+10,        +8.072285032319e-11,        +1.378429822499e-06
 5.00e+00,        +1.895267371626e+00,        +6.112219663379e-11,        +1.550392063771e+10,        +1.041782686509e-10,        +1.778956822679e-06
 6.00e+00,        +2.025665841183e+00,        -1.480028986716e-10,        +6.843331648787e+09,        +1.748801830325e-10,        +2.986814120903e-06
 7.00e+00,        +2.204617255764e+00,        +7.386763329667e-11,        +1.492275545711e+10,        +2.220776902214e-10,        +3.793935574403e-06
 8.00e+00,        +2.204978271534e+00,        -1.465679229756e-10,        +7.522035609050e+09,        +2.614939591429e-10,        +4.467318608635e-06
 9.00e+00,        +2.373556467658e+00,        -4.028216250654e-10,        +2.946163164991e+09,        +1.151965271981e-10,        +1.968540452571e-06
 1.00e+01,        +2.373982407522e+00,        -2.471676277876e-10,        +4.802373249224e+09,        +1.204057346150e-10,        +2.057559686856e-06
 1.10e+01,        +2.450191638088e+00,        -3.073618632261e-10,        +3.985841985032e+09,        +1.500870406107e-10,        +2.565106874698e-06
 1.20e+01,        +2.450292559558e+00,        +2.836594712219e-10,        +4.319074115529e+09,        +9.325113370740e-11,        +1.593736310624e-06
 1.30e+01,        +2.450702796597e+00,        +1.122343118909e-11,        +1.091779668494e+11,        +7.674761780945e-11,        +1.311678991780e-06
 1.40e+01,        +2.552156879402e+00,        -2.147686119395e-09,        +5.941643092895e+08,        +3.876071415426e-10,        +6.625720450011e-06
 1.50e+01,        +2.576626981031e+00,        +1.007699458109e-10,        +1.278469964579e+10,        +1.311826846844e-10,        +2.242525061392e-06
 1.60e+01,        +2.577257717461e+00,        -3.339488872898e-10,        +3.858760749851e+09,        +2.522746178674e-10,        +4.312557031551e-06
 1.70e+01,        +2.915616532459e+00,        +5.181925963609e-10,        +2.813255682284e+09,        +1.369484014686e-10,        +2.342643654630e-06
 1.80e+01,        +2.915969471996e+00,        -1.595378923508e-10,        +9.138799030840e+09,        +2.112992073007e-10,        +3.614493526467e-06
 1.90e+01,        +2.949107227922e+00,        -7.409953642226e-10,        +1.989963345463e+09,        +1.540252192531e-10,        +2.634944803123e-06
 2.00e+01,        +2.949631964387e+00,        -4.617177596722e-10,        +3.194193749966e+09,        +9.931147703088e-11,        +1.698946123363e-06
 2.10e+01,        +2.985108329428e+00,        -5.845060420474e-10,        +2.553530771873e+09,        +1.707743277921e-10,        +2.921698233499e-06
 2.20e+01,        +2.986133030746e+00,        -1.077968446850e-09,        +1.385074414503e+09,        +2.102428455004e-10,        +3.596954521977e-06
 2.30e+01,        +2.991308434345e+00,        -4.316958260673e-10,        +3.464601987926e+09,        +1.199531218547e-10,        +2.052249068449e-06
 2.40e+01,        +2.991970927302e+00,        -2.075930903305e-10,        +7.206335534912e+09,        +1.192710491979e-10,        +2.040582535999e-06
 2.50e+01,        +3.062470486588e+00,        -4.094360864828e-10,        +3.739863910013e+09,        +3.724663775765e-10,        +6.373416471413e-06
 2.60e+01,        +3.244426806405e+00,        -1.502941889873e-09,        +1.079358699184e+09,        +1.571091309794e-10,        +2.689455157660e-06
 2.70e+01,        +3.244627839321e+00,        -7.525596496549e-10,        +2.155728014921e+09,        +1.785302154996e-10,        +3.056151027701e-06
