        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.191385568868e+00,        -6.204883873197e-12,        +9.600385705961e+10,        +2.321013255964e-11,        +8.872369696831e-06
 2.00e+00,        +1.583624388375e+00,        +6.904410397681e-11,        +1.146820870401e+10,        +1.009278324809e-11,        +3.861073695058e-06
 3.00e+00,        +1.583765516909e+00,        +2.706822846896e-11,        +2.925506408232e+10,        +6.308062664914e-12,        +2.413199802200e-06
 4.00e+00,        +1.705484066869e+00,        -1.021016720557e-10,        +8.351890975588e+09,        +7.373651954527e-11,        +2.821649866364e-05
 5.00e+00,        +2.052172967353e+00,        +3.703577839022e-11,        +2.770527658054e+10,        +1.995197393886e-11,        +7.641999619858e-06
 6.00e+00,        +2.052295835880e+00,        -1.117953896295e-10,        +9.178803538688e+09,        +1.967175720027e-11,        +7.534673770645e-06
 7.00e+00,        +2.091741723156e+00,        +2.384320071910e-10,        +4.386453286618e+09,        +6.116965554178e-11,        +2.343190404694e-05
 8.00e+00,        +2.092277307966e+00,        -5.594296158943e-11,        +1.870009424350e+10,        +1.090883786561e-11,        +4.178791678155e-06
 9.00e+00,        +2.347204645947e+00,        -4.311885370691e-10,        +2.721784607149e+09,        +2.214381720116e-11,        +8.489311079551e-06
 1.00e+01,        +2.347422062433e+00,        +1.382961969153e-10,        +8.486936426281e+09,        +1.331602335394e-11,        +5.104989133702e-06
 1.10e+01,        +2.434406600396e+00,        +4.448471793940e-10,        +2.736227982509e+09,        +9.835984647396e-12,        +3.771949279338e-06
 1.20e+01,        +2.519539706295e+00,        -1.946357072164e-10,        +6.472449845734e+09,        +2.098479115778e-10,        +8.049745024037e-05
 1.30e+01,        +2.626165771343e+00,        -3.466689767573e-11,        +3.787713853008e+10,        +1.610887160612e-11,        +6.181743336895e-06
 1.40e+01,        +2.626982003404e+00,        +6.409837163818e-11,        +2.049179984035e+10,        +1.240344392341e-11,        +4.759808195875e-06
 1.50e+01,        +2.634736461714e+00,        +1.872347895438e-10,        +7.035915889707e+09,        +1.430413352504e-11,        +5.489354006460e-06
 1.60e+01,        +2.634912510456e+00,        -1.661731134842e-10,        +7.928215507340e+09,        +2.619129880140e-11,        +1.005117891182e-05
 1.70e+01,        +2.751630886932e+00,        +5.720189994171e-10,        +2.405191864025e+09,        +9.065628618597e-11,        +3.480572991317e-05
 1.80e+01,        +2.761822861509e+00,        +1.289034969679e-11,        +1.071275382931e+11,        +2.208155145403e-11,        +8.478121545885e-06
 1.90e+01,        +2.762205551544e+00,        -3.704314215337e-11,        +3.728362918172e+10,        +1.698705846106e-11,        +6.522121492296e-06
 2.00e+01,        +2.795887368868e+00,        +4.126593605090e-11,        +3.387645642425e+10,        +1.718667058058e-10,        +6.599634160656e-05
 2.10e+01,        +2.978717432825e+00,        +1.153448079853e-10,        +1.291223022889e+10,        +7.531572889372e-12,        +2.894259031373e-06
 2.20e+01,        +2.979035490166e+00,        -8.069129884797e-12,        +1.845945927688e+11,        +8.230317328634e-12,        +3.162779203537e-06
 2.30e+01,        +3.007028310901e+00,        -3.707862019166e-10,        +4.054935560382e+09,        +2.406342683454e-11,        +9.248282930913e-06
 2.40e+01,        +3.007384069968e+00,        -1.120268506572e-10,        +1.342260383259e+10,        +1.530981664158e-11,        +5.884021864652e-06
 2.50e+01,        +3.104015195820e+00,        -2.269138972986e-10,        +6.839632196998e+09,        +2.517941266666e-11,        +9.681235108322e-06
