        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14]
 1.00e+00,        +3.568936291196e-10,        +3.568936291652e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.362793920348e-12,        +2.343217484990e-02,        +5.832197368687e-14,        +1.634155639687e-04,        +8.362793920348e-12,        +2.343217484990e-02,        +5.832197368687e-14,        +1.634155639687e-04,        +5.857670563533e-12,        +1.641293115258e-02,        +8.913179127347e-14,        +2.497432960122e-04,        +3.226404126464e-10,        +9.040240181430e-01,        +3.388872723041e-10,        +9.495469927461e-01,        +1.698373221534e-11,        +4.758765870167e-02,        +1.783936889392e-11,        +4.998511443212e-02,        +3.049019774025e-12,        +8.543217152813e-03,        +1.953420224938e-14,        +5.473396175514e-05
 2.00e+00,        +3.568936291196e-10,        +3.568936290145e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.730082807055e-12,        +1.605543596054e-02,        +2.291434221596e-12,        +6.420496291635e-03,        +5.730082807055e-12,        +1.605543596054e-02,        +2.291434221596e-12,        +6.420496291635e-03,        +3.064892591250e-12,        +8.587692077358e-03,        +2.214193613170e-12,        +6.204071558476e-03,        +3.469942628289e-10,        +9.722624180344e-01,        +3.299832890945e-10,        +9.245984300860e-01,        +7.191777239961e-14,        +2.015103844162e-04,        +2.093627338821e-11,        +5.866250245493e-02,        +1.032473119993e-12,        +2.892943543262e-03,        +1.468438697023e-12,        +4.114499608966e-03
 3.00e+00,        +3.568936291196e-10,        +3.568936290439e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.731800044150e-12,        +1.606024758214e-02,        +2.292065029844e-12,        +6.422263787628e-03,        +5.731800044150e-12,        +1.606024758214e-02,        +2.292065029844e-12,        +6.422263787628e-03,        +3.065744118763e-12,        +8.590078019396e-03,        +2.214827713960e-12,        +6.205848280041e-03,        +3.469914420982e-10,        +9.722545144731e-01,        +3.299806761973e-10,        +9.245911087886e-01,        +7.190667159068e-14,        +2.014792804457e-04,        +2.093724977389e-11,        +5.866523823912e-02,        +1.032736186895e-12,        +2.893680644965e-03,        +1.468810328937e-12,        +4.115540904643e-03
 4.00e+00,        +3.568936291196e-10,        +3.568936292102e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.536817768580e-12,        +9.910005334934e-03,        +4.622185068981e-14,        +1.295115600469e-04,        +3.536817768580e-12,        +9.910005334934e-03,        +4.622185068981e-14,        +1.295115600469e-04,        +3.397355154729e-12,        +9.519237323203e-03,        +9.305720026652e-14,        +2.607421165585e-04,        +3.297281102863e-10,        +9.238834301964e-01,        +3.210996504031e-10,        +8.997068709624e-01,        +1.796620534346e-11,        +5.034050450209e-02,        +3.562714757069e-11,        +9.982567536869e-02,        +2.265140566589e-12,        +6.346822643421e-03,        +2.755218541862e-14,        +7.719999227667e-05
 5.00e+00,        +3.568936291196e-10,        +3.568936291600e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.124397992521e-13,        +3.150512928164e-04,        +2.686075501339e-14,        +7.526263519082e-05,        +1.124397992521e-13,        +3.150512928164e-04,        +2.686075501339e-14,        +7.526263519082e-05,        +1.354361053071e-13,        +3.794859147281e-04,        +5.394150809008e-14,        +1.511416951237e-04,        +3.565530859406e-10,        +9.990458132306e-01,        +3.440607688450e-10,        +9.640428988738e-01,        +7.428081644493e-14,        +2.081315282320e-04,        +1.273627204596e-11,        +3.568646511269e-02,        +1.838645798976e-14,        +5.151803363685e-05,        +1.578600593214e-14,        +4.423168317488e-05
 6.00e+00,        +3.568936291196e-10,        +3.568936291766e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.126669323055e-13,        +3.156877094821e-04,        +2.689964651509e-14,        +7.537160743708e-05,        +1.126669323055e-13,        +3.156877094821e-04,        +2.689964651509e-14,        +7.537160743708e-05,        +1.356673786271e-13,        +3.801339322357e-04,        +5.398887720551e-14,        +1.512744212612e-04,        +3.565526062380e-10,        +9.990444691251e-01,        +3.440540451048e-10,        +9.640240592095e-01,        +7.428785626811e-14,        +2.081512535019e-04,        +1.274290340883e-11,        +3.570504589346e-02,        +1.840071446527e-14,        +5.155797964413e-05,        +1.579213921426e-14,        +4.424886835525e-05
 7.00e+00,        +3.568936291196e-10,        +3.568936290203e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.426773041939e-13,        +6.799709616349e-04,        +6.802343968175e-12,        +1.905986382230e-02,        +2.426773041939e-13,        +6.799709616349e-04,        +6.802343968175e-12,        +1.905986382230e-02,        +3.670096597075e-13,        +1.028344665644e-03,        +4.648735839608e-12,        +1.302555008440e-02,        +3.383521853163e-10,        +9.480477030395e-01,        +3.257657012092e-10,        +9.127809372877e-01,        +1.785035992054e-11,        +5.001591080392e-02,        +1.719045352820e-11,        +4.816688259576e-02,        +8.139691888738e-14,        +2.280705292727e-04,        +2.486394475166e-12,        +6.966766209839e-03
 8.00e+00,        +3.568936291196e-10,        +3.568936290814e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.427866559784e-13,        +6.802773604486e-04,        +6.804114690672e-12,        +1.906482530435e-02,        +2.427866559784e-13,        +6.802773604486e-04,        +6.804114690672e-12,        +1.906482530435e-02,        +3.671374143789e-13,        +1.028702628524e-03,        +4.649619630331e-12,        +1.302802642428e-02,        +3.383476327540e-10,        +9.480349469634e-01,        +3.257560960207e-10,        +9.127540238225e-01,        +1.785467100449e-11,        +5.002799026852e-02,        +1.719704847602e-11,        +4.818536133660e-02,        +8.140129079180e-14,        +2.280827791535e-04,        +2.486750263731e-12,        +6.967763112307e-03
 9.00e+00,        +3.568936291196e-10,        +3.568936291146e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.278175826644e-12,        +6.383346859578e-03,        +5.407667505609e-12,        +1.515204269414e-02,        +2.278175826644e-12,        +6.383346859578e-03,        +5.407667505609e-12,        +1.515204269414e-02,        +1.387902530383e-12,        +3.888840867815e-03,        +5.055634377152e-12,        +1.416566159977e-02,        +3.264262072546e-10,        +9.146316454564e-01,        +3.087006432764e-10,        +8.649654073182e-01,        +2.633015095111e-11,        +7.377590632834e-02,        +3.424398833148e-11,        +9.595012501747e-02,        +4.711925569032e-13,        +1.320260487881e-03,        +3.485695623957e-12,        +9.766763370377e-03
 1.00e+01,        +3.568936291196e-10,        +3.568936290416e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.281996594914e-12,        +6.394052481529e-03,        +5.403071820774e-12,        +1.513916579369e-02,        +2.281996594914e-12,        +6.394052481529e-03,        +5.403071820774e-12,        +1.513916579369e-02,        +1.388786992093e-12,        +3.891319090001e-03,        +5.053883417759e-12,        +1.416075549270e-02,        +3.263797439996e-10,        +9.145014574923e-01,        +3.086586571419e-10,        +8.648477642226e-01,        +2.637255714737e-11,        +7.389472659521e-02,        +3.429241790354e-11,        +9.608582253383e-02,        +4.705443856272e-13,        +1.318444340931e-03,        +3.485598757620e-12,        +9.766491957226e-03
 1.10e+01,        +3.568936291196e-10,        +3.568936290777e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.971141081320e-13,        +8.325004536083e-04,        +1.223687029041e-11,        +3.428716371888e-02,        +2.971141081320e-13,        +8.325004536083e-04,        +1.223687029041e-11,        +3.428716371888e-02,        +3.533667559721e-13,        +9.901178590490e-04,        +6.398578079504e-12,        +1.792852984246e-02,        +3.560770884590e-10,        +9.977120895584e-01,        +3.266831191365e-10,        +9.153515011760e-01,        +1.173984745487e-13,        +3.289452794053e-04,        +9.340969886453e-12,        +2.617298019746e-02,        +4.866132196773e-14,        +1.363468495859e-04,        +2.234091684902e-12,        +6.259825065176e-03
 1.20e+01,        +3.568936291196e-10,        +3.568936292355e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.209030189545e-15,        +6.189603874392e-06,        +3.508950061013e-16,        +9.831921260487e-07,        +2.209030189545e-15,        +6.189603874392e-06,        +3.508950061013e-16,        +9.831921260487e-07,        +4.646872207185e-15,        +1.302032826601e-05,        +1.159775698660e-15,        +3.249639678758e-06,        +3.568083866025e-10,        +9.997611542764e-01,        +3.487538572261e-10,        +9.771927225857e-01,        +7.805233218869e-14,        +2.186991468052e-04,        +8.138079280509e-12,        +2.280253446368e-02,        +3.342825269943e-16,        +9.366447022854e-07,        +1.820581510668e-16,        +5.101188033443e-07
 1.30e+01,        +3.568936291196e-10,        +3.568936292213e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.197751442092e-15,        +6.158001328052e-06,        +3.552697012298e-16,        +9.954498263391e-07,        +2.197751442092e-15,        +6.158001328052e-06,        +3.552697012298e-16,        +9.954498263391e-07,        +4.645461286878e-15,        +1.301637493036e-05,        +1.166060528606e-15,        +3.267249491537e-06,        +3.568087858343e-10,        +9.997622729060e-01,        +3.487438006727e-10,        +9.771645446114e-01,        +7.766640414150e-14,        +2.176177936633e-04,        +8.148121371617e-12,        +2.283067195510e-02,        +3.336684550143e-16,        +9.349241000388e-07,        +1.858467218739e-16,        +5.207342094601e-07
 1.40e+01,        +3.568936291196e-10,        +3.568936292319e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.274410627867e-12,        +1.197670756525e-02,        +4.522505210877e-12,        +1.267185749606e-02,        +4.274410627867e-12,        +1.197670756525e-02,        +4.522505210877e-12,        +1.267185749606e-02,        +3.485524111649e-12,        +9.766282800416e-03,        +2.789399282861e-12,        +7.815772135984e-03,        +3.467375941413e-10,        +9.715432438415e-01,        +3.187099234407e-10,        +8.930109627526e-01,        +2.888817753098e-13,        +8.094338249255e-04,        +2.969521196911e-11,        +8.320465689741e-02,        +2.107218463552e-12,        +5.904331967904e-03,        +1.176589328389e-12,        +3.296750717913e-03
 1.50e+01,        +3.568936291196e-10,        +3.568936291608e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.279179825063e-12,        +1.199007064267e-02,        +4.527641736032e-12,        +1.268624981252e-02,        +4.279179825063e-12,        +1.199007064267e-02,        +4.527641736032e-12,        +1.268624981252e-02,        +3.486716181617e-12,        +9.769622927195e-03,        +2.790062152130e-12,        +7.817629467611e-03,        +3.467318647650e-10,        +9.715271903852e-01,        +3.187074640797e-10,        +8.930040719109e-01,        +2.893401174126e-13,        +8.107180790151e-04,        +2.969318064717e-11,        +8.319896524069e-02,        +2.106528230558e-12,        +5.902397965899e-03,        +1.175280545796e-12,        +3.293083568231e-03
 1.60e+01,        +3.568936291196e-10,        +3.568936290143e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.359283042212e-14,        +3.808650340902e-05,        +3.000115969918e-13,        +8.406190881590e-04,        +1.359283042212e-14,        +3.808650340902e-05,        +3.000115969918e-13,        +8.406190881590e-04,        +2.121004182621e-14,        +5.942958936681e-05,        +4.472192103418e-13,        +1.253088242502e-03,        +3.389114020812e-10,        +9.496146034247e-01,        +3.380525090291e-10,        +9.472080237543e-01,        +1.794365939042e-11,        +5.027733174918e-02,        +1.799324965262e-11,        +5.041628146267e-02,        +3.764775728786e-15,        +1.054873335249e-05,        +1.006395251965e-13,        +2.819874523243e-04
 1.70e+01,        +3.568936291196e-10,        +3.568936291423e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.507889782521e-14,        +7.026995098532e-05,        +2.988043410132e-13,        +8.372364105554e-04,        +2.507889782521e-14,        +7.026995098532e-05,        +2.988043410132e-13,        +8.372364105554e-04,        +2.858444399571e-14,        +8.009233469989e-05,        +4.459227652961e-13,        +1.249455660970e-03,        +3.389230840077e-10,        +9.496473356605e-01,        +3.379191934771e-10,        +9.468344791954e-01,        +1.790993117002e-11,        +5.018282678286e-02,        +1.812919824416e-11,        +5.079720332282e-02,        +6.950600138806e-15,        +1.947527098186e-05,        +1.005103147138e-13,        +2.816254102246e-04
 1.80e+01,        +3.568936291196e-10,        +3.568936293836e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.035804508249e-12,        +5.704233256478e-03,        +6.746367788422e-14,        +1.890302104880e-04,        +2.035804508249e-12,        +5.704233256478e-03,        +6.746367788422e-14,        +1.890302104880e-04,        +1.289646220309e-12,        +3.613531077845e-03,        +9.188105182814e-14,        +2.574466010694e-04,        +3.452635676463e-10,        +9.674130874735e-01,        +3.214178199302e-10,        +9.005983673213e-01,        +7.768014924403e-12,        +2.176563068263e-02,        +3.529988102290e-11,        +9.890868907880e-02,        +5.365958204143e-13,        +1.503517509511e-03,        +1.658370072872e-14,        +4.646678831832e-05
 1.90e+01,        +3.568936291196e-10,        +3.568936291218e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.872458677227e-14,        +2.486023272288e-04,        +7.159281983607e-14,        +2.005998818534e-04,        +8.872458677227e-14,        +2.486023272288e-04,        +7.159281983607e-14,        +2.005998818534e-04,        +1.486440290081e-13,        +4.164939267051e-04,        +9.683443647857e-14,        +2.713257636928e-04,        +3.563129651927e-10,        +9.983730056253e-01,        +3.321543676237e-10,        +9.306816948262e-01,        +3.039150881958e-13,        +8.515564958262e-04,        +2.455358759298e-11,        +6.879805518916e-02,        +3.938022298418e-14,        +1.103416249859e-04,        +1.724664874914e-14,        +4.832433907990e-05
 2.00e+01,        +3.568936291196e-10,        +3.568936291000e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477502030569e-14,        +2.375358184869e-04,        +7.149706743746e-14,        +2.003315879237e-04,        +8.477502030569e-14,        +2.375358184869e-04,        +7.149706743746e-14,        +2.003315879237e-04,        +1.463455954254e-13,        +4.100538185185e-04,        +9.667945440366e-14,        +2.708915108613e-04,        +3.563246923142e-10,        +9.984058644958e-01,        +3.321285422904e-10,        +9.306093334531e-01,        +2.996970998926e-13,        +8.397378810931e-04,        +2.457970474840e-11,        +6.887123429574e-02,        +3.811908976311e-14,        +1.068079860577e-04,        +1.720553934300e-14,        +4.820915236395e-05
 2.10e+01,        +3.568936291196e-10,        +3.568936293294e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.833819941948e-11,        +5.138281527948e-02,        +6.880925657516e-13,        +1.928004618756e-03,        +1.833819941948e-11,        +5.138281527948e-02,        +6.880925657516e-13,        +1.928004618756e-03,        +1.197071329526e-11,        +3.354140370839e-02,        +1.021770800867e-12,        +2.862956121653e-03,        +3.036579035632e-10,        +8.508358759786e-01,        +3.369770331292e-10,        +9.441945875088e-01,        +1.619636806455e-11,        +4.538149953671e-02,        +1.797511635325e-11,        +5.036547272370e-02,        +6.730444777188e-12,        +1.885840549687e-02,        +2.316164803370e-13,        +6.489790270906e-04
 2.20e+01,        +3.568936291196e-10,        +3.568936291830e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.410263413335e-14,        +1.796127162356e-04,        +2.392297360167e-13,        +6.703110295477e-04,        +6.410263413335e-14,        +1.796127162356e-04,        +2.392297360167e-13,        +6.703110295477e-04,        +8.500285925043e-14,        +2.381742130284e-04,        +4.697730578474e-13,        +1.316283114727e-03,        +3.267537871213e-10,        +9.155495096040e-01,        +3.202998086810e-10,        +8.974657502691e-01,        +2.997862010643e-11,        +8.399875385945e-02,        +3.574217197939e-11,        +1.001479686292e-01,        +1.211639853821e-14,        +3.394960724879e-05,        +1.426457287522e-13,        +3.996869573682e-04
 2.30e+01,        +3.568936291196e-10,        +3.568936290222e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.403377084768e-14,        +1.794197643865e-04,        +2.384500449525e-13,        +6.681263703300e-04,        +6.403377084768e-14,        +1.794197643865e-04,        +2.384500449525e-13,        +6.681263703300e-04,        +8.490770299561e-14,        +2.379075894547e-04,        +4.698707055353e-13,        +1.316556719779e-03,        +3.267629305658e-10,        +9.155751291271e-01,        +3.203026278536e-10,        +8.974736498692e-01,        +2.996958571709e-11,        +8.397343990427e-02,        +3.573959876687e-11,        +1.001407586479e-01,        +1.217136284509e-14,        +3.410361478043e-05,        +1.430816512247e-13,        +4.009083928361e-04
