        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +4.087207877788e-10,        +4.087207878474e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.392247690793e-12,        +1.808630221860e-02,        +3.634145180254e-14,        +8.891510508662e-05
 2.00e+00,        +4.087207877788e-10,        +4.087207877667e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.517901054187e-13,        +3.713784812453e-04,        +6.050005957660e-12,        +1.480229569609e-02
 3.00e+00,        +4.087207877788e-10,        +4.087207880251e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.519361006664e-13,        +3.717356816915e-04,        +6.051539199691e-12,        +1.480604700566e-02
 4.00e+00,        +4.087207877788e-10,        +4.087207884559e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.109864296680e-12,        +1.250209054560e-02,        +2.628826307343e-12,        +6.431839000103e-03
 5.00e+00,        +4.087207877788e-10,        +4.087207884415e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.115730540306e-12,        +1.251644323771e-02,        +2.638577880428e-12,        +6.455697764945e-03
 6.00e+00,        +4.087207877788e-10,        +4.087207873803e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.767859815342e-12,        +4.325348424165e-03,        +2.837916077012e-14,        +6.943410182785e-05
 7.00e+00,        +4.087207877788e-10,        +4.087207878887e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.065367217865e-14,        +1.728653748262e-04,        +2.702318328972e-14,        +6.611648854298e-05
 8.00e+00,        +4.087207877788e-10,        +4.087207878401e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.121330456590e-14,        +1.742346039038e-04,        +2.715207259575e-14,        +6.643183660718e-05
 9.00e+00,        +4.087207877788e-10,        +4.087207884388e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.902983088366e-15,        +7.102606902238e-06,        +1.894079180080e-13,        +4.634164039746e-04
 1.00e+01,        +4.087207877788e-10,        +4.087207893253e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.857348006176e-15,        +6.990953461663e-06,        +1.889399532002e-13,        +4.622714531162e-04
 1.10e+01,        +4.087207877788e-10,        +4.087207888822e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.603079626456e-12,        +8.815503723306e-03,        +4.748781817169e-12,        +1.161864516399e-02
 1.20e+01,        +4.087207877788e-10,        +4.087207879587e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.588024968109e-12,        +8.778670122478e-03,        +4.776422898841e-12,        +1.168627346482e-02
 1.30e+01,        +4.087207877788e-10,        +4.087207882784e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.111761816133e-13,        +5.166759018081e-04,        +7.817494015589e-12,        +1.912673453317e-02
