        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.111429497032e+00,        +2.990526930321e-12,        +1.858250273160e+11,        +3.063126528926e-11,        +6.884565018180e-07
 2.00e+00,        +1.771092058083e+00,        +7.066930479790e-11,        +1.253084392968e+10,        +6.003789473877e-11,        +1.350347013856e-06
 3.00e+00,        +1.771233394349e+00,        -7.014809268176e-11,        +1.262495761919e+10,        +5.284692286612e-11,        +1.188610928658e-06
 4.00e+00,        +1.895588048384e+00,        +8.695697221741e-11,        +1.089957481296e+10,        +8.114282897720e-11,        +1.825341273834e-06
 5.00e+00,        +1.895689470395e+00,        +2.737050011719e-10,        +3.463015769311e+09,        +8.608536958901e-11,        +1.936526033352e-06
 6.00e+00,        +2.026033593432e+00,        -6.683280252126e-10,        +1.515747893998e+09,        +4.214528728485e-11,        +9.482565588641e-07
 7.00e+00,        +2.205170902931e+00,        -2.679870199075e-10,        +4.114324088705e+09,        +1.356287994150e-10,        +3.052471149542e-06
 8.00e+00,        +2.205695420091e+00,        +2.825448954198e-11,        +3.903265385159e+10,        +1.182839028817e-10,        +2.662108004859e-06
 9.00e+00,        +2.373483157809e+00,        +6.445207046196e-10,        +1.841277666332e+09,        +1.034314812127e-10,        +2.328505279002e-06
 1.00e+01,        +2.374245690517e+00,        -6.620969750217e-10,        +1.792974277249e+09,        +1.592905064486e-10,        +3.586038617850e-06
 1.10e+01,        +2.450019518115e+00,        -6.234549092227e-10,        +1.964873066097e+09,        +1.290800436855e-10,        +2.906319622042e-06
 1.20e+01,        +2.450539348941e+00,        +1.461918460605e-11,        +8.381244970144e+10,        +8.378548796869e-11,        +1.886485564141e-06
 1.30e+01,        +2.452486780077e+00,        -4.704453864519e-10,        +2.606558434523e+09,        +1.910198780266e-10,        +4.300953949087e-06
 1.40e+01,        +2.552159373450e+00,        -1.114106430746e-09,        +1.145384005970e+09,        +1.610499461740e-10,        +3.626833216216e-06
 1.50e+01,        +2.576828576710e+00,        -9.864657298210e-10,        +1.306091280625e+09,        +2.210699643706e-10,        +4.978714551011e-06
 1.60e+01,        +2.578829006287e+00,        -4.626677248251e-10,        +2.786912581012e+09,        +2.583784973191e-10,        +5.818962036846e-06
 1.70e+01,        +2.915693701697e+00,        +4.104970871854e-10,        +3.551418259370e+09,        +2.215082568344e-10,        +4.992046633844e-06
 1.80e+01,        +2.917559774160e+00,        -2.039348166799e-10,        +7.153167422950e+09,        +1.276995117843e-10,        +2.877926593391e-06
 1.90e+01,        +2.948516119636e+00,        +9.445702153855e-11,        +1.560771275449e+10,        +2.874446930471e-10,        +6.478495309095e-06
 2.00e+01,        +2.949854652206e+00,        -2.397850310470e-10,        +6.151040036415e+09,        +1.339157411682e-10,        +3.018232980017e-06
 2.10e+01,        +2.986408651786e+00,        +2.349305400851e-11,        +6.355939612416e+10,        +2.327038113927e-10,        +5.245171956508e-06
 2.20e+01,        +2.988047670302e+00,        +6.540585536610e-10,        +2.284235603660e+09,        +3.758962337161e-10,        +8.472777317653e-06
 2.30e+01,        +2.993082221406e+00,        -3.862078070529e-10,        +3.874963383373e+09,        +1.212127559037e-10,        +2.732190736745e-06
 2.40e+01,        +2.994629578233e+00,        +4.122392898337e-10,        +3.632149642312e+09,        +8.588040069180e-11,        +1.935790034861e-06
 2.50e+01,        +3.065031190052e+00,        +1.236168285533e-09,        +1.239730555266e+09,        +2.138186928351e-10,        +4.820353195531e-06
 2.60e+01,        +3.238676982078e+00,        -1.086039514612e-09,        +1.491049330389e+09,        +1.238059651679e-10,        +2.792233679363e-06
 2.70e+01,        +3.246194499871e+00,        -4.567739780694e-10,        +3.553392548314e+09,        +2.271183047933e-10,        +5.122361329927e-06
