        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106517775530e+00,        +9.924429915849e-13,        +5.574717061395e+11,        +1.078262199643e-11,        +1.250425000855e-07
 2.00e+00,        +1.763163539209e+00,        +5.211025364224e-11,        +1.691762576434e+10,        +2.244334497310e-11,        +2.603955096745e-07
 3.00e+00,        +1.763189895116e+00,        +1.343722143727e-10,        +6.560842594384e+09,        +1.663882546246e-11,        +1.930494561519e-07
 4.00e+00,        +1.893574533002e+00,        +2.324465605553e-12,        +4.073139495973e+11,        +1.585675143000e-11,        +1.839983465180e-07
 5.00e+00,        +1.893625222132e+00,        +8.374262501327e-10,        +1.130622082740e+09,        +2.589617403613e-11,        +3.004936706240e-07
 6.00e+00,        +2.023019010647e+00,        -3.404935591383e-10,        +2.970715533895e+09,        +3.838747712412e-11,        +4.454987166879e-07
 7.00e+00,        +2.200979295368e+00,        +1.031102325071e-11,        +1.067294313014e+11,        +5.297782355608e-11,        +6.149442901829e-07
 8.00e+00,        +2.201057822898e+00,        -7.418198154776e-10,        +1.483552863495e+09,        +6.399678277539e-11,        +7.428478002395e-07
 9.00e+00,        +2.363277583654e+00,        +7.361406567560e-12,        +1.605180723252e+11,        +6.120354503418e-11,        +7.105616493556e-07
 1.00e+01,        +2.363524475645e+00,        +1.029328307518e-10,        +1.148090681264e+10,        +6.654612211902e-11,        +7.725881987726e-07
 1.10e+01,        +2.444582770875e+00,        -2.226929926988e-10,        +5.488683638514e+09,        +2.559140142863e-11,        +2.971415090539e-07
 1.20e+01,        +2.444624843804e+00,        +5.021966695143e-10,        +2.433931756426e+09,        +1.869837650773e-11,        +2.171066764174e-07
 1.30e+01,        +2.445143165290e+00,        +1.142875531510e-09,        +1.069732922735e+09,        +8.469985569337e-11,        +9.834498868282e-07
 1.40e+01,        +2.541043700487e+00,        -4.089989378782e-10,        +3.106418458773e+09,        +1.419175187609e-10,        +1.648008609777e-06
 1.50e+01,        +2.570777335914e+00,        +1.049120741533e-09,        +1.225205657529e+09,        +9.306029251325e-11,        +1.080699653097e-06
 1.60e+01,        +2.570992188289e+00,        +2.542238485628e-10,        +5.056551938033e+09,        +6.027142531354e-11,        +6.999260946198e-07
 1.70e+01,        +2.907393945482e+00,        -1.236603439842e-09,        +1.175556306820e+09,        +4.643944973837e-11,        +5.395546781916e-07
 1.80e+01,        +2.907493472454e+00,        +1.549302763421e-10,        +9.383232061222e+09,        +2.157696684376e-11,        +2.506910657883e-07
 1.90e+01,        +2.935945025171e+00,        -1.668037489227e-11,        +8.800596641661e+10,        +2.511924129618e-11,        +2.918594166233e-07
 2.00e+01,        +2.937169289365e+00,        +8.504107315505e-10,        +1.726912173374e+09,        +4.727381605801e-11,        +5.492735209344e-07
 2.10e+01,        +2.977299949288e+00,        +9.016875768291e-10,        +1.650959836753e+09,        +5.220808367413e-11,        +6.066420249179e-07
 2.20e+01,        +2.977730252837e+00,        +2.015478823626e-10,        +7.387153409731e+09,        +2.206055958542e-11,        +2.563371510862e-07
 2.30e+01,        +2.982469626216e+00,        -1.844553919482e-09,        +8.084528174307e+08,        +3.750245586017e-11,        +4.357705928477e-07
 2.40e+01,        +2.982811937755e+00,        -3.502691332058e-10,        +4.257885801206e+09,        +3.047466861254e-11,        +3.541093812982e-07
 2.50e+01,        +3.053201020878e+00,        -3.674890195572e-10,        +4.154139114901e+09,        +6.041348891056e-11,        +7.020696761862e-07
 2.60e+01,        +3.230636122548e+00,        +7.241748726268e-10,        +2.230563531450e+09,        +5.662559085445e-11,        +6.582405162053e-07
 2.70e+01,        +3.231355163593e+00,        +5.205677988647e-09,        +3.103683296047e+08,        +1.079283713726e-10,        +1.254607879563e-06
