        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.458874429161e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.198959750672e-12,        +1.792093906169e-02,        +3.020382432751e-14,        +8.732269686598e-05,        +6.198959750672e-12,        +1.792093906169e-02,        +3.020382432751e-14,        +8.732269686598e-05,        +3.235893338809e-12,        +9.354835273552e-03,        +3.790195495143e-14,        +1.095788694492e-04,        +3.341305088234e-10,        +9.659576329119e-01,        +3.458079327692e-10,        +9.997701271077e-01,        +2.340604807598e-12,        +6.766592752906e-03,        +1.140436761922e-14,        +3.297132594083e-05
 2.00e+00,        +3.459059667205e-10,        +3.458912883369e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261445128970e-13,        +3.646786266597e-04,        +5.073470358862e-12,        +1.466781769282e-02,        +1.261445128970e-13,        +3.646786266597e-04,        +5.073470358862e-12,        +1.466781769282e-02,        +1.570256151909e-13,        +4.539546301546e-04,        +2.593702333112e-12,        +7.498605546218e-03,        +3.455751665012e-10,        +9.990436700978e-01,        +3.363083937906e-10,        +9.722950682211e-01,        +4.763009122397e-14,        +1.376966453500e-04,        +1.915721854320e-12,        +5.538508539870e-03
 3.00e+00,        +3.459059667205e-10,        +3.458912881224e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261479878810e-13,        +3.646886726963e-04,        +5.073686725202e-12,        +1.466844323470e-02,        +1.261479878810e-13,        +3.646886726963e-04,        +5.073686725202e-12,        +1.466844323470e-02,        +1.570301538570e-13,        +4.539677512528e-04,        +2.593768000490e-12,        +7.498795400628e-03,        +3.455751569379e-10,        +9.990436424507e-01,        +3.363081498874e-10,        +9.722943636801e-01,        +4.763164086853e-14,        +1.377011253091e-04,        +1.915683509262e-12,        +5.538397684605e-03
 4.00e+00,        +3.459059667205e-10,        +3.458897072598e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276319527202e-12,        +1.236266482404e-02,        +2.206500730606e-12,        +6.379203209274e-03,        +4.276319527202e-12,        +1.236266482404e-02,        +2.206500730606e-12,        +6.379203209274e-03,        +1.844955244068e-12,        +5.333690140010e-03,        +1.480558678959e-12,        +4.280435780204e-03,        +3.392194055940e-10,        +9.806694253068e-01,        +3.405315268568e-10,        +9.845089914776e-01,        +5.652863552506e-13,        +1.634219729165e-03,        +1.671120993401e-12,        +4.831369532908e-03
 5.00e+00,        +3.459059667205e-10,        +3.458897071312e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276359682059e-12,        +1.236278091009e-02,        +2.206483409260e-12,        +6.379153133987e-03,        +4.276359682059e-12,        +1.236278091009e-02,        +2.206483409260e-12,        +6.379153133987e-03,        +1.844976732313e-12,        +5.333752261647e-03,        +1.480577861293e-12,        +4.280491239745e-03,        +3.392193275421e-10,        +9.806691996620e-01,        +3.405314571494e-10,        +9.845087903129e-01,        +5.653027640316e-13,        +1.634267166280e-03,        +1.671188711217e-12,        +4.831565313342e-03
 6.00e+00,        +3.459059667205e-10,        +3.458848695214e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478502345946e-12,        +4.274289801832e-03,        +2.365418362602e-14,        +6.838744828229e-05,        +1.478502345946e-12,        +4.274289801832e-03,        +2.365418362602e-14,        +6.838744828229e-05,        +9.947348963027e-13,        +2.875737894127e-03,        +3.789663269782e-14,        +1.095642973636e-04,        +3.423270346185e-10,        +9.896534536946e-01,        +3.458053707512e-10,        +9.997701582891e-01,        +1.105694859736e-12,        +3.196518609433e-03,        +1.794795384520e-14,        +5.188996520730e-05
 7.00e+00,        +3.459059667205e-10,        +3.458905529746e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888027826580e-14,        +1.702204758826e-04,        +2.256539224307e-14,        +6.523853296661e-05,        +5.888027826580e-14,        +1.702204758826e-04,        +2.256539224307e-14,        +6.523853296661e-05,        +6.052977897011e-14,        +1.749891149436e-04,        +3.606864807234e-14,        +1.042776328008e-04,        +3.457787748152e-10,        +9.996322934049e-01,        +3.458148771487e-10,        +9.997812145336e-01,        +7.781848003200e-15,        +2.249700424939e-05,        +1.704178562863e-14,        +4.926930059834e-05
 8.00e+00,        +3.459059667205e-10,        +3.458905548823e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.886553669933e-14,        +1.701778586170e-04,        +2.256420791217e-14,        +6.523510860204e-05,        +5.886553669933e-14,        +1.701778586170e-04,        +2.256420791217e-14,        +6.523510860204e-05,        +6.051717298200e-14,        +1.749526715476e-04,        +3.606833019868e-14,        +1.042767132249e-04,        +3.457788012870e-10,        +9.996323699337e-01,        +3.458148796637e-10,        +9.997812162905e-01,        +7.782723799717e-15,        +2.249953614129e-05,        +1.704268055130e-14,        +4.927188762672e-05
 9.00e+00,        +3.459059667205e-10,        +3.458932828322e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340056002703e-15,        +6.765006180404e-06,        +1.572614192588e-13,        +4.546530015591e-04,        +2.340056002703e-15,        +6.765006180404e-06,        +1.572614192588e-13,        +4.546530015591e-04,        +5.250298101681e-15,        +1.517839704085e-05,        +1.936950855827e-13,        +5.599851029101e-04,        +3.458974928385e-10,        +9.999755023537e-01,        +3.454829443949e-10,        +9.988136848627e-01,        +8.835279126890e-16,        +2.554243053584e-06,        +5.938193248189e-14,        +1.716770328572e-04
 1.00e+01,        +3.459059667205e-10,        +3.458932796638e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340302776049e-15,        +6.765719592054e-06,        +1.572807426166e-13,        +4.547088708097e-04,        +2.340302776049e-15,        +6.765719592054e-06,        +1.572807426166e-13,        +4.547088708097e-04,        +5.250848639768e-15,        +1.517998862393e-05,        +1.937136793935e-13,        +5.600388639575e-04,        +3.458974919650e-10,        +9.999754998285e-01,        +3.454829018714e-10,        +9.988135710736e-01,        +8.836040867957e-16,        +2.554463269810e-06,        +5.938337043065e-14,        +1.716811916333e-04
 1.10e+01,        +3.459059667205e-10,        +3.458867882442e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.011779422593e-12,        +8.706931109478e-03,        +3.976422006943e-12,        +1.149631076437e-02,        +3.011779422593e-12,        +8.706931109478e-03,        +3.976422006943e-12,        +1.149631076437e-02,        +1.325554137148e-12,        +3.832122786767e-03,        +2.594050834185e-12,        +7.499710663578e-03,        +3.411382749538e-10,        +9.862167981318e-01,        +3.363026973969e-10,        +9.722912491227e-01,        +4.303582069713e-13,        +1.244147971923e-03,        +3.013618006084e-12,        +8.712729449373e-03
 1.20e+01,        +3.459059667205e-10,        +3.458867838222e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.012643413466e-12,        +8.709428871751e-03,        +3.976084977449e-12,        +1.149533651882e-02,        +3.012643413466e-12,        +8.709428871751e-03,        +3.976084977449e-12,        +1.149533651882e-02,        +1.325910251339e-12,        +3.833152298326e-03,        +2.594200454672e-12,        +7.500143330152e-03,        +3.411369429873e-10,        +9.862129474711e-01,        +3.363021076897e-10,        +9.722895566387e-01,        +4.304700684199e-13,        +1.244471358795e-03,        +3.014390700404e-12,        +8.714963512320e-03
 1.30e+01,        +3.459059667205e-10,        +3.458965023982e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.580636821407e-13,        +4.569556392431e-04,        +6.470877108039e-12,        +1.870755287542e-02,        +1.580636821407e-13,        +4.569556392431e-04,        +6.470877108039e-12,        +1.870755287542e-02,        +1.589761506389e-13,        +4.595935483453e-04,        +2.775087017482e-12,        +8.022882562390e-03,        +3.455679833288e-10,        +9.990229038404e-01,        +3.357616651515e-10,        +9.706997984182e-01,        +2.094355889443e-14,        +6.054697203693e-05,        +8.888731211853e-13,        +2.569766143984e-03
