        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106460272279e+00,        +2.962623997876e-05,        +1.867365338074e+04,        +1.504497911147e-13,        +1.908364011329e-09
 2.00e+00,        +1.762992452309e+00,        +3.740596210910e-05,        +2.356566110456e+04,        +6.231256231427e-14,        +7.906611635833e-10
 3.00e+00,        +1.762995443054e+00,        +3.740655037091e-05,        +2.356533048316e+04,        +2.877105889902e-13,        +3.650653753324e-09
 4.00e+00,        +1.893292582309e+00,        +4.449751557696e-05,        +2.127413809831e+04,        +1.291284475037e-13,        +1.638601811697e-09
 5.00e+00,        +1.893293319995e+00,        +4.449806933299e-05,        +2.127388164135e+04,        +5.940011754052e-13,        +7.537699255802e-09
 6.00e+00,        +2.022665296085e+00,        +6.168235824152e-05,        +1.639581684852e+04,        +4.341010075775e-14,        +5.509108456928e-10
 7.00e+00,        +2.200460173115e+00,        +4.902701955201e-05,        +2.244130067224e+04,        +4.262443348029e-13,        +5.410121065362e-09
 8.00e+00,        +2.200461438548e+00,        +4.902077373519e-05,        +2.244417286211e+04,        +6.671448502359e-14,        +8.467759256302e-10
 9.00e+00,        +2.363004847014e+00,        +4.333797973013e-05,        +2.726251733613e+04,        +7.492257302897e-13,        +9.510824671364e-09
 1.00e+01,        +2.363017789617e+00,        +4.333509270456e-05,        +2.726448292294e+04,        +1.050292650340e-13,        +1.333262988111e-09
 1.10e+01,        +2.444375545360e+00,        +6.778357535618e-05,        +1.803073630637e+04,        +7.128136040688e-13,        +9.049229357949e-09
 1.20e+01,        +2.444390031183e+00,        +6.777917350775e-05,        +1.803201415434e+04,        +1.692487688830e-13,        +2.148627549562e-09
 1.30e+01,        +2.444486746791e+00,        +3.344176244098e-05,        +3.654841384830e+04,        +5.853798863026e-13,        +7.431448183752e-09
 1.40e+01,        +2.540023824727e+00,        +4.494000647752e-05,        +2.826016309538e+04,        +3.700744621871e-14,        +4.698523937422e-10
 1.50e+01,        +2.569889979735e+00,        +5.462441427487e-05,        +2.352327264677e+04,        +1.879495385327e-13,        +2.386301651663e-09
 1.60e+01,        +2.569909970659e+00,        +5.462520502557e-05,        +2.352311510810e+04,        +3.500989604861e-14,        +4.445032158069e-10
 1.70e+01,        +2.907021221218e+00,        +7.396972627372e-05,        +1.965007421686e+04,        +3.813796802460e-13,        +4.843772930940e-09
 1.80e+01,        +2.907047642334e+00,        +7.397589655414e-05,        +1.964861379644e+04,        +7.663184172428e-14,        +9.732748489866e-10
 1.90e+01,        +2.935742319305e+00,        +4.836448313037e-05,        +3.035018808937e+04,        +7.490210295666e-13,        +9.513342953977e-09
 2.00e+01,        +2.935836313407e+00,        +4.837566019110e-05,        +3.034414726546e+04,        +3.703802722647e-13,        +4.704213578791e-09
 2.10e+01,        +2.975778242478e+00,        +6.139129454620e-05,        +2.423615811581e+04,        +4.276189164759e-13,        +5.431431005602e-09
 2.20e+01,        +3.052682729497e+00,        +7.581217747861e-05,        +2.013319516710e+04,        +4.541626649140e-14,        +5.769052210905e-10
