        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667701e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199126770410e-12,        +1.792142190892e-02,        +3.020625806235e-14,        +8.732505641459e-05,        +6.199126770410e-12,        +1.792142190892e-02,        +3.020625806235e-14,        +8.732505641459e-05,        +3.235971309088e-12,        +9.355060682441e-03,        +3.790490891292e-14,        +1.095815410958e-04,        +3.341302222293e-10,        +9.659568043800e-01,        +3.458264504212e-10,        +9.997701214880e-01,        +2.340646411678e-12,        +6.766713028600e-03,        +1.140518197325e-14,        +3.297191453429e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666712e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261500406548e-13,        +3.646946071813e-04,        +5.073708957833e-12,        +1.466788505171e-02,        +1.261500406548e-13,        +3.646946071813e-04,        +5.073708957833e-12,        +1.466788505171e-02,        +1.570316633596e-13,        +4.539721151631e-04,        +2.593809445991e-12,        +7.498597005864e-03,        +3.455751537188e-10,        +9.990436331444e-01,        +3.363226716449e-10,        +9.722950860937e-01,        +4.763129769552e-14,        +1.377001332099e-04,        +1.915776622484e-12,        +5.538431848748e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059665989e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261535164728e-13,        +3.647046556290e-04,        +5.073925327863e-12,        +1.466851057168e-02,        +1.261535164728e-13,        +3.647046556290e-04,        +5.073925327863e-12,        +1.466851057168e-02,        +1.570362031413e-13,        +4.539852394862e-04,        +2.593875118172e-12,        +7.498786863018e-03,        +3.455751441522e-10,        +9.990436054879e-01,        +3.363224278659e-10,        +9.722943815416e-01,        +4.763284867505e-14,        +1.377046170283e-04,        +1.915738287038e-12,        +5.538321023699e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059668754e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276543601921e-12,        +1.236331261489e-02,        +2.206739238583e-12,        +6.379592865993e-03,        +4.276543601921e-12,        +1.236331261489e-02,        +2.206739238583e-12,        +6.379592865993e-03,        +1.845039068553e-12,        +5.333932473170e-03,        +1.480714754959e-12,        +4.280685783869e-03,        +3.392190995530e-10,        +9.806685405548e-01,        +3.405472193312e-10,        +9.845080800640e-01,        +5.652844970375e-13,        +1.634214357147e-03,        +1.671293550674e-12,        +4.831641286129e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059668170e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276583803112e-12,        +1.236342883489e-02,        +2.206721934650e-12,        +6.379542842108e-03,        +4.276583803112e-12,        +1.236342883489e-02,        +2.206721934650e-12,        +6.379542842108e-03,        +1.845060575750e-12,        +5.333994649595e-03,        +1.480733962746e-12,        +4.280741313517e-03,        +3.392190214323e-10,        +9.806683147110e-01,        +3.405471496011e-10,        +9.845078786434e-01,        +5.653009093556e-13,        +1.634261804487e-03,        +1.671361318501e-12,        +4.831837200961e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059680089e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478596074701e-12,        +4.274560767828e-03,        +2.365712822378e-14,        +6.839178971082e-05,        +1.478596074701e-12,        +4.274560767828e-03,        +2.365712822378e-14,        +6.839178971082e-05,        +9.947941451956e-13,        +2.875909180253e-03,        +3.790122758120e-14,        +1.095708981240e-04,        +3.423268193509e-10,        +9.896528313648e-01,        +3.458264595864e-10,        +9.997701444035e-01,        +1.105757149681e-12,        +3.196698687117e-03,        +1.795006678759e-14,        +5.189290861594e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059669082e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888502843583e-14,        +1.702342084299e-04,        +2.256874162985e-14,        +6.524530880913e-05,        +5.888502843583e-14,        +1.702342084299e-04,        +2.256874162985e-14,        +6.524530880913e-05,        +6.053427383152e-14,        +1.750021094040e-04,        +3.607392064783e-14,        +1.042882288798e-04,        +3.457787653420e-10,        +9.996322660183e-01,        +3.458302799954e-10,        +9.997811922312e-01,        +7.782076178795e-15,        +2.249766389570e-05,        +1.704425054271e-14,        +4.927423107227e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059669833e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887026418432e-14,        +1.701915255827e-04,        +2.256755369557e-14,        +6.524187452556e-05,        +5.887026418432e-14,        +1.701915255827e-04,        +2.256755369557e-14,        +6.524187452556e-05,        +6.052164254208e-14,        +1.749655928630e-04,        +3.607358865249e-14,        +1.042872690723e-04,        +3.457787918671e-10,        +9.996323427010e-01,        +3.458302807075e-10,        +9.997811940727e-01,        +7.782946704642e-15,        +2.250018055031e-05,        +1.704513350896e-14,        +4.927678368086e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666585e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340191965133e-15,        +6.765399242228e-06,        +1.572710038393e-13,        +4.546640387808e-04,        +2.340191965133e-15,        +6.765399242228e-06,        +1.572710038393e-13,        +4.546640387808e-04,        +5.250560938410e-15,        +1.517915689108e-05,        +1.937052908887e-13,        +5.599940722617e-04,        +3.458974924137e-10,        +9.999755011258e-01,        +3.454956065136e-10,        +9.988136656073e-01,        +8.835538448353e-16,        +2.554318022358e-06,        +5.938385017037e-14,        +1.716762816902e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059665109e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340439087043e-15,        +6.766113661562e-06,        +1.572903320599e-13,        +4.547199160700e-04,        +2.340439087043e-15,        +6.766113661562e-06,        +1.572903320599e-13,        +4.547199160700e-04,        +5.251111985134e-15,        +1.518074994462e-05,        +1.937238924753e-13,        +5.600478489266e-04,        +3.458974915393e-10,        +9.999754985978e-01,        +3.454955669944e-10,        +9.988135517851e-01,        +8.836301508337e-16,        +2.554538619878e-06,        +5.938529194264e-14,        +1.716804498681e-04
