        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106489900115e+00,        -2.927162018109e-12,        +1.890038701770e+11,        +6.552758668565e-12,        +8.311752536189e-08
 2.00e+00,        +1.763029858822e+00,        +8.819085930880e-11,        +9.995536230397e+09,        +1.190728530802e-11,        +1.510861012589e-07
 3.00e+00,        +1.763032850347e+00,        +9.603581469608e-11,        +9.179038340678e+09,        +8.620686392077e-12,        +1.093839498986e-07
 4.00e+00,        +1.893337080249e+00,        +7.232747905678e-11,        +1.308864282939e+10,        +1.411012757868e-11,        +1.790519001319e-07
 5.00e+00,        +1.893337818640e+00,        +8.522531167236e-11,        +1.110783745748e+10,        +1.387844077069e-11,        +1.761118868855e-07
 6.00e+00,        +2.022726976006e+00,        +9.311973922194e-10,        +1.086089261475e+09,        +6.120822587031e-11,        +7.767769352373e-07
 7.00e+00,        +2.200509189506e+00,        +2.177160179119e-10,        +5.053622628712e+09,        +1.943760853399e-11,        +2.467098319602e-07
 8.00e+00,        +2.200510459755e+00,        -1.619639636186e-10,        +6.793210077696e+09,        +1.917190787389e-11,        +2.433374541052e-07
 9.00e+00,        +2.363048188910e+00,        +1.513254620392e-10,        +7.807834045462e+09,        +1.853856296345e-11,        +2.353293483302e-07
 1.00e+01,        +2.363061125198e+00,        +7.401709854182e-11,        +1.596294080525e+10,        +2.193439296986e-11,        +2.784361694616e-07
 1.10e+01,        +2.444443296959e+00,        +1.617356569531e-10,        +7.556909042228e+09,        +1.108975068533e-11,        +1.407834354119e-07
 1.20e+01,        +2.444457786885e+00,        -5.433497935549e-11,        +2.249432884563e+10,        +7.382149316744e-12,        +9.371575465604e-08
 1.30e+01,        +2.444520241075e+00,        +5.921959177174e-11,        +2.063945535540e+10,        +2.101602545280e-11,        +2.667966612360e-07
 1.40e+01,        +2.540068740686e+00,        +4.017750918289e-10,        +3.161058005267e+09,        +1.211613309309e-10,        +1.538261062429e-06
 1.50e+01,        +2.569944600098e+00,        +3.069552026796e-10,        +4.186188371567e+09,        +2.845841756934e-11,        +3.613169740981e-07
 1.60e+01,        +2.569964596197e+00,        +9.659094831625e-10,        +1.330334074257e+09,        +3.845172989566e-11,        +4.881952030826e-07
 1.70e+01,        +2.907095186127e+00,        +2.648176600090e-10,        +5.488862007972e+09,        +2.431541696865e-11,        +3.088159247676e-07
 1.80e+01,        +2.907121619509e+00,        +1.080408720884e-10,        +1.345380485790e+10,        +2.301941022461e-11,        +2.923561070926e-07
 1.90e+01,        +2.935790695188e+00,        -7.187019325129e-11,        +2.042425769556e+10,        +2.246789372415e-11,        +2.853599814997e-07
 2.00e+01,        +2.935884687519e+00,        +2.115782926035e-10,        +6.938057424024e+09,        +2.026435321708e-11,        +2.573733029244e-07
 2.10e+01,        +2.975839633622e+00,        -9.907605516685e-11,        +1.501795579472e+10,        +8.164477928475e-12,        +1.036996085934e-07
 2.20e+01,        +2.975862237115e+00,        +1.294044327383e-10,        +1.149830100153e+10,        +1.609871345485e-11,        +2.044748406507e-07
 2.30e+01,        +2.981012804106e+00,        -2.738029871011e-11,        +5.443718557761e+10,        +2.117808531915e-11,        +2.689909898339e-07
 2.40e+01,        +2.981102163990e+00,        -7.266249532579e-10,        +2.051334839675e+09,        +2.167280964346e-11,        +2.752746990135e-07
 2.50e+01,        +3.052758554017e+00,        +1.473401144208e-11,        +1.035956353780e+11,        +1.827877487450e-10,        +2.321833198393e-06
 2.60e+01,        +3.228613376148e+00,        +6.076036391991e-10,        +2.656841703914e+09,        +3.668970371053e-11,        +4.661353700837e-07
 2.70e+01,        +3.228669173712e+00,        +4.044232333296e-10,        +3.991695960604e+09,        +2.168795345803e-11,        +2.755411416895e-07
