        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106489900115e+00,        -2.934174521619e-12,        +1.885521621094e+11,        +6.552758821047e-12,        +8.311752729602e-08
 2.00e+00,        +1.763029858822e+00,        +8.782144492547e-11,        +1.003758171093e+10,        +1.190728647657e-11,        +1.510861160861e-07
 3.00e+00,        +1.763032850348e+00,        +9.606503442684e-11,        +9.176246388015e+09,        +8.620688476932e-12,        +1.093839763524e-07
 4.00e+00,        +1.893337080249e+00,        +7.234561415881e-11,        +1.308536185824e+10,        +1.411012576432e-11,        +1.790518771084e-07
 5.00e+00,        +1.893337818640e+00,        +8.509771672005e-11,        +1.112449247533e+10,        +1.387845137729e-11,        +1.761120214791e-07
 6.00e+00,        +2.022726976006e+00,        +9.310484264930e-10,        +1.086263033398e+09,        +6.120822421599e-11,        +7.767769142427e-07
 7.00e+00,        +2.200509189506e+00,        +2.176215506650e-10,        +5.055816353623e+09,        +1.943760849586e-11,        +2.467098314763e-07
 8.00e+00,        +2.200510459755e+00,        -1.619703114829e-10,        +6.792943841400e+09,        +1.917190849053e-11,        +2.433374619318e-07
 9.00e+00,        +2.363048188910e+00,        +1.513308855600e-10,        +7.807554221882e+09,        +1.853856377710e-11,        +2.353293586587e-07
 1.00e+01,        +2.363061125198e+00,        +7.396690787596e-11,        +1.597377254948e+10,        +2.193439272896e-11,        +2.784361664036e-07
 1.10e+01,        +2.444443296960e+00,        +1.616214287984e-10,        +7.562249991023e+09,        +1.108975339702e-11,        +1.407834698366e-07
 1.20e+01,        +2.444457786885e+00,        -5.435011814798e-11,        +2.248806322950e+10,        +7.382149523531e-12,        +9.371575728118e-08
 1.30e+01,        +2.444520241075e+00,        +5.935530534356e-11,        +2.059226405227e+10,        +2.101602673380e-11,        +2.667966774982e-07
 1.40e+01,        +2.540068740686e+00,        +4.017365538639e-10,        +3.161361240663e+09,        +1.211613335251e-10,        +1.538261095364e-06
 1.50e+01,        +2.569944600099e+00,        +3.069331482287e-10,        +4.186489166988e+09,        +2.845841805094e-11,        +3.613169802126e-07
 1.60e+01,        +2.569964596197e+00,        +9.658912488083e-10,        +1.330359188660e+09,        +3.845172997165e-11,        +4.881952040475e-07
 1.70e+01,        +2.907095186127e+00,        +2.648091522271e-10,        +5.489038353995e+09,        +2.431541456098e-11,        +3.088158941891e-07
 1.80e+01,        +2.907121619509e+00,        +1.080924392211e-10,        +1.344738651684e+10,        +2.301940589184e-11,        +2.923560520646e-07
 1.90e+01,        +2.935790695188e+00,        -7.187433404377e-11,        +2.042308102222e+10,        +2.246788776712e-11,        +2.853599058406e-07
 2.00e+01,        +2.935884687519e+00,        +2.114993837772e-10,        +6.940645960964e+09,        +2.026434793292e-11,        +2.573732358113e-07
 2.10e+01,        +2.975839633622e+00,        -9.907587646343e-11,        +1.501798288265e+10,        +8.164477950473e-12,        +1.036996088728e-07
 2.20e+01,        +2.975862237115e+00,        +1.294252093064e-10,        +1.149645518467e+10,        +1.609871363151e-11,        +2.044748428944e-07
 2.30e+01,        +2.981012804106e+00,        -2.743705602374e-11,        +5.432457479269e+10,        +2.117809599229e-11,        +2.689911253976e-07
 2.40e+01,        +2.981102163990e+00,        -7.266139831349e-10,        +2.051365809896e+09,        +2.167280802537e-11,        +2.752746784616e-07
 2.50e+01,        +3.052758554016e+00,        +1.520722318968e-11,        +1.003719915181e+11,        +1.827877486946e-10,        +2.321833197753e-06
 2.60e+01,        +3.228613376148e+00,        +6.073469363090e-10,        +2.657964651776e+09,        +3.668969670626e-11,        +4.661352810959e-07
 2.70e+01,        +3.228669173712e+00,        +4.043560971396e-10,        +3.992358711234e+09,        +2.168795661906e-11,        +2.755411818499e-07
