        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667075e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199134304266e-12,        +1.792144368899e-02,        +3.020630727636e-14,        +8.732519870609e-05,        +6.199134304266e-12,        +1.792144368899e-02,        +3.020630727636e-14,        +8.732519870609e-05,        +3.235977135631e-12,        +9.355077526736e-03,        +3.790499225786e-14,        +1.095817820625e-04,        +3.341302009626e-10,        +9.659567428989e-01,        +3.458264501835e-10,        +9.997701209818e-01,        +2.340654317973e-12,        +6.766735885374e-03,        +1.140522448490e-14,        +3.297203743972e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059665747e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261524378197e-13,        +3.647015372870e-04,        +5.073848303327e-12,        +1.466828789792e-02,        +1.261524378197e-13,        +3.647015372870e-04,        +5.073848303327e-12,        +1.466828789792e-02,        +1.570345694453e-13,        +4.539805165378e-04,        +2.593847204109e-12,        +7.498706165130e-03,        +3.455751475534e-10,        +9.990436153205e-01,        +3.363225310208e-10,        +9.722946798265e-01,        +4.763215984620e-14,        +1.377026256523e-04,        +1.915740046425e-12,        +5.538326110403e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059665730e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261524472435e-13,        +3.647015645309e-04,        +5.073860835188e-12,        +1.466832412709e-02,        +1.261524472435e-13,        +3.647015645309e-04,        +5.073860835188e-12,        +1.466832412709e-02,        +1.570356965454e-13,        +4.539837749380e-04,        +2.593860281041e-12,        +7.498743970043e-03,        +3.455751452246e-10,        +9.990436085883e-01,        +3.363224821086e-10,        +9.722945384279e-01,        +4.763335205408e-14,        +1.377060722765e-04,        +1.915763348224e-12,        +5.538393474978e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059666699e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276637961693e-12,        +1.236358540513e-02,        +2.206753840975e-12,        +6.379635084703e-03,        +4.276637961693e-12,        +1.236358540513e-02,        +2.206753840975e-12,        +6.379635084703e-03,        +1.845085712569e-12,        +5.334067319111e-03,        +1.480760357311e-12,        +4.280817620948e-03,        +3.392189312285e-10,        +9.806680539356e-01,        +3.405470543084e-10,        +9.845076035749e-01,        +5.653118177436e-13,        +1.634293340191e-03,        +1.671398163154e-12,        +4.831943719403e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667158e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276502473042e-12,        +1.236319371298e-02,        +2.206607196300e-12,        +6.379211140099e-03,        +4.276502473042e-12,        +1.236319371298e-02,        +2.206607196300e-12,        +6.379211140099e-03,        +1.845020960185e-12,        +5.333880122616e-03,        +1.480680850490e-12,        +4.280587769410e-03,        +3.392191657931e-10,        +9.806687320524e-01,        +3.405473427356e-10,        +9.845084372754e-01,        +5.652774941244e-13,        +1.634194112012e-03,        +1.671335933415e-12,        +4.831763815129e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059662744e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478652483799e-12,        +4.274723844223e-03,        +2.365806209988e-14,        +6.839448985136e-05,        +1.478652483799e-12,        +4.274723844223e-03,        +2.365806209988e-14,        +6.839448985136e-05,        +9.948147564899e-13,        +2.875968766661e-03,        +3.790204700979e-14,        +1.095732676080e-04,        +3.423267450785e-10,        +9.896526166463e-01,        +3.458264561408e-10,        +9.997701394560e-01,        +1.105754401695e-12,        +3.196690742801e-03,        +1.795002447434e-14,        +5.189278655026e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059665986e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887750505675e-14,        +1.702124586487e-04,        +2.256688437543e-14,        +6.523993962100e-05,        +5.887750505675e-14,        +1.702124586487e-04,        +2.256688437543e-14,        +6.523993962100e-05,        +6.052757392815e-14,        +1.749827402574e-04,        +3.607259690207e-14,        +1.042844020784e-04,        +3.457787794067e-10,        +9.996323066787e-01,        +3.458302824438e-10,        +9.997812002045e-01,        +7.782234783686e-15,        +2.249812241595e-05,        +1.704467348334e-14,        +4.927545382044e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059665680e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887956505703e-14,        +1.702184140253e-04,        +2.257085788831e-14,        +6.525142688995e-05,        +5.887956505703e-14,        +1.702184140253e-04,        +2.257085788831e-14,        +6.525142688995e-05,        +6.052989476218e-14,        +1.749894496937e-04,        +3.607425489185e-14,        +1.042891952682e-04,        +3.457787745283e-10,        +9.996322925754e-01,        +3.458302789412e-10,        +9.997811901669e-01,        +7.782732351190e-15,        +2.249956086325e-05,        +1.704251402050e-14,        +4.926921090606e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666225e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.339912111692e-15,        +6.764590197377e-06,        +1.572559442648e-13,        +4.546205022141e-04,        +2.339912111692e-15,        +6.764590197377e-06,        +1.572559442648e-13,        +4.546205022141e-04,        +5.250269720674e-15,        +1.517831499252e-05,        +1.936957254616e-13,        +5.599664190616e-04,        +3.458974929618e-10,        +9.999755027104e-01,        +3.454956267999e-10,        +9.988137243580e-01,        +8.835768246318e-16,        +2.554384456010e-06,        +5.938815289400e-14,        +1.716887207060e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667034e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340503946018e-15,        +6.766301166205e-06,        +1.572898217397e-13,        +4.547184405021e-04,        +2.340503946018e-15,        +6.766301166205e-06,        +1.572898217397e-13,        +4.547184405021e-04,        +5.251210390922e-15,        +1.518103443172e-05,        +1.937259853887e-13,        +5.600538991420e-04,        +3.458974913471e-10,        +9.999754980422e-01,        +3.454955627237e-10,        +9.988135388828e-01,        +8.836590621018e-16,        +2.554622201171e-06,        +5.938817256730e-14,        +1.716887775406e-04
