        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106490118780e+00,        +2.326085849095e-13,        +2.378437836271e+12,        +3.607374950445e-12,        +3.691473146487e-08
 2.00e+00,        +1.763033225611e+00,        +2.090362540611e-11,        +4.217051328080e+10,        +5.711085410465e-12,        +5.846595138424e-08
 3.00e+00,        +1.763035003718e+00,        -3.217301608141e-11,        +2.739928080192e+10,        +7.148348537197e-12,        +7.317960922996e-08
 4.00e+00,        +1.893333177840e+00,        +2.265486073251e-11,        +4.178646693518e+10,        +9.893663798911e-12,        +1.012945302466e-07
 5.00e+00,        +1.893334150627e+00,        -2.386192557410e-12,        +3.967270253919e+11,        +1.116512121986e-11,        +1.143121226873e-07
 6.00e+00,        +2.022727983341e+00,        -1.228482855082e-10,        +8.232626019050e+09,        +1.507909487463e-11,        +1.544014675636e-07
 7.00e+00,        +2.200504209259e+00,        -5.477453227601e-11,        +2.008692833899e+10,        +1.797475733503e-11,        +1.840811273905e-07
 8.00e+00,        +2.200513037402e+00,        +5.062060703019e-11,        +2.173534817638e+10,        +2.042139792143e-11,        +2.091373982741e-07
 9.00e+00,        +2.363049597940e+00,        +8.458730388931e-11,        +1.396811039770e+10,        +1.097268709225e-11,        +1.123902019766e-07
 1.00e+01,        +2.363065614677e+00,        +1.397409617164e-10,        +8.455164418694e+09,        +1.554558541505e-11,        +1.592291385301e-07
 1.10e+01,        +2.444447948056e+00,        -1.031931106806e-10,        +1.184404623494e+10,        +7.928837331819e-12,        +8.121971870236e-08
 1.20e+01,        +2.444456770898e+00,        +1.352891052491e-11,        +9.034196679760e+10,        +1.284207374931e-11,        +1.315488745058e-07
 1.30e+01,        +2.444517292087e+00,        -7.976878174295e-11,        +1.532251865124e+10,        +1.423110092623e-11,        +1.457775017791e-07
 1.40e+01,        +2.540071936793e+00,        +4.227828320944e-11,        +3.003991344929e+10,        +3.396862101010e-11,        +3.479960888042e-07
 1.50e+01,        +2.569950282008e+00,        +3.531762133197e-11,        +3.638339991602e+10,        +1.750830064651e-11,        +1.793720149092e-07
 1.60e+01,        +2.569968868031e+00,        -1.747661884009e-11,        +7.352591744279e+10,        +1.831757904177e-11,        +1.876630516432e-07
 1.70e+01,        +2.907091325362e+00,        -2.093943739495e-10,        +6.941665314424e+09,        +2.757829505548e-11,        +2.826508842109e-07
 1.80e+01,        +2.907109402822e+00,        -3.625387883993e-10,        +4.009377059565e+09,        +2.991943073862e-11,        +3.066452703917e-07
 1.90e+01,        +2.935825167968e+00,        +1.009731299009e-10,        +1.453765556663e+10,        +5.620299074889e-11,        +5.760471314878e-07
 2.00e+01,        +2.935864369481e+00,        +4.582476977098e-10,        +3.203359650419e+09,        +4.560157153012e-11,        +4.673889310803e-07
 2.10e+01,        +2.975852261352e+00,        +2.513343385304e-10,        +5.920106816188e+09,        +2.836487901068e-11,        +2.907378630589e-07
 2.20e+01,        +2.975870161401e+00,        +2.812484589232e-12,        +5.290464830980e+11,        +3.809705508190e-11,        +3.904919401403e-07
 2.30e+01,        +2.981050446840e+00,        -2.399983448057e-11,        +6.210564596297e+10,        +1.600792468929e-11,        +1.640811074536e-07
 2.40e+01,        +2.981084723537e+00,        -9.443514678736e-11,        +1.578376708753e+10,        +2.413952040339e-11,        +2.474299131131e-07
 2.50e+01,        +3.052738024625e+00,        +1.562273330170e-10,        +9.770179025887e+09,        +3.779993399194e-11,        +3.874850237281e-07
 2.60e+01,        +3.228581636450e+00,        -5.450297596407e-10,        +2.961839770528e+09,        +3.785243210878e-11,        +3.881151962338e-07
 2.70e+01,        +3.228706050931e+00,        -3.805777299107e-10,        +4.241848375743e+09,        +3.648529280497e-11,        +3.740974682384e-07
