        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106490013730e+00,        -4.508696877567e-13,        +1.227061880379e+12,        +2.460980801273e-12,        +4.793783827489e-08
 2.00e+00,        +1.763028733089e+00,        +4.455448263382e-11,        +1.978508815352e+10,        +3.125360726702e-12,        +6.089200477502e-08
 3.00e+00,        +1.763033168459e+00,        -3.061565815100e-11,        +2.879299801042e+10,        +3.537669222762e-12,        +6.892509070541e-08
 4.00e+00,        +1.893332158555e+00,        -1.951477809090e-10,        +4.851021491854e+09,        +6.385106454171e-12,        +1.244087702367e-07
 5.00e+00,        +1.893332872384e+00,        +2.542487812289e-11,        +3.723386328998e+10,        +4.185404329637e-12,        +8.154930688868e-08
 6.00e+00,        +2.022722606959e+00,        -1.210896775321e-10,        +8.352167782520e+09,        +1.279392293617e-11,        +2.492933883720e-07
 7.00e+00,        +2.200489441917e+00,        +8.801493276013e-11,        +1.250065967734e+10,        +1.092995362884e-11,        +2.129909575809e-07
 8.00e+00,        +2.200504525890e+00,        -1.877576079585e-10,        +5.859961015204e+09,        +1.147103224024e-11,        +2.235349061919e-07
 9.00e+00,        +2.363045430829e+00,        +1.212245925857e-10,        +9.746559590035e+09,        +1.273482910513e-11,        +2.481826149987e-07
 1.00e+01,        +2.363059291723e+00,        +9.573295335248e-11,        +1.234193247451e+10,        +1.369946320768e-11,        +2.669818808997e-07
 1.10e+01,        +2.444454097323e+00,        +1.008472095876e-11,        +1.211959214003e+11,        +6.619230194795e-12,        +1.290043599669e-07
 1.20e+01,        +2.444455361229e+00,        -1.645237023472e-10,        +7.428885097875e+09,        +1.042963607902e-11,        +2.032666168692e-07
 1.30e+01,        +2.444531029326e+00,        +4.602367511591e-11,        +2.655732102194e+10,        +5.976678458868e-12,        +1.164814621149e-07
 1.40e+01,        +2.540056933318e+00,        +1.241069164167e-11,        +1.023334156812e+11,        +1.939888647938e-11,        +3.780910833672e-07
 1.50e+01,        +2.569919346135e+00,        +4.089798624688e-11,        +3.141865385036e+10,        +9.854933718590e-12,        +1.920793245641e-07
 1.60e+01,        +2.569946726478e+00,        +5.853842709078e-10,        +2.195093765069e+09,        +2.409497495988e-11,        +4.696273683185e-07
 1.70e+01,        +2.907082746997e+00,        -2.566915476262e-10,        +5.662599282836e+09,        +2.858120699182e-11,        +5.571800363195e-07
 1.80e+01,        +2.907113513197e+00,        -3.178074572401e-10,        +4.573702483955e+09,        +1.183018471843e-11,        +2.306250706081e-07
 1.90e+01,        +2.935809672028e+00,        +9.098525875970e-11,        +1.613343585570e+10,        +1.879716303014e-11,        +3.664504795424e-07
 2.00e+01,        +2.935859836189e+00,        +4.896686104404e-11,        +2.997802772725e+10,        +7.612465250645e-12,        +1.484049283047e-07
 2.10e+01,        +2.975820538183e+00,        +1.985974646644e-10,        +7.492090956981e+09,        +1.034168433285e-11,        +2.016162545738e-07
 2.20e+01,        +2.975827946794e+00,        +3.526208095365e-10,        +4.219586403174e+09,        +1.070666416163e-11,        +2.087317179892e-07
 2.30e+01,        +2.981027260480e+00,        -1.578534390054e-10,        +9.442389343124e+09,        +8.660085817931e-12,        +1.688332341917e-07
 2.40e+01,        +2.981081182099e+00,        -3.993936248375e-10,        +3.732008971490e+09,        +1.543934549094e-11,        +3.009987175478e-07
 2.50e+01,        +3.052737737029e+00,        +3.334034707441e-10,        +4.578143308189e+09,        +3.487795619516e-11,        +6.799976378373e-07
 2.60e+01,        +3.228661579902e+00,        -5.014277105247e-10,        +3.219468641375e+09,        +3.506367174413e-11,        +6.837013797449e-07
 2.70e+01,        +3.228673123326e+00,        -9.472758841151e-10,        +1.704188387706e+09,        +2.166697675909e-11,        +4.224811974745e-07
