        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667483e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199118934902e-12,        +1.792139925679e-02,        +3.020621638011e-14,        +8.732493591846e-05,        +6.199118934902e-12,        +1.792139925679e-02,        +3.020621638011e-14,        +8.732493591846e-05,        +3.235968719996e-12,        +9.355053197480e-03,        +3.790487583660e-14,        +1.095814454805e-04,        +3.341302321744e-10,        +9.659568331309e-01,        +3.458264504728e-10,        +9.997701217003e-01,        +2.340646891180e-12,        +6.766714414820e-03,        +1.140518327123e-14,        +3.297191828881e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666985e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261503978866e-13,        +3.646956399238e-04,        +5.073769703266e-12,        +1.466806066311e-02,        +1.261503978866e-13,        +3.646956399238e-04,        +5.073769703266e-12,        +1.466806066311e-02,        +1.570315924737e-13,        +4.539719102348e-04,        +2.593810727139e-12,        +7.498600709020e-03,        +3.455751539236e-10,        +9.990436337366e-01,        +3.363226673998e-10,        +9.722950737446e-01,        +4.763080651079e-14,        +1.376987132150e-04,        +1.915718868288e-12,        +5.538264883294e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059666304e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261503675525e-13,        +3.646955522293e-04,        +5.073755640212e-12,        +1.466802001029e-02,        +1.261503675525e-13,        +3.646955522293e-04,        +5.073755640212e-12,        +1.466802001029e-02,        +1.570322475047e-13,        +4.539738039027e-04,        +2.593815695521e-12,        +7.498615073883e-03,        +3.455751524999e-10,        +9.990436296206e-01,        +3.363226484988e-10,        +9.722950192938e-01,        +4.763160557102e-14,        +1.377010232654e-04,        +1.915746795912e-12,        +5.538345622003e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059666278e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276520555351e-12,        +1.236324598820e-02,        +2.206708184766e-12,        +6.379503095246e-03,        +4.276520555351e-12,        +1.236324598820e-02,        +2.206708184766e-12,        +6.379503095246e-03,        +1.845032509894e-12,        +5.333913512354e-03,        +1.480716370110e-12,        +4.280690456268e-03,        +3.392191247153e-10,        +9.806686132982e-01,        +3.405472138766e-10,        +9.845080649999e-01,        +5.652889399056e-13,        +1.634227201297e-03,        +1.671328196283e-12,        +4.831741448628e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059664710e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276527173303e-12,        +1.236326512043e-02,        +2.206731386584e-12,        +6.379570173645e-03,        +4.276527173303e-12,        +1.236326512043e-02,        +2.206731386584e-12,        +6.379570173645e-03,        +1.845040042475e-12,        +5.333935288735e-03,        +1.480709761962e-12,        +4.280671354322e-03,        +3.392190962402e-10,        +9.806685309777e-01,        +3.405472372397e-10,        +9.845081329879e-01,        +5.653032645044e-13,        +1.634268613126e-03,        +1.671288082713e-12,        +4.831625484128e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059656444e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478636988634e-12,        +4.274679048336e-03,        +2.365779787780e-14,        +6.839372612070e-05,        +1.478636988634e-12,        +4.274679048336e-03,        +2.365779787780e-14,        +6.839372612070e-05,        +9.948257280299e-13,        +2.876000484935e-03,        +3.790244650656e-14,        +1.095744227364e-04,        +3.423267058388e-10,        +9.896525032059e-01,        +3.458264546734e-10,        +9.997701370344e-01,        +1.105798165045e-12,        +3.196817260855e-03,        +1.795072669069e-14,        +5.189481672351e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059664985e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887423089073e-14,        +1.702029931687e-04,        +2.256718902103e-14,        +6.524082035783e-05,        +5.887423089073e-14,        +1.702029931687e-04,        +2.256718902103e-14,        +6.524082035783e-05,        +6.052503894760e-14,        +1.749754117324e-04,        +3.607077907748e-14,        +1.042791468520e-04,        +3.457787847881e-10,        +9.996323222360e-01,        +3.458302861867e-10,        +9.997812113143e-01,        +7.782662557044e-15,        +2.249935909123e-05,        +1.704234370404e-14,        +4.926871853803e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059666666e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888115700336e-14,        +1.702230162770e-04,        +2.256803299098e-14,        +6.524326020872e-05,        +5.888115700336e-14,        +1.702230162770e-04,        +2.256803299098e-14,        +6.524326020872e-05,        +6.053157241067e-14,        +1.749942997069e-04,        +3.607604190808e-14,        +1.042943614293e-04,        +3.457787710221e-10,        +9.996322824391e-01,        +3.458302752797e-10,        +9.997811792966e-01,        +7.782968983001e-15,        +2.250024495614e-05,        +1.704731201992e-14,        +4.928308171207e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666179e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340160921795e-15,        +6.765309497208e-06,        +1.572794595737e-13,        +4.546884840163e-04,        +2.340160921795e-15,        +6.765309497208e-06,        +1.572794595737e-13,        +4.546884840163e-04,        +5.250420976962e-15,        +1.517875226826e-05,        +1.937018936342e-13,        +5.599842510037e-04,        +3.458974926773e-10,        +9.999755018877e-01,        +3.454956137821e-10,        +9.988136867376e-01,        +8.834613030842e-16,        +2.554050487941e-06,        +5.937148252169e-14,        +1.716405273439e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059668300e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340215007607e-15,        +6.765465857079e-06,        +1.572781102310e-13,        +4.546845828431e-04,        +2.340215007607e-15,        +6.765465857079e-06,        +1.572781102310e-13,        +4.546845828431e-04,        +5.250842812128e-15,        +1.517997177647e-05,        +1.937157560849e-13,        +5.600243264383e-04,        +3.458974920415e-10,        +9.999755000496e-01,        +3.454955845337e-10,        +9.988136015693e-01,        +8.836212110868e-16,        +2.554512775435e-06,        +5.938842989566e-14,        +1.716895214035e-04
