        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667701e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199126770409e-12,        +1.792142190892e-02,        +3.020625806201e-14,        +8.732505641361e-05,        +6.199126770409e-12,        +1.792142190892e-02,        +3.020625806201e-14,        +8.732505641361e-05,        +3.235971309088e-12,        +9.355060682440e-03,        +3.790490891274e-14,        +1.095815410953e-04,        +3.341302222293e-10,        +9.659568043800e-01,        +3.458264504212e-10,        +9.997701214880e-01,        +2.340646411678e-12,        +6.766713028600e-03,        +1.140518197326e-14,        +3.297191453433e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666712e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261500406548e-13,        +3.646946071814e-04,        +5.073708957835e-12,        +1.466788505172e-02,        +1.261500406548e-13,        +3.646946071814e-04,        +5.073708957835e-12,        +1.466788505172e-02,        +1.570316633597e-13,        +4.539721151633e-04,        +2.593809445992e-12,        +7.498597005868e-03,        +3.455751537188e-10,        +9.990436331444e-01,        +3.363226716448e-10,        +9.722950860937e-01,        +4.763129769556e-14,        +1.377001332100e-04,        +1.915776622484e-12,        +5.538431848751e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059665987e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261535164726e-13,        +3.647046556283e-04,        +5.073925327849e-12,        +1.466851057165e-02,        +1.261535164726e-13,        +3.647046556283e-04,        +5.073925327849e-12,        +1.466851057165e-02,        +1.570362031409e-13,        +4.539852394850e-04,        +2.593875118163e-12,        +7.498786862999e-03,        +3.455751441522e-10,        +9.990436054879e-01,        +3.363224278656e-10,        +9.722943815417e-01,        +4.763284867483e-14,        +1.377046170277e-04,        +1.915738287029e-12,        +5.538321023677e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059668755e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276543601936e-12,        +1.236331261493e-02,        +2.206739238601e-12,        +6.379592866044e-03,        +4.276543601936e-12,        +1.236331261493e-02,        +2.206739238601e-12,        +6.379592866044e-03,        +1.845039068560e-12,        +5.333932473188e-03,        +1.480714754969e-12,        +4.280685783896e-03,        +3.392190995529e-10,        +9.806685405547e-01,        +3.405472193312e-10,        +9.845080800639e-01,        +5.652844970388e-13,        +1.634214357151e-03,        +1.671293550680e-12,        +4.831641286148e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059668170e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276583803111e-12,        +1.236342883489e-02,        +2.206721934644e-12,        +6.379542842092e-03,        +4.276583803111e-12,        +1.236342883489e-02,        +2.206721934644e-12,        +6.379542842092e-03,        +1.845060575750e-12,        +5.333994649594e-03,        +1.480733962744e-12,        +4.280741313514e-03,        +3.392190214323e-10,        +9.806683147110e-01,        +3.405471496011e-10,        +9.845078786434e-01,        +5.653009093553e-13,        +1.634261804487e-03,        +1.671361318504e-12,        +4.831837200970e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059680088e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478596074705e-12,        +4.274560767840e-03,        +2.365712822462e-14,        +6.839178971327e-05,        +1.478596074705e-12,        +4.274560767840e-03,        +2.365712822462e-14,        +6.839178971327e-05,        +9.947941451987e-13,        +2.875909180262e-03,        +3.790122758189e-14,        +1.095708981261e-04,        +3.423268193509e-10,        +9.896528313648e-01,        +3.458264595862e-10,        +9.997701444035e-01,        +1.105757149687e-12,        +3.196698687132e-03,        +1.795006678776e-14,        +5.189290861643e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059669082e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888502843570e-14,        +1.702342084295e-04,        +2.256874162980e-14,        +6.524530880900e-05,        +5.888502843570e-14,        +1.702342084295e-04,        +2.256874162980e-14,        +6.524530880900e-05,        +6.053427383138e-14,        +1.750021094036e-04,        +3.607392064771e-14,        +1.042882288795e-04,        +3.457787653420e-10,        +9.996322660183e-01,        +3.458302799954e-10,        +9.997811922312e-01,        +7.782076178763e-15,        +2.249766389561e-05,        +1.704425054261e-14,        +4.927423107199e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059669833e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887026418435e-14,        +1.701915255828e-04,        +2.256755369550e-14,        +6.524187452537e-05,        +5.887026418435e-14,        +1.701915255828e-04,        +2.256755369550e-14,        +6.524187452537e-05,        +6.052164254213e-14,        +1.749655928631e-04,        +3.607358865247e-14,        +1.042872690722e-04,        +3.457787918671e-10,        +9.996323427010e-01,        +3.458302807075e-10,        +9.997811940727e-01,        +7.782946704657e-15,        +2.250018055036e-05,        +1.704513350900e-14,        +4.927678368099e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666585e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340191965131e-15,        +6.765399242224e-06,        +1.572710038391e-13,        +4.546640387803e-04,        +2.340191965131e-15,        +6.765399242224e-06,        +1.572710038391e-13,        +4.546640387803e-04,        +5.250560938406e-15,        +1.517915689106e-05,        +1.937052908885e-13,        +5.599940722613e-04,        +3.458974924137e-10,        +9.999755011258e-01,        +3.454956065136e-10,        +9.988136656073e-01,        +8.835538448347e-16,        +2.554318022356e-06,        +5.938385017037e-14,        +1.716762816902e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059665109e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340439087053e-15,        +6.766113661591e-06,        +1.572903320604e-13,        +4.547199160713e-04,        +2.340439087053e-15,        +6.766113661591e-06,        +1.572903320604e-13,        +4.547199160713e-04,        +5.251111985140e-15,        +1.518074994463e-05,        +1.937238924753e-13,        +5.600478489267e-04,        +3.458974915393e-10,        +9.999754985978e-01,        +3.454955669944e-10,        +9.988135517851e-01,        +8.836301508312e-16,        +2.554538619871e-06,        +5.938529194254e-14,        +1.716804498678e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059665980e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.008386388747e-12,        +8.697121987427e-03,        +3.979510529739e-12,        +1.150460215786e-02,        +3.008386388747e-12,        +8.697121987427e-03,        +3.979510529739e-12,        +1.150460215786e-02,        +1.324153876899e-12,        +3.828074691666e-03,        +2.594361777352e-12,        +7.500193774821e-03,        +3.411435926889e-10,        +9.862321714866e-01,        +3.363208573076e-10,        +9.722898411245e-01,        +4.298337659206e-13,        +1.242631834298e-03,        +3.011236983315e-12,        +8.705362942798e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059666916e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009398727333e-12,        +8.700048616867e-03,        +3.979043909031e-12,        +1.150325317337e-02,        +3.009398727333e-12,        +8.700048616867e-03,        +3.979043909031e-12,        +1.150325317337e-02,        +1.324570668157e-12,        +3.829279618142e-03,        +2.594502032046e-12,        +7.500599243377e-03,        +3.411420303112e-10,        +9.862276547166e-01,        +3.363203006516e-10,        +9.722882315920e-01,        +4.299670137681e-13,        +1.243017048375e-03,        +3.012120098836e-12,        +8.707915991291e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059669609e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.645881234246e-13,        +4.758175321027e-04,        +6.465254042431e-12,        +1.869078495301e-02,        +1.645881234246e-13,        +4.758175321027e-04,        +6.465254042431e-12,        +1.869078495301e-02,        +1.616460607450e-13,        +4.673121492456e-04,        +2.774693406998e-12,        +8.021525131167e-03,        +3.455578538539e-10,        +9.989936199428e-01,        +3.357723197283e-10,        +9.707040404025e-01,        +2.187868241695e-14,        +6.325037588793e-05,        +8.936997831989e-13,        +2.583649513337e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059731508e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385070589271e-11,        +4.004182415246e-02,        +3.605981794176e-13,        +1.042474566522e-03,        +1.385070589271e-11,        +4.004182415246e-02,        +3.605981794176e-13,        +1.042474566522e-03,        +6.814520080304e-12,        +1.970049879426e-02,        +4.424471142549e-13,        +1.279096484587e-03,        +3.200109109090e-10,        +9.251384529241e-01,        +3.449667710714e-10,        +9.972848052583e-01,        +5.229829838465e-12,        +1.511922412917e-02,        +1.361567857535e-13,        +3.936236906038e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059668342e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017309406495e-16,        +2.317771353442e-06,        +2.262535513865e-16,        +6.540897616113e-07,        +8.017309406495e-16,        +2.317771353442e-06,        +2.262535513865e-16,        +6.540897616113e-07,        +1.484487282354e-15,        +4.291592008164e-06,        +6.512075502924e-16,        +1.882614388680e-06,        +3.459035744389e-10,        +9.999930840119e-01,        +3.459049191375e-10,        +9.999969711517e-01,        +1.060633364462e-16,        +3.066247669903e-07,        +1.702355909850e-16,        +4.921441296404e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059665866e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017087675033e-16,        +2.317707251784e-06,        +2.263322508190e-16,        +6.543172789196e-07,        +8.017087675033e-16,        +2.317707251784e-06,        +2.263322508190e-16,        +6.543172789196e-07,        +1.485209084474e-15,        +4.293678708568e-06,        +6.514541189368e-16,        +1.883327209893e-06,        +3.459035737489e-10,        +9.999930820169e-01,        +3.459049185318e-10,        +9.999969701165e-01,        +1.060537678346e-16,        +3.065971045256e-07,        +1.702684015610e-16,        +4.922389840257e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059665322e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.619119896582e-14,        +1.913560485625e-04,        +1.232074653331e-13,        +3.561877424904e-04,        +6.619119896582e-14,        +1.913560485625e-04,        +1.232074653331e-13,        +3.561877424904e-04,        +6.924194830759e-14,        +2.001756401142e-04,        +1.937268762867e-13,        +5.600564749688e-04,        +3.457610290422e-10,        +9.995809911011e-01,        +3.454955606953e-10,        +9.988135335131e-01,        +9.504530979611e-15,        +2.747721026533e-05,        +9.347149529481e-14,        +2.702222694563e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667342e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.616972081674e-14,        +1.912939561121e-04,        +1.231995432728e-13,        +3.561648399304e-04,        +6.616972081674e-14,        +1.912939561121e-04,        +1.231995432728e-13,        +3.561648399304e-04,        +6.922706336497e-14,        +2.001326083540e-04,        +1.937358578616e-13,        +5.600824400075e-04,        +3.457610607065e-10,        +9.995810826411e-01,        +3.454955417822e-10,        +9.988134782530e-01,        +9.509229841493e-15,        +2.749079448282e-05,        +9.348955081666e-14,        +2.702744670736e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667038e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.336567048494e-17,        +1.253683794358e-07,        +3.571667989461e-15,        +1.032554605373e-05,        +4.336567048494e-17,        +1.253683794358e-07,        +3.571667989461e-15,        +1.032554605373e-05,        +1.495259642752e-16,        +4.322734461417e-07,        +7.953901483683e-15,        +2.299440382448e-05,        +3.459057580414e-10,        +9.999993967175e-01,        +3.458930924145e-10,        +9.999627809564e-01,        +1.578739866406e-17,        +4.564072373119e-08,        +1.348719798752e-15,        +3.899093767026e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059668851e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.180999261924e-17,        +1.208709783634e-07,        +3.572904682925e-15,        +1.032912127853e-05,        +4.180999261924e-17,        +1.208709783634e-07,        +3.572904682925e-15,        +1.032912127853e-05,        +1.489562620052e-16,        +4.306264601834e-07,        +7.957059239155e-15,        +2.300353275432e-05,        +3.459057603656e-10,        +9.999994034365e-01,        +3.458930881122e-10,        +9.999627679942e-01,        +1.558860425836e-17,        +4.506601723630e-08,        +1.348809028443e-15,        +3.899351724368e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059666582e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.226818982045e-16,        +1.221956077289e-06,        +1.023542495557e-16,        +2.959019485686e-07,        +4.226818982045e-16,        +1.221956077289e-06,        +1.023542495557e-16,        +2.959019485686e-07,        +1.995461263321e-16,        +5.768796885004e-07,        +7.845784644271e-17,        +2.268184246739e-07,        +3.459052898459e-10,        +9.999980431832e-01,        +3.459057179912e-10,        +9.999992811141e-01,        +5.464657096503e-17,        +1.579810012621e-07,        +6.785483103523e-17,        +1.961655408572e-07
 2.20e+01,        +3.459059667205e-10,        +3.459059666739e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.711728720945e-16,        +7.839496805028e-07,        +6.491536049600e-17,        +1.876676517616e-07,        +2.711728720945e-16,        +7.839496805028e-07,        +6.491536049600e-17,        +1.876676517616e-07,        +1.383768595047e-16,        +4.000418403205e-07,        +5.329001872101e-17,        +1.540592642371e-07,        +3.459055209262e-10,        +9.999987112271e-01,        +3.459058050554e-10,        +9.999995327678e-01,        +3.624452126362e-17,        +1.047814283380e-07,        +4.341302880655e-17,        +1.255052904233e-07
