        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.102608387138e+00,        -1.235691571771e-16,        +4.461503227531e+15,        +9.029936523637e-17,        +3.711968930128e-13
 2.00e+00,        +1.756991493845e+00,        +6.537469891850e-14,        +1.343785533938e+13,        +5.210561358594e-16,        +2.144072652466e-12
 3.00e+00,        +1.758151197463e+00,        +3.886458794612e-14,        +2.261893526184e+13,        +3.440702178101e-16,        +1.415803603379e-12
 4.00e+00,        +1.889609586197e+00,        +1.356147882453e-14,        +6.966827182516e+13,        +3.125849306870e-16,        +1.286576040114e-12
 5.00e+00,        +1.890567515546e+00,        +1.081682673047e-14,        +8.739011739088e+13,        +2.180417065254e-16,        +8.974449871983e-13
 6.00e+00,        +2.022060429878e+00,        +1.861250921933e-14,        +5.431993091448e+13,        +2.365062507278e-16,        +9.737118890778e-13
 7.00e+00,        +2.197715209865e+00,        +3.875173201846e-14,        +2.835634816035e+13,        +3.573640412796e-16,        +1.471875008753e-12
 8.00e+00,        +2.200327750833e+00,        +5.394872881999e-15,        +2.039276734559e+14,        +6.561873919187e-16,        +2.702655130143e-12
 9.00e+00,        +2.344589232213e+00,        +2.999827493172e-11,        +3.907873431972e+10,        +1.264308070715e-10,        +5.209163047597e-07
 1.00e+01,        +2.345391411637e+00,        +1.310382779227e-11,        +8.949260661915e+10,        +1.073639789469e-10,        +4.423586385844e-07
 1.10e+01,        +2.420829095350e+00,        +1.842861132783e-13,        +6.568126735882e+12,        +1.414003077872e-12,        +5.827063632515e-09
 1.20e+01,        +2.431232472485e+00,        +2.716303494269e-13,        +4.475259258794e+12,        +5.342110740234e-13,        +2.201526982061e-09
 1.30e+01,        +2.432500962957e+00,        +1.299221189914e-13,        +9.361381194523e+12,        +1.213760778621e-12,        +5.002022697536e-09
 1.40e+01,        +2.524996600163e+00,        -2.803205210019e-12,        +4.503766957800e+11,        +2.431530252813e-12,        +1.002302210156e-08
 1.50e+01,        +2.564680195798e+00,        -9.103203678399e-14,        +1.408669017196e+13,        +1.291646774633e-12,        +5.324877918043e-09
 1.60e+01,        +2.568333617767e+00,        +9.825050149237e-14,        +1.307033337619e+13,        +4.722067421611e-13,        +1.946715234739e-09
 1.70e+01,        +2.881348380512e+00,        -2.282119082568e-12,        +6.312879118626e+11,        +1.125447832209e-12,        +4.643990770170e-09
 1.80e+01,        +2.883309744537e+00,        +3.828093238401e-11,        +3.765986830745e+10,        +2.583836442028e-12,        +1.066187581896e-08
 1.90e+01,        +2.899370550575e+00,        +3.352180662894e-12,        +4.324603656760e+11,        +8.628621075783e-11,        +3.560668427042e-07
 2.00e+01,        +2.901413804626e+00,        +1.003650285455e-12,        +1.445430667770e+12,        +5.024580135729e-11,        +2.073445676420e-07
 2.10e+01,        +2.950310039201e+00,        +8.616782923192e-11,        +1.711955648354e+10,        +6.039500601796e-10,        +2.492643974292e-06
 2.20e+01,        +2.952516491847e+00,        +2.276594092680e-12,        +6.484503542682e+11,        +1.641663014572e-12,        +6.775576560927e-09
 2.30e+01,        +2.964770502668e+00,        +8.748626180399e-13,        +1.694420610467e+12,        +2.512052462574e-11,        +1.036830485473e-07
 2.40e+01,        +2.970057588402e+00,        +3.099344087422e-13,        +4.791429258299e+12,        +1.995965085542e-11,        +8.238331570869e-08
 2.50e+01,        +3.042399386634e+00,        -9.964667210211e-12,        +1.526593574302e+11,        +5.528969342940e-12,        +2.282607961041e-08
 2.60e+01,        +3.193704217904e+00,        +4.341475113712e-12,        +3.678132586569e+11,        +4.552623493720e-12,        +1.880474762403e-08
 2.70e+01,        +3.199185273634e+00,        +2.126747306409e-11,        +7.521310275069e+10,        +8.121600879166e-12,        +3.354714253460e-08
