        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.135726522409e-12,        +1.773813438543e-02,        +2.935850737397e-14,        +8.487424386550e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667188e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.257178112658e-13,        +3.634450496986e-04,        +5.008076403095e-12,        +1.447814401873e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059667217e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261816956067e-13,        +3.647861203525e-04,        +5.032610942396e-12,        +1.454907236811e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059667196e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.340492254158e-12,        +1.254818555259e-02,        +2.248446476565e-12,        +6.500166787780e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.347072194220e-12,        +1.256720789015e-02,        +2.232134174510e-12,        +6.453008589801e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059667179e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.437693659842e-12,        +4.156313559644e-03,        +2.278593007728e-14,        +6.587319176217e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059667189e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.009092148587e-14,        +1.737203959087e-04,        +2.355170755790e-14,        +6.808702313319e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667189e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.958507939281e-14,        +1.722580271099e-04,        +2.269860434911e-14,        +6.562073665402e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667188e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.004045880919e-15,        +1.157553285039e-05,        +1.520962316678e-13,        +4.397039840352e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667187e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.661705421925e-15,        +7.694881493838e-06,        +1.517628714091e-13,        +4.387402531640e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059667186e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.629517172169e-13,        +4.710867486960e-04,        +6.499121814002e-12,        +1.878869530831e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059667198e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.938841994976e-12,        +8.496071989852e-03,        +3.861848932732e-12,        +1.116444728998e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059667210e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.883412560544e-12,        +8.335827762328e-03,        +3.839628489249e-12,        +1.110020889679e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.318708292968e-11,        +3.812331731282e-02,        +3.358360902225e-13,        +9.708883989676e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059667199e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.558670376805e-15,        +7.397011393193e-06,        +5.823843005441e-16,        +1.683649189595e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059667199e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.713919157043e-15,        +4.954870172644e-06,        +1.681457405055e-15,        +4.861024575550e-06
 1.70e+01,        +3.459059667205e-10,        +3.459059667189e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.690169624148e-14,        +1.934100671225e-04,        +1.159230898918e-13,        +3.351289108753e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667211e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.322781092653e-14,        +2.116986058980e-04,        +1.200462750883e-13,        +3.470488706114e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.551150403742e-15,        +2.472102601992e-05,        +1.058685223918e-14,        +3.060615675281e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059667198e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.991386920092e-15,        +1.153893631247e-05,        +7.552903699690e-15,        +2.183513563328e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059667177e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.559898567351e-12,        +2.474631660306e-02,        +2.067739866553e-12,        +5.977751370331e-03
 2.20e+01,        +3.459059667205e-10,        +3.459059667177e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.563176737465e-12,        +2.475579365876e-02,        +2.090960188193e-12,        +6.044880370335e-03
 2.30e+01,        +3.459059667205e-10,        +3.459059667190e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.541500956486e-14,        +2.469312986263e-04,        +1.792654083135e-14,        +5.182489623231e-05
 2.40e+01,        +3.459059667205e-10,        +3.459059667188e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.744678381506e-14,        +1.660763020647e-04,        +1.587077678142e-14,        +4.588176645799e-05
 2.50e+01,        +3.459059667205e-10,        +3.459059667191e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.390691631013e-12,        +2.136618717822e-02,        +2.720117059787e-13,        +7.863747149513e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059667200e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.009639854162e-13,        +2.026458207882e-03,        +8.147618983757e-12,        +2.355443319182e-02
 2.70e+01,        +3.459059667205e-10,        +3.459059667199e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.120692177746e-13,        +2.058562980355e-03,        +8.096660124904e-12,        +2.340711321542e-02
