        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.102884989155e+00,        -1.370167931931e-16,        +4.024634365809e+15,        +3.830999944587e-17,        +4.455405672785e-13
 2.00e+00,        +1.758293703591e+00,        +1.880063715161e-15,        +4.676154561711e+14,        +9.853048729384e-17,        +1.146334979120e-12
 3.00e+00,        +1.758622600659e+00,        +5.153255362741e-15,        +1.706322001209e+14,        +2.260767017642e-16,        +2.630248761915e-12
 4.00e+00,        +1.889905026095e+00,        -2.752015249641e-15,        +3.433674697736e+14,        +1.080768337818e-16,        +1.257523097192e-12
 5.00e+00,        +1.890130679305e+00,        -1.863395308538e-15,        +5.071738322633e+14,        +8.914035648997e-17,        +1.037188754671e-12
 6.00e+00,        +2.022843166630e+00,        +2.006501466772e-14,        +5.040721873689e+13,        +1.231689670576e-16,        +1.433278651881e-12
 7.00e+00,        +2.199313039096e+00,        -1.179555906071e-15,        +9.322631626771e+14,        +1.416928787561e-15,        +1.649085621776e-11
 8.00e+00,        +2.199947183326e+00,        +5.563630526278e-15,        +1.977078791389e+14,        +1.586135962187e-15,        +1.846017610204e-11
 9.00e+00,        +2.346077482140e+00,        -1.176455045967e-11,        +9.970961024745e+10,        +2.015701585269e-11,        +2.346282852246e-07
 1.00e+01,        +2.347839297318e+00,        +4.294495586093e-12,        +2.733544895146e+11,        +9.080620046237e-11,        +1.056988747993e-06
 1.10e+01,        +2.421197598941e+00,        +1.381743265282e-15,        +8.761387371213e+14,        +2.062940067302e-13,        +2.401443547398e-09
 1.20e+01,        +2.431192002197e+00,        +2.650149141376e-14,        +4.586896571668e+13,        +4.787756306373e-14,        +5.573424117380e-10
 1.30e+01,        +2.433968229432e+00,        +3.320234240127e-12,        +3.665356196885e+11,        +3.684928801168e-13,        +4.289635096211e-09
 1.40e+01,        +2.525521126670e+00,        +2.939995820978e-12,        +4.295110062146e+11,        +5.436004593939e-13,        +6.328651459974e-09
 1.50e+01,        +2.565664804038e+00,        +1.091729772498e-13,        +1.175045724990e+13,        +6.011930760779e-13,        +6.999441503933e-09
 1.60e+01,        +2.568856084935e+00,        -3.379072890551e-13,        +3.801125587019e+12,        +5.844187620192e-13,        +6.804167804374e-09
 1.70e+01,        +2.881243119692e+00,        +8.768315510940e-12,        +1.642985540436e+11,        +8.458140830578e-13,        +9.850905474110e-09
 1.80e+01,        +2.884533642354e+00,        +4.349237453288e-12,        +3.316137223289e+11,        +4.171101206048e-13,        +4.857956735415e-09
 1.90e+01,        +2.902380794625e+00,        -2.134996185670e-11,        +6.797156861697e+10,        +5.034573386588e-12,        +5.863740079824e-08
 2.00e+01,        +2.905061763872e+00,        -3.160496016176e-12,        +4.595895310425e+11,        +6.436364364610e-12,        +7.496422094915e-08
 2.10e+01,        +2.950469780887e+00,        -1.136573950019e-10,        +1.297966481124e+10,        +2.081160915462e-10,        +2.424055451472e-06
 2.20e+01,        +2.955198876849e+00,        +9.135362578401e-13,        +1.617450238831e+12,        +2.001467778264e-10,        +2.331245216369e-06
