        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667095e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199124937305e-12,        +1.792141660949e-02,        +3.020626208374e-14,        +8.732506805558e-05,        +6.199124937305e-12,        +1.792141660949e-02,        +3.020626208374e-14,        +8.732506805558e-05,        +3.235974392410e-12,        +9.355069596198e-03,        +3.790496025885e-14,        +1.095816895540e-04,        +3.341302114011e-10,        +9.659567730762e-01,        +3.458264502549e-10,        +9.997701211824e-01,        +2.340655989638e-12,        +6.766740718089e-03,        +1.140523228135e-14,        +3.297205997875e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666951e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261503966069e-13,        +3.646956362242e-04,        +5.073772299829e-12,        +1.466806816981e-02,        +1.261503966069e-13,        +3.646956362242e-04,        +5.073772299829e-12,        +1.466806816981e-02,        +1.570325310359e-13,        +4.539746235798e-04,        +2.593821569670e-12,        +7.498632054405e-03,        +3.455751519153e-10,        +9.990436279308e-01,        +3.363226267369e-10,        +9.722949561993e-01,        +4.763187749677e-14,        +1.377018093916e-04,        +1.915746088696e-12,        +5.538343576433e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059666036e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261513151410e-13,        +3.646982916687e-04,        +5.073837750338e-12,        +1.466825738844e-02,        +1.261513151410e-13,        +3.646982916687e-04,        +5.073837750338e-12,        +1.466825738844e-02,        +1.570346782900e-13,        +4.539808312036e-04,        +2.593849837031e-12,        +7.498713776173e-03,        +3.455751474065e-10,        +9.990436148959e-01,        +3.363225218207e-10,        +9.722946531482e-01,        +4.763332055692e-14,        +1.377059812195e-04,        +1.915757195480e-12,        +5.538375687157e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059665532e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276544947787e-12,        +1.236331650573e-02,        +2.206682590256e-12,        +6.379429103939e-03,        +4.276544947787e-12,        +1.236331650573e-02,        +2.206682590256e-12,        +6.379429103939e-03,        +1.845049224273e-12,        +5.333961832939e-03,        +1.480705041992e-12,        +4.280657708066e-03,        +3.392190637450e-10,        +9.806684370355e-01,        +3.405472550412e-10,        +9.845081842171e-01,        +5.653088033967e-13,        +1.634284625837e-03,        +1.671323879805e-12,        +4.831728970907e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059665682e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276608730104e-12,        +1.236350089780e-02,        +2.206742543363e-12,        +6.379602425642e-03,        +4.276608730104e-12,        +1.236350089780e-02,        +2.206742543363e-12,        +6.379602425642e-03,        +1.845076008247e-12,        +5.334039264313e-03,        +1.480732247862e-12,        +4.280736358939e-03,        +3.392189663009e-10,        +9.806681553284e-01,        +3.405471563063e-10,        +9.845078987361e-01,        +5.653156812804e-13,        +1.634304509518e-03,        +1.671335470642e-12,        +4.831762479333e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059657065e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478545238307e-12,        +4.274413801892e-03,        +2.365625227936e-14,        +6.838925784654e-05,        +1.478545238307e-12,        +4.274413801892e-03,        +2.365625227936e-14,        +6.838925784654e-05,        +9.947933761263e-13,        +2.875906956905e-03,        +3.790108812536e-14,        +1.095704956922e-04,        +3.423268225359e-10,        +9.896528405724e-01,        +3.458264575917e-10,        +9.997701452919e-01,        +1.105805570191e-12,        +3.196838668831e-03,        +1.795077437551e-14,        +5.189495456906e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059666682e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887818253544e-14,        +1.702144172119e-04,        +2.256750129881e-14,        +6.524172310810e-05,        +5.887818253544e-14,        +1.702144172119e-04,        +2.256750129881e-14,        +6.524172310810e-05,        +6.052944778868e-14,        +1.749881575116e-04,        +3.607331291720e-14,        +1.042864720278e-04,        +3.457787754887e-10,        +9.996322953520e-01,        +3.458302810547e-10,        +9.997811959873e-01,        +7.783601413551e-15,        +2.250207328699e-05,        +1.704479930401e-14,        +4.927581755291e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059668383e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887969273323e-14,        +1.702187831319e-04,        +2.256572402715e-14,        +6.523658505637e-05,        +5.887969273323e-14,        +1.702187831319e-04,        +2.256572402715e-14,        +6.523658505637e-05,        +6.052990625678e-14,        +1.749894829241e-04,        +3.607345317030e-14,        +1.042868774425e-04,        +3.457787745776e-10,        +9.996322927178e-01,        +3.458302808933e-10,        +9.997811950290e-01,        +7.782543933592e-15,        +2.249901615568e-05,        +1.704676784071e-14,        +4.928150848777e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666058e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340150780475e-15,        +6.765280179066e-06,        +1.572806287786e-13,        +4.546918641557e-04,        +2.340150780475e-15,        +6.765280179066e-06,        +1.572806287786e-13,        +4.546918641557e-04,        +5.250555814669e-15,        +1.517914207855e-05,        +1.937074573114e-13,        +5.600003353864e-04,        +3.458974924858e-10,        +9.999755013342e-01,        +3.454956020472e-10,        +9.988136528474e-01,        +8.835280853612e-16,        +2.554243552772e-06,        +5.937647245351e-14,        +1.716549530387e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059666326e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340297236729e-15,        +6.765703578105e-06,        +1.572841750681e-13,        +4.547021162985e-04,        +2.340297236729e-15,        +6.765703578105e-06,        +1.572841750681e-13,        +4.547021162985e-04,        +5.251024457057e-15,        +1.518049690453e-05,        +1.937212263865e-13,        +5.600401411758e-04,        +3.458974917309e-10,        +9.999754991517e-01,        +3.454955726722e-10,        +9.988135678479e-01,        +8.836679318111e-16,        +2.554647843138e-06,        +5.938855895599e-14,        +1.716898946096e-04
