        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667233e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199994116038e-12,        +1.792392936965e-02,        +3.021203752849e-14,        +8.734176462663e-05,        +6.199994116038e-12,        +1.792392936965e-02,        +3.021203752849e-14,        +8.734176462663e-05,        +3.236396699763e-12,        +9.356290469479e-03,        +3.791182464580e-14,        +1.096015342115e-04,        +3.341286682493e-10,        +9.659523118875e-01,        +3.458264358199e-10,        +9.997700794115e-01,        +2.340907655362e-12,        +6.767468273405e-03,        +1.140704124773e-14,        +3.297728962523e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667058e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261967803438e-13,        +3.648297297102e-04,        +5.074966637874e-12,        +1.467152095179e-02,        +1.261967803438e-13,        +3.648297297102e-04,        +5.074966637874e-12,        +1.467152095179e-02,        +1.570932122288e-13,        +4.541500504261e-04,        +2.594420777369e-12,        +7.500364339118e-03,        +3.455750242430e-10,        +9.990432588353e-01,        +3.363203766520e-10,        +9.722884512657e-01,        +4.765248488998e-14,        +1.377613845224e-04,        +1.916202638607e-12,        +5.539663443379e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059665340e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.262376360060e-13,        +3.649478417585e-04,        +5.075360308682e-12,        +1.467265904528e-02,        +1.262376360060e-13,        +3.649478417585e-04,        +5.075360308682e-12,        +1.467265904528e-02,        +1.571230570386e-13,        +4.542363305504e-04,        +2.594831433983e-12,        +7.501551534317e-03,        +3.455749609760e-10,        +9.990430759330e-01,        +3.363188519007e-10,        +9.722840437551e-01,        +4.764505142946e-14,        +1.377398946921e-04,        +1.916922890636e-12,        +5.541745665286e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059665845e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.281519864263e-12,        +1.237769878576e-02,        +2.210112808945e-12,        +6.389345725278e-03,        +4.281519864263e-12,        +1.237769878576e-02,        +2.210112808945e-12,        +6.389345725278e-03,        +1.847142881659e-12,        +5.340014510799e-03,        +1.482523877241e-12,        +4.285915885984e-03,        +3.392114269748e-10,        +9.806463594451e-01,        +3.405406402534e-10,        +9.844890610472e-01,        +5.658769997648e-13,        +1.635927258295e-03,        +1.672689644932e-12,        +4.835677341586e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667892e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.281605083641e-12,        +1.237794515150e-02,        +2.209074490062e-12,        +6.386343984081e-03,        +4.281605083641e-12,        +1.237794515150e-02,        +2.209074490062e-12,        +6.386343984081e-03,        +1.847190391547e-12,        +5.340151859940e-03,        +1.482349922083e-12,        +4.285412986202e-03,        +3.392112445312e-10,        +9.806458320083e-01,        +3.405412695547e-10,        +9.844908797488e-01,        +5.659267140603e-13,        +1.636070980289e-03,        +1.673272822380e-12,        +4.837363280869e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059657828e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.477694895195e-12,        +4.271955494739e-03,        +2.364975748804e-14,        +6.837048165537e-05,        +1.477694895195e-12,        +4.271955494739e-03,        +2.364975748804e-14,        +6.837048165537e-05,        +9.941401207125e-13,        +2.874018422226e-03,        +3.788795988623e-14,        +1.095325424656e-04,        +3.423291394612e-10,        +9.896595387089e-01,        +3.458264847449e-10,        +9.997702235700e-01,        +1.104992243328e-12,        +3.194487374140e-03,        +1.794332054955e-14,        +5.187340585163e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059672614e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.891705687559e-14,        +1.703268013390e-04,        +2.257875230283e-14,        +6.527424918855e-05,        +5.891705687559e-14,        +1.703268013390e-04,        +2.257875230283e-14,        +6.527424918855e-05,        +6.055786618598e-14,        +1.750703139357e-04,        +3.608937023607e-14,        +1.043328929009e-04,        +3.457787150851e-10,        +9.996321207277e-01,        +3.458302477144e-10,        +9.997810978874e-01,        +7.776712274184e-15,        +2.248215706689e-05,        +1.705142446048e-14,        +4.929497052473e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059664094e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.901672270127e-14,        +1.706149311641e-04,        +2.259856829887e-14,        +6.533153658332e-05,        +5.901672270127e-14,        +1.706149311641e-04,        +2.259856829887e-14,        +6.533153658332e-05,        +6.068098025893e-14,        +1.754262316844e-04,        +3.613694960099e-14,        +1.044704431557e-04,        +3.457784563714e-10,        +9.996313727968e-01,        +3.458301465510e-10,        +9.997808078907e-01,        +7.812646136226e-15,        +2.258604039213e-05,        +1.708434051241e-14,        +4.939012960588e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059665912e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.350870237365e-15,        +6.796269690440e-06,        +1.573859068122e-13,        +4.549962186639e-04,        +2.350870237365e-15,        +6.796269690440e-06,        +1.573859068122e-13,        +4.549962186639e-04,        +5.257847890012e-15,        +1.520022317008e-05,        +1.938067574286e-13,        +5.602874079869e-04,        +3.458974728217e-10,        +9.999754444862e-01,        +3.454953878283e-10,        +9.988130335915e-01,        +8.851806191614e-16,        +2.559020960389e-06,        +5.938609861826e-14,        +1.716827818945e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059664528e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.349597611998e-15,        +6.792590582563e-06,        +1.575620433878e-13,        +4.555054224809e-04,        +2.349597611998e-15,        +6.792590582563e-06,        +1.575620433878e-13,        +4.555054224809e-04,        +5.263805193892e-15,        +1.521744549190e-05,        +1.940420234758e-13,        +5.609675527302e-04,        +3.458974664435e-10,        +9.999754260471e-01,        +3.454948900317e-10,        +9.988115948812e-01,        +8.868741405611e-16,        +2.563916861480e-06,        +5.947235429185e-14,        +1.719321435873e-04
