        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.303902360419e+00,        +2.938171315293e-07,        +2.218901181209e+06,        +3.557055776953e-12,        +9.115968972340e-08
 2.00e+00,        +1.638182393793e+00,        +2.112543854864e-07,        +3.877274287162e+06,        +7.066513350607e-12,        +1.811211265420e-07
 3.00e+00,        +1.638192218955e+00,        +2.112574654270e-07,        +3.877241014047e+06,        +7.220856881249e-12,        +1.850770915079e-07
 4.00e+00,        +1.840381245889e+00,        +2.115148855482e-07,        +4.350476896979e+06,        +9.100903824744e-12,        +2.332842766708e-07
 5.00e+00,        +2.077820608708e+00,        +3.139754487266e-08,        +3.308890260584e+07,        +7.027731235794e-12,        +1.801627675455e-07
 6.00e+00,        +2.077885960366e+00,        +3.151529561881e-08,        +3.296630920901e+07,        +3.997287793251e-12,        +1.024743876854e-07
 7.00e+00,        +2.104836171274e+00,        +1.234840763622e-08,        +8.522702818375e+07,        +6.948278051938e-12,        +1.781283461254e-07
 8.00e+00,        +2.104908730389e+00,        +1.235308002504e-08,        +8.519772907336e+07,        +1.088333330558e-11,        +2.790087298334e-07
 9.00e+00,        +2.450257227566e+00,        +1.495807165214e-07,        +8.190418138609e+06,        +1.144323202392e-11,        +2.934183930787e-07
 1.00e+01,        +2.450423916206e+00,        +1.495900994358e-07,        +8.190461552765e+06,        +1.458591359680e-11,        +3.740006095933e-07
 1.10e+01,        +2.450982990006e+00,        +3.733033329881e-08,        +3.282830306371e+07,        +8.439761284124e-12,        +2.164058419730e-07
 1.20e+01,        +2.622880019074e+00,        +7.075785657180e-10,        +1.853419638576e+09,        +4.682804120136e-12,        +1.200855334598e-07
 1.30e+01,        +2.623264915572e+00,        +4.114099420714e-10,        +3.188139915097e+09,        +6.055650728064e-12,        +1.552907632531e-07
 1.40e+01,        +2.784172445970e+00,        +3.491704789062e-07,        +3.986838255473e+06,        +1.950531156908e-11,        +5.002458169898e-07
 1.50e+01,        +2.784237441225e+00,        +3.576482644456e-07,        +3.892424090944e+06,        +1.924898951775e-11,        +4.936720377682e-07
 1.60e+01,        +2.785018528211e+00,        +1.514250878351e-08,        +9.196027448381e+07,        +7.277690905512e-12,        +1.866484673959e-07
 1.70e+01,        +2.785227308399e+00,        +4.337552407533e-09,        +3.210597874924e+08,        +1.424384914919e-11,        +3.653072138521e-07
 1.80e+01,        +2.908362537994e+00,        +1.405764367536e-07,        +1.034441690641e+07,        +1.107432187642e-11,        +2.840435284489e-07
 1.90e+01,        +2.994946197008e+00,        +1.366366118587e-06,        +1.095953037867e+06,        +2.680090542668e-11,        +6.874547296410e-07
 2.00e+01,        +3.073307090801e+00,        +1.189633889725e-08,        +1.291702900088e+08,        +8.367325493032e-12,        +2.146378494052e-07
 2.10e+01,        +3.073443670606e+00,        +1.210649977190e-08,        +1.269336194818e+08,        +9.057604014766e-12,        +2.323448329743e-07
 2.20e+01,        +3.082877618577e+00,        +1.818838220105e-08,        +8.474853850389e+07,        +7.071376000166e-12,        +1.813955685599e-07
 2.30e+01,        +3.083461578872e+00,        +1.825736772320e-08,        +8.444430833679e+07,        +1.409223196325e-11,        +3.614953502355e-07
 2.40e+01,        +3.164098754035e+00,        +1.107761058723e-09,        +1.428150380048e+09,        +6.409841463650e-12,        +1.644359274191e-07
 2.50e+01,        +3.165218608770e+00,        +1.898604983983e-09,        +8.335642841645e+08,        +6.680881550754e-12,        +1.713892461763e-07
 2.60e+01,        +3.171360673109e+00,        +7.369000424780e-07,        +2.151825546410e+06,        +3.588699187129e-11,        +9.206380058402e-07
 2.70e+01,        +3.172017293125e+00,        +7.369164150943e-07,        +2.152223256364e+06,        +4.160207926779e-11,        +1.067252299903e-06
 2.80e+01,        +3.264800243311e+00,        +1.276197789757e-06,        +1.279112168002e+06,        +3.253776082247e-11,        +8.347782549093e-07
