        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +2.935514697210e-10,        +2.935376175787e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.749635163443e-12,        +2.299302118929e-02,        +4.572185986885e-14,        +1.557615008461e-04,        +6.749635163443e-12,        +2.299302118929e-02,        +4.572185986885e-14,        +1.557615008461e-04,        +3.778721670981e-12,        +1.287243315311e-02,        +6.173420627585e-14,        +2.103110558199e-04,        +2.797478146307e-10,        +9.529770533821e-01,        +2.934079747221e-10,        +9.995583432960e-01,        +3.275298255871e-12,        +1.115749227549e-02,        +2.218679054667e-14,        +7.558414737327e-05
 2.00e+00,        +2.935514697210e-10,        +2.935392085559e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.634748328299e-12,        +1.578853729707e-02,        +1.917948194331e-12,        +6.533873971272e-03,        +4.634748328299e-12,        +1.578853729707e-02,        +1.917948194331e-12,        +6.533873971272e-03,        +2.162220881433e-12,        +7.365730048935e-03,        +1.374436657530e-12,        +4.682293259190e-03,        +2.856976011394e-10,        +9.732453440311e-01,        +2.885702827372e-10,        +9.830723607820e-01,        +1.056899371824e-12,        +3.600388622918e-03,        +1.676540966903e-12,        +5.711471987509e-03
 3.00e+00,        +2.935514697210e-10,        +2.935392086111e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.634777977704e-12,        +1.578863829948e-02,        +1.917976131057e-12,        +6.533969142083e-03,        +4.634777977704e-12,        +1.578863829948e-02,        +1.917976131057e-12,        +6.533969142083e-03,        +2.162237077650e-12,        +7.365785222282e-03,        +1.374454650358e-12,        +4.682354554479e-03,        +2.856975421848e-10,        +9.732451431987e-01,        +2.885702173674e-10,        +9.830721379019e-01,        +1.056912480841e-12,        +3.600433279540e-03,        +1.676560462331e-12,        +5.711538401508e-03
 4.00e+00,        +2.935514697210e-10,        +2.935347650282e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.705643761974e-12,        +9.216931410855e-03,        +3.614152185499e-14,        +1.231251836610e-04,        +2.705643761974e-12,        +9.216931410855e-03,        +3.614152185499e-14,        +1.231251836610e-04,        +1.927279127050e-12,        +6.565387422115e-03,        +6.172757593877e-14,        +2.102905116974e-04,        +2.865588714192e-10,        +9.761793108770e-01,        +2.934051363489e-10,        +9.995583873027e-01,        +2.359675412791e-12,        +8.038370289999e-03,        +3.175958154194e-14,        +1.081970019425e-04
 5.00e+00,        +2.935514697210e-10,        +2.935404909180e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.902289220431e-13,        +6.480257864965e-04,        +5.492766395434e-12,        +1.871212512542e-02,        +1.902289220431e-13,        +6.480257864965e-04,        +5.492766395434e-12,        +1.871212512542e-02,        +2.539823565951e-13,        +8.652055356306e-04,        +2.986927478099e-12,        +1.017552116492e-02,        +2.930149517357e-10,        +9.981723205618e-01,        +2.823954110568e-10,        +9.620322231309e-01,        +9.230670662319e-14,        +3.144481160695e-04,        +2.665385987702e-12,        +9.080130578804e-03
 6.00e+00,        +2.935514697210e-10,        +2.935404908838e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.902317759999e-13,        +6.480355086649e-04,        +5.492818435928e-12,        +1.871230241317e-02,        +1.902317759999e-13,        +6.480355086649e-04,        +5.492818435928e-12,        +1.871230241317e-02,        +2.539921881059e-13,        +8.652390272388e-04,        +2.987020982823e-12,        +1.017583970726e-02,        +2.930149309045e-10,        +9.981722495990e-01,        +2.823950593537e-10,        +9.620310251014e-01,        +9.231485239389e-14,        +3.144758651068e-04,        +2.665592111344e-12,        +9.080832778190e-03
 7.00e+00,        +2.935514697210e-10,        +2.935393973328e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.843595129942e-14,        +3.012621649739e-04,        +2.241337836904e-14,        +7.635560532146e-05,        +8.843595129942e-14,        +3.012621649739e-04,        +2.241337836904e-14,        +7.635560532146e-05,        +9.828889105738e-14,        +3.348267721187e-04,        +3.823592745663e-14,        +1.302582474586e-04,        +2.933445788565e-10,        +9.992952143463e-01,        +2.934593114891e-10,        +9.997271717375e-01,        +2.016602212178e-14,        +6.869671659605e-05,        +1.943653793732e-14,        +6.621440976551e-05
 8.00e+00,        +2.935514697210e-10,        +2.935393969182e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.844689354572e-14,        +3.012994403666e-04,        +2.241164789685e-14,        +7.634971023358e-05,        +8.844689354572e-14,        +3.012994403666e-04,        +2.241164789685e-14,        +7.634971023358e-05,        +9.830109125449e-14,        +3.348683327933e-04,        +3.823343391819e-14,        +1.302497529108e-04,        +2.933445531068e-10,        +9.992951266286e-01,        +2.934593164824e-10,        +9.997271901602e-01,        +2.016862932849e-14,        +6.870559819599e-05,        +1.943535403182e-14,        +6.621037665085e-05
 9.00e+00,        +2.935514697210e-10,        +2.935369973294e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.974704704609e-12,        +6.726945385374e-03,        +4.345216691916e-12,        +1.480296089232e-02,        +1.974704704609e-12,        +6.726945385374e-03,        +4.345216691916e-12,        +1.480296089232e-02,        +1.021914104228e-12,        +3.481209292527e-03,        +2.987872940748e-12,        +1.017886320270e-02,        +2.900341064966e-10,        +9.880178994584e-01,        +2.823884293328e-10,        +9.620198881296e-01,        +5.207444155039e-13,        +1.773945863732e-03,        +3.815478364024e-12,        +1.299828777543e-02
 1.00e+01,        +2.935514697210e-10,        +2.935369934437e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.974465739857e-12,        +6.726131338174e-03,        +4.345768774258e-12,        +1.480484188134e-02,        +1.974465739857e-12,        +6.726131338174e-03,        +4.345768774258e-12,        +1.480484188134e-02,        +1.021818614489e-12,        +3.480884001230e-03,        +2.988050929207e-12,        +1.017946969529e-02,        +2.900344740807e-10,        +9.880191516545e-01,        +2.823877765492e-10,        +9.620176770101e-01,        +5.207112859762e-13,        +1.773833006086e-03,        +3.815397191004e-12,        +1.299801141329e-02
 1.10e+01,        +2.935514697210e-10,        +2.935448756484e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.320921218355e-13,        +7.906351893113e-04,        +9.595094991842e-12,        +3.268697833899e-02,        +2.320921218355e-13,        +7.906351893113e-04,        +9.595094991842e-12,        +3.268697833899e-02,        +2.549808687004e-13,        +8.686070246650e-04,        +4.366043348453e-12,        +1.487351240184e-02,        +2.930113968415e-10,        +9.981602106098e-01,        +2.773652979767e-10,        +9.448820980573e-01,        +5.299988892596e-14,        +1.805471761948e-04,        +2.218439331486e-12,        +7.557411201901e-03
 1.20e+01,        +2.935514697210e-10,        +2.935394359576e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.668507474441e-15,        +5.683866873590e-06,        +2.761767247878e-16,        +9.408504989691e-07,        +1.668507474441e-15,        +5.683866873590e-06,        +2.761767247878e-16,        +9.408504989691e-07,        +3.340741003335e-15,        +1.138042676642e-05,        +8.476641008921e-16,        +2.887734992495e-06,        +2.935460800888e-10,        +9.999816399073e-01,        +2.935380750526e-10,        +9.999953638087e-01,        +3.803837231866e-16,        +1.295799075876e-06,        +2.370641643167e-16,        +8.076058453383e-07
 1.30e+01,        +2.935514697210e-10,        +2.935394356838e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.669309076492e-15,        +5.686597577175e-06,        +2.763506753457e-16,        +9.414430967409e-07,        +1.669309076492e-15,        +5.686597577175e-06,        +2.763506753457e-16,        +9.414430967409e-07,        +3.342440701139e-15,        +1.138621688495e-05,        +8.481445974865e-16,        +2.889371901635e-06,        +2.935460773011e-10,        +9.999816304111e-01,        +2.935380740047e-10,        +9.999953611715e-01,        +3.806700550932e-16,        +1.296774482019e-06,        +2.371838127946e-16,        +8.080134522372e-07
 1.40e+01,        +2.935514697210e-10,        +2.935413669361e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.464255866905e-12,        +1.180118726777e-02,        +3.671327879011e-12,        +1.250702044939e-02,        +3.464255866905e-12,        +1.180118726777e-02,        +3.671327879011e-12,        +1.250702044939e-02,        +2.164819622788e-12,        +7.374582811135e-03,        +1.891552094604e-12,        +6.443902998570e-03,        +2.856880644307e-10,        +9.732128566832e-01,        +2.866787342641e-10,        +9.766212416884e-01,        +2.234329800592e-12,        +7.611373237940e-03,        +1.299752698429e-12,        +4.427834863601e-03
 1.50e+01,        +2.935514697210e-10,        +2.935413669141e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.464246602364e-12,        +1.180115570757e-02,        +3.671509976359e-12,        +1.250764079678e-02,        +3.464246602364e-12,        +1.180115570757e-02,        +3.671509976359e-12,        +1.250764079678e-02,        +2.164844181741e-12,        +7.374666472623e-03,        +1.891665514745e-12,        +6.444289384597e-03,        +2.856879715602e-10,        +9.732125403144e-01,        +2.866783119267e-10,        +9.766198029956e-01,        +2.234407376693e-12,        +7.611637505398e-03,        +1.299879496279e-12,        +4.428266822984e-03
