        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106489875894e+00,        -2.044627922393e-13,        +2.705846535147e+12,        +1.977966286429e-11,        +1.809669206502e-07
 2.00e+00,        +1.763031331930e+00,        +7.542788266657e-11,        +1.168686743948e+10,        +2.041268040636e-11,        +1.868448272985e-07
 3.00e+00,        +1.763033379740e+00,        -4.078408609146e-12,        +2.161423178378e+11,        +1.786188661219e-11,        +1.634964668409e-07
 4.00e+00,        +1.893335438048e+00,        -1.055787677205e-11,        +8.966459255610e+10,        +1.181680891961e-11,        +1.081762705844e-07
 5.00e+00,        +1.893335891104e+00,        -2.861469139374e-11,        +3.308328342688e+10,        +1.070996820342e-11,        +9.804376348067e-08
 6.00e+00,        +2.022732389090e+00,        +3.225378375384e-10,        +3.135651315404e+09,        +5.552585381136e-11,        +5.083712780284e-07
 7.00e+00,        +2.200507137651e+00,        +1.978601127148e-10,        +5.560764894596e+09,        +3.414539320379e-11,        +3.126783618828e-07
 8.00e+00,        +2.200510103314e+00,        -4.240097328836e-11,        +2.594881594284e+10,        +2.258655391319e-11,        +2.068310257435e-07
 9.00e+00,        +2.363054683923e+00,        -2.145028924993e-10,        +5.508211699128e+09,        +3.785928136755e-11,        +3.467504660654e-07
 1.00e+01,        +2.363067578686e+00,        -2.971150897289e-11,        +3.976687250792e+10,        +1.442834174532e-11,        +1.321481580939e-07
 1.10e+01,        +2.444460426006e+00,        +1.476394508393e-10,        +8.278479810476e+09,        +2.257866079146e-11,        +2.068161874905e-07
 1.20e+01,        +2.444466284637e+00,        +5.138410422460e-11,        +2.378621094524e+10,        +4.258062903423e-11,        +3.900303698686e-07
 1.30e+01,        +2.444513456196e+00,        -1.067738693441e-10,        +1.144715215067e+10,        +2.291237302700e-11,        +2.098729406805e-07
 1.40e+01,        +2.540077080330e+00,        -5.255032304262e-10,        +2.416804439309e+09,        +3.567407191012e-10,        +3.268058056597e-06
 1.50e+01,        +2.569952597384e+00,        +1.985469509417e-10,        +6.471901444961e+09,        +3.614083108235e-11,        +3.310941166219e-07
 1.60e+01,        +2.569965794103e+00,        +4.226282495658e-13,        +3.040456709583e+12,        +1.849891138468e-11,        +1.694726059629e-07
 1.70e+01,        +2.907098050081e+00,        -3.724235580275e-10,        +3.902945970279e+09,        +1.736663959709e-11,        +1.591716098133e-07
 1.80e+01,        +2.907116404582e+00,        -1.812869039532e-10,        +8.017998932047e+09,        +3.248698345351e-11,        +2.977551045808e-07
 1.90e+01,        +2.935854652290e+00,        +1.622385046648e-10,        +9.047958924288e+09,        +9.147745790460e-11,        +8.384588998624e-07
 2.00e+01,        +2.935872685467e+00,        +5.232492434954e-11,        +2.805424682370e+10,        +6.363129223713e-11,        +5.832281076872e-07
 2.10e+01,        +2.975835075043e+00,        +6.348029291371e-11,        +2.343904650132e+10,        +1.105905026247e-11,        +1.013702845755e-07
 2.20e+01,        +2.975897133649e+00,        -6.486709656522e-12,        +2.293841786688e+11,        +1.356605874865e-11,        +1.243502224595e-07
 2.30e+01,        +2.981019288076e+00,        -2.446012555807e-11,        +6.093630388362e+10,        +2.348308717322e-11,        +2.152540388913e-07
 2.40e+01,        +2.981082340682e+00,        -3.755257879271e-11,        +3.969211218672e+10,        +2.527308773604e-11,        +2.316618198968e-07
 2.50e+01,        +3.052740902925e+00,        -6.549507572004e-10,        +2.330511774636e+09,        +1.428664853926e-10,        +1.309702058131e-06
 2.60e+01,        +3.228655274526e+00,        -8.580733047059e-11,        +1.881340007211e+10,        +2.752217743350e-11,        +2.523727448642e-07
 2.70e+01,        +3.228735935293e+00,        +1.187857637861e-10,        +1.359058456326e+10,        +4.791837796475e-11,        +4.394017932571e-07
