        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106490059070e+00,        +6.420617356859e-13,        +8.616695230152e+11,        +1.287404300642e-11,        +1.320126610944e-07
 2.00e+00,        +1.763029223294e+00,        -1.743295229710e-12,        +5.056599689047e+11,        +1.039526133521e-11,        +1.066349392556e-07
 3.00e+00,        +1.763032276768e+00,        +1.952243981489e-12,        +4.515399441577e+11,        +1.277846939664e-11,        +1.310819677237e-07
 4.00e+00,        +1.893335225326e+00,        +1.596566123487e-11,        +5.929398092171e+10,        +1.247237297062e-11,        +1.279541977753e-07
 5.00e+00,        +1.893338908121e+00,        +2.564235327763e-11,        +3.691819716432e+10,        +1.231175486957e-11,        +1.263064154385e-07
 6.00e+00,        +2.022730760587e+00,        +1.929895054449e-10,        +5.240520089226e+09,        +5.978811773844e-11,        +6.134289768838e-07
 7.00e+00,        +2.200505501064e+00,        -1.376390652478e-11,        +7.993753434399e+10,        +2.542662678665e-11,        +2.609175402058e-07
 8.00e+00,        +2.200513555401e+00,        +3.987637089153e-10,        +2.759169786772e+09,        +2.122978535598e-11,        +2.178512887246e-07
 9.00e+00,        +2.363048286084e+00,        -1.994654240765e-11,        +5.923453393050e+10,        +1.860526656342e-11,        +1.909478415433e-07
 1.00e+01,        +2.363061057087e+00,        -8.281211157949e-12,        +1.426760537810e+11,        +1.855839122892e-11,        +1.904667572650e-07
 1.10e+01,        +2.444442694286e+00,        +7.551396622132e-12,        +1.618536819482e+11,        +1.577133425511e-11,        +1.618755379512e-07
 1.20e+01,        +2.444463251935e+00,        +5.404700896421e-11,        +2.261423248744e+10,        +2.061029165411e-11,        +2.115421600877e-07
 1.30e+01,        +2.444528823178e+00,        +1.389587637710e-10,        +8.795878564403e+09,        +2.519074998724e-11,        +2.585555846101e-07
 1.40e+01,        +2.540066084651e+00,        -5.599411600411e-10,        +2.268154465074e+09,        +1.723165244866e-10,        +1.768809421180e-06
 1.50e+01,        +2.569946812032e+00,        -1.528644198676e-10,        +8.405967897099e+09,        +4.303352576418e-11,        +4.417476870481e-07
 1.60e+01,        +2.569955986745e+00,        +3.501653928328e-09,        +3.669631607445e+08,        +1.168327862959e-10,        +1.199311761864e-06
 1.70e+01,        +2.907079145139e+00,        +3.844876507816e-10,        +3.780458409040e+09,        +2.887185128215e-11,        +2.964845369006e-07
 1.80e+01,        +2.907118482312e+00,        -1.012918890057e-10,        +1.435020370757e+10,        +2.480086994214e-11,        +2.546797121972e-07
 1.90e+01,        +2.935830913265e+00,        -3.853778693894e-11,        +3.809028938165e+10,        +7.700928516519e-11,        +7.908335171439e-07
 2.00e+01,        +2.935856138242e+00,        +1.751380791145e-10,        +8.381547157207e+09,        +7.016234360589e-11,        +7.205200578851e-07
 2.10e+01,        +2.975836938349e+00,        -6.179092885627e-10,        +2.407988513387e+09,        +3.287988917396e-11,        +3.376702631952e-07
 2.20e+01,        +2.975840716241e+00,        +1.034426626920e-10,        +1.438401061418e+10,        +3.312683284734e-11,        +3.402063296926e-07
 2.30e+01,        +2.981070062330e+00,        +2.633989280733e-10,        +5.658850026717e+09,        +2.701086112974e-11,        +2.773981771637e-07
 2.40e+01,        +2.981074917688e+00,        +1.694354914370e-10,        +8.797079326193e+09,        +2.800448501696e-11,        +2.876025723013e-07
 2.50e+01,        +3.052742195526e+00,        +3.936622886298e-09,        +3.877361743427e+08,        +1.553958027511e-10,        +1.596033241840e-06
 2.60e+01,        +3.228628930967e+00,        +2.105195290073e-10,        +7.668240913781e+09,        +6.349225985603e-11,        +6.522576149690e-07
 2.70e+01,        +3.228709509939e+00,        -9.828880263866e-10,        +1.642460495632e+09,        +6.561824775613e-11,        +6.740980131967e-07
