        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667637e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199134712200e-12,        +1.792144486831e-02,        +3.020630371045e-14,        +8.732518838301e-05,        +6.199134712200e-12,        +1.792144486831e-02,        +3.020630371045e-14,        +8.732518838301e-05,        +3.235975989450e-12,        +9.355074213174e-03,        +3.790497174767e-14,        +1.095817227506e-04,        +3.341302051667e-10,        +9.659567550526e-01,        +3.458264502815e-10,        +9.997701211025e-01,        +2.340650852184e-12,        +6.766725865921e-03,        +1.140520680644e-14,        +3.297198632664e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667796e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261511773672e-13,        +3.646978933703e-04,        +5.073797629062e-12,        +1.466814139201e-02,        +1.261511773672e-13,        +3.646978933703e-04,        +5.073797629062e-12,        +1.466814139201e-02,        +1.570324002270e-13,        +4.539742454166e-04,        +2.593819602685e-12,        +7.498626366101e-03,        +3.455751521843e-10,        +9.990436287082e-01,        +3.363226339148e-10,        +9.722949767129e-01,        +4.763095863315e-14,        +1.376991529945e-04,        +1.915715633029e-12,        +5.538255528995e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059667382e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261529885864e-13,        +3.647031295310e-04,        +5.073910155873e-12,        +1.466846670417e-02,        +1.261529885864e-13,        +3.647031295310e-04,        +5.073910155873e-12,        +1.466846670417e-02,        +1.570363586040e-13,        +4.539856889225e-04,        +2.593877822806e-12,        +7.498794678985e-03,        +3.455751438805e-10,        +9.990436047024e-01,        +3.363224182198e-10,        +9.722943532638e-01,        +4.763349279294e-14,        +1.377064791468e-04,        +1.915760539716e-12,        +5.538385353052e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059667587e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276651351087e-12,        +1.236362411332e-02,        +2.206770766267e-12,        +6.379684013390e-03,        +4.276651351087e-12,        +1.236362411332e-02,        +2.206770766267e-12,        +6.379684013390e-03,        +1.845088144942e-12,        +5.334074351000e-03,        +1.480755405339e-12,        +4.280803303900e-03,        +3.392189214846e-10,        +9.806680257665e-01,        +3.405470719339e-10,        +9.845076542768e-01,        +5.653057398102e-13,        +1.634275769134e-03,        +1.671368653130e-12,        +4.831858405889e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059666410e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276687672097e-12,        +1.236372911587e-02,        +2.206714089948e-12,        +6.379520166642e-03,        +4.276687672097e-12,        +1.236372911587e-02,        +2.206714089948e-12,        +6.379520166642e-03,        +1.845100032414e-12,        +5.334108717195e-03,        +1.480751862720e-12,        +4.280793063790e-03,        +3.392188779960e-10,        +9.806679000426e-01,        +3.405470847570e-10,        +9.845076916827e-01,        +5.653010199852e-13,        +1.634262124313e-03,        +1.671415931314e-12,        +4.831995086828e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059680170e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478647569458e-12,        +4.274709637064e-03,        +2.365809416423e-14,        +6.839458220352e-05,        +1.478647569458e-12,        +4.274709637064e-03,        +2.365809416423e-14,        +6.839458220352e-05,        +9.948228340068e-13,        +2.875992118432e-03,        +3.790255917339e-14,        +1.095747477000e-04,        +3.423267154440e-10,        +9.896525309741e-01,        +3.458264568135e-10,        +9.997701363642e-01,        +1.105780873046e-12,        +3.196767270393e-03,        +1.795055013167e-14,        +5.189430594267e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059668351e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888491264198e-14,        +1.702338736746e-04,        +2.257123673068e-14,        +6.525252205736e-05,        +5.888491264198e-14,        +1.702338736746e-04,        +2.257123673068e-14,        +6.525252205736e-05,        +6.053432439127e-14,        +1.750022555702e-04,        +3.607505011879e-14,        +1.042914941562e-04,        +3.457787652477e-10,        +9.996322657456e-01,        +3.458302775666e-10,        +9.997811854210e-01,        +7.782235716578e-15,        +2.249812511290e-05,        +1.704298164847e-14,        +4.927056276134e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667628e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887635748788e-14,        +1.702091410740e-04,        +2.256791142804e-14,        +6.524290875710e-05,        +5.887635748788e-14,        +1.702091410740e-04,        +2.256791142804e-14,        +6.524290875710e-05,        +6.052749612163e-14,        +1.749825153220e-04,        +3.607470916208e-14,        +1.042905084861e-04,        +3.457787795726e-10,        +9.996323071584e-01,        +3.458302781622e-10,        +9.997811873519e-01,        +7.783294235048e-15,        +2.250118524650e-05,        +1.704597998029e-14,        +4.927923082627e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059669770e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340057488080e-15,        +6.765010474569e-06,        +1.572682689796e-13,        +4.546561319947e-04,        +2.340057488080e-15,        +6.765010474569e-06,        +1.572682689796e-13,        +4.546561319947e-04,        +5.250411701892e-15,        +1.517872545441e-05,        +1.937012758984e-13,        +5.599824645733e-04,        +3.458974927135e-10,        +9.999755019925e-01,        +3.454956153496e-10,        +9.988136902321e-01,        +8.835377845704e-16,        +2.554271592789e-06,        +5.938208253322e-14,        +1.716711713654e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667615e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340416419483e-15,        +6.766048130573e-06,        +1.572916777105e-13,        +4.547238059611e-04,        +2.340416419483e-15,        +6.766048130573e-06,        +1.572916777105e-13,        +4.547238059611e-04,        +5.251158772206e-15,        +1.518088520413e-05,        +1.937266097951e-13,        +5.600557041811e-04,        +3.458974914850e-10,        +9.999754984409e-01,        +3.454955615211e-10,        +9.988135352383e-01,        +8.836602834465e-16,        +2.554625732029e-06,        +5.938695293169e-14,        +1.716852515951e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059666879e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.014276481243e-12,        +8.714150003890e-03,        +3.974369565985e-12,        +1.148973983895e-02,        +3.014276481243e-12,        +8.714150003890e-03,        +3.974369565985e-12,        +1.148973983895e-02,        +1.326567903903e-12,        +3.835053544985e-03,        +2.594062832432e-12,        +7.499329535337e-03,        +3.411344340550e-10,        +9.862056942505e-01,        +3.363217165290e-10,        +9.722923248456e-01,        +4.306882803859e-13,        +1.245102200662e-03,        +3.015817760530e-12,        +8.718605780082e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059667325e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009843322381e-12,        +8.701333922966e-03,        +3.978425711403e-12,        +1.150146598795e-02,        +3.009843322381e-12,        +8.701333922966e-03,        +3.978425711403e-12,        +1.150146598795e-02,        +1.324744426654e-12,        +3.829781946849e-03,        +2.594319065665e-12,        +7.500070294165e-03,        +3.411413558850e-10,        +9.862257049780e-01,        +3.363209502788e-10,        +9.722901095225e-01,        +4.300230864446e-13,        +1.243179152189e-03,        +3.012271676594e-12,        +8.708354195358e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059668757e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.580819479293e-13,        +4.570084448907e-04,        +6.471171118452e-12,        +1.870789098234e-02,        +1.580819479293e-13,        +4.570084448907e-04,        +6.471171118452e-12,        +1.870789098234e-02,        +1.589910120714e-13,        +4.596365121387e-04,        +2.775206141798e-12,        +8.023007428475e-03,        +3.455679482885e-10,        +9.990228025403e-01,        +3.357706936058e-10,        +9.706993395879e-01,        +2.094547196583e-14,        +6.055250264808e-05,        +8.888960096819e-13,        +2.569762001247e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059746173e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385069518016e-11,        +4.004179318292e-02,        +3.605978487151e-13,        +1.042473606055e-03,        +1.385069518016e-11,        +4.004179318292e-02,        +3.605978487151e-13,        +1.042473606055e-03,        +6.814518397352e-12,        +1.970049392891e-02,        +4.424468638822e-13,        +1.279095755347e-03,        +3.200109175876e-10,        +9.251384722317e-01,        +3.449667729437e-10,        +9.972848064431e-01,        +5.229835555353e-12,        +1.511924065646e-02,        +1.361569609845e-13,        +3.936241955206e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059669086e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.021450833609e-16,        +2.318968623080e-06,        +2.262704831326e-16,        +6.541387104561e-07,        +8.021450833609e-16,        +2.318968623080e-06,        +2.262704831326e-16,        +6.541387104561e-07,        +1.484753336392e-15,        +4.292361159506e-06,        +6.512581768277e-16,        +1.882760747518e-06,        +3.459035736067e-10,        +9.999930816060e-01,        +3.459049191606e-10,        +9.999969710035e-01,        +1.062153553815e-16,        +3.070642475137e-07,        +1.702192988519e-16,        +4.920970296441e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059676895e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017448525338e-16,        +2.317811572131e-06,        +2.263514015773e-16,        +6.543726408922e-07,        +8.017448525338e-16,        +2.317811572131e-06,        +2.263514015773e-16,        +6.543726408922e-07,        +1.485336073615e-15,        +4.294045828979e-06,        +6.514602616647e-16,        +1.883344962263e-06,        +3.459035735994e-10,        +9.999930815847e-01,        +3.459049195990e-10,        +9.999969700133e-01,        +1.060402025648e-16,        +3.065578878854e-07,        +1.702788142281e-16,        +4.922690850508e-07
