        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667741e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199131224851e-12,        +1.792143478653e-02,        +3.020628819437e-14,        +8.732514352402e-05,        +6.199131224851e-12,        +1.792143478653e-02,        +3.020628819437e-14,        +8.732514352402e-05,        +3.235975566502e-12,        +9.355072990450e-03,        +3.790496992979e-14,        +1.095817174919e-04,        +3.341302067352e-10,        +9.659567595872e-01,        +3.458264502975e-10,        +9.997701211190e-01,        +2.340653193945e-12,        +6.766732635855e-03,        +1.140521846185e-14,        +3.297202002098e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666407e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261495176925e-13,        +3.646930953187e-04,        +5.073723446632e-12,        +1.466792693952e-02,        +1.261495176925e-13,        +3.646930953187e-04,        +5.073723446632e-12,        +1.466792693952e-02,        +1.570307744461e-13,        +4.539695453504e-04,        +2.593796589534e-12,        +7.498559839033e-03,        +3.455751555978e-10,        +9.990436385766e-01,        +3.363227192278e-10,        +9.722952237396e-01,        +4.763083055629e-14,        +1.376987827295e-04,        +1.915727376744e-12,        +5.538289481817e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059665842e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261533718938e-13,        +3.647042376569e-04,        +5.073890090154e-12,        +1.466840870153e-02,        +1.261533718938e-13,        +3.647042376569e-04,        +5.073890090154e-12,        +1.466840870153e-02,        +1.570365454477e-13,        +4.539862290799e-04,        +2.593882606429e-12,        +7.498808511583e-03,        +3.455751434158e-10,        +9.990436033589e-01,        +3.363224004444e-10,        +9.722943023085e-01,        +4.763338735496e-14,        +1.377061743299e-04,        +1.915793443280e-12,        +5.538480478374e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059666341e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276649974094e-12,        +1.236362013249e-02,        +2.206751287698e-12,        +6.379627703942e-03,        +4.276649974094e-12,        +1.236362013249e-02,        +2.206751287698e-12,        +6.379627703942e-03,        +1.845090118464e-12,        +5.334080056372e-03,        +1.480758990882e-12,        +4.280813671099e-03,        +3.392189148663e-10,        +9.806680066332e-01,        +3.405470591003e-10,        +9.845076175299e-01,        +5.653117616249e-13,        +1.634293177954e-03,        +1.671397255196e-12,        +4.831941095033e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667417e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276642078100e-12,        +1.236359730549e-02,        +2.206720695311e-12,        +6.379539260619e-03,        +4.276642078100e-12,        +1.236359730549e-02,        +2.206720695311e-12,        +6.379539260619e-03,        +1.845084592755e-12,        +5.334064081774e-03,        +1.480729762643e-12,        +4.280729172124e-03,        +3.392189341946e-10,        +9.806680625105e-01,        +3.405471652335e-10,        +9.845079240503e-01,        +5.653058550250e-13,        +1.634276102215e-03,        +1.671351050251e-12,        +4.831807516924e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059670507e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478616549032e-12,        +4.274619958280e-03,        +2.365755540607e-14,        +6.839302486680e-05,        +1.478616549032e-12,        +4.274619958280e-03,        +2.365755540607e-14,        +6.839302486680e-05,        +9.948201500832e-13,        +2.875984359319e-03,        +3.790236024131e-14,        +1.095741729016e-04,        +3.423267253630e-10,        +9.896525596495e-01,        +3.458264562538e-10,        +9.997701375390e-01,        +1.105804658417e-12,        +3.196836032927e-03,        +1.795088121315e-14,        +5.189526323064e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059666318e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888999842652e-14,        +1.702485764696e-04,        +2.257002043909e-14,        +6.524900584648e-05,        +5.888999842652e-14,        +1.702485764696e-04,        +2.257002043909e-14,        +6.524900584648e-05,        +6.054013226441e-14,        +1.750190458939e-04,        +3.607565312919e-14,        +1.042932374959e-04,        +3.457787530113e-10,        +9.996322303705e-01,        +3.458302761017e-10,        +9.997811817738e-01,        +7.783578528950e-15,        +2.250200712854e-05,        +1.704485647201e-14,        +4.927598282847e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667550e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.886874993729e-14,        +1.701871479565e-04,        +2.256690875067e-14,        +6.524001005930e-05,        +5.886874993729e-14,        +1.701871479565e-04,        +2.256690875067e-14,        +6.524001005930e-05,        +6.052078587750e-14,        +1.749631162807e-04,        +3.607390906931e-14,        +1.042881954530e-04,        +3.457787936739e-10,        +9.996323479246e-01,        +3.458302798050e-10,        +9.997811921237e-01,        +7.783510754103e-15,        +2.250181119423e-05,        +1.704613218006e-14,        +4.927967083070e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667003e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340030353862e-15,        +6.764932030656e-06,        +1.572658413811e-13,        +4.546491142703e-04,        +2.340030353862e-15,        +6.764932030656e-06,        +1.572658413811e-13,        +4.546491142703e-04,        +5.250345585935e-15,        +1.517853431588e-05,        +1.936985857592e-13,        +5.599746879390e-04,        +3.458974928413e-10,        +9.999755023619e-01,        +3.454956207961e-10,        +9.988137067769e-01,        +8.835032634451e-16,        +2.554171793628e-06,        +5.938147699741e-14,        +1.716694209235e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667603e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340594037090e-15,        +6.766561615808e-06,        +1.573019238635e-13,        +4.547534271719e-04,        +2.340594037090e-15,        +6.766561615808e-06,        +1.573019238635e-13,        +4.547534271719e-04,        +5.251599857313e-15,        +1.518216036313e-05,        +1.937409573828e-13,        +5.600971824722e-04,        +3.458974907115e-10,        +9.999754962048e-01,        +3.454955311406e-10,        +9.988134474129e-01,        +8.838150830719e-16,        +2.555073251414e-06,        +5.939273849236e-14,        +1.717019774149e-04
