        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667702e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199126770412e-12,        +1.792142190893e-02,        +3.020625806233e-14,        +8.732505641454e-05,        +6.199126770412e-12,        +1.792142190893e-02,        +3.020625806233e-14,        +8.732505641454e-05,        +3.235971309090e-12,        +9.355060682446e-03,        +3.790490891296e-14,        +1.095815410960e-04,        +3.341302222293e-10,        +9.659568043800e-01,        +3.458264504212e-10,        +9.997701214880e-01,        +2.340646411680e-12,        +6.766713028607e-03,        +1.140518197336e-14,        +3.297191453462e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666709e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261500406550e-13,        +3.646946071820e-04,        +5.073708957896e-12,        +1.466788505190e-02,        +1.261500406550e-13,        +3.646946071820e-04,        +5.073708957896e-12,        +1.466788505190e-02,        +1.570316633600e-13,        +4.539721151640e-04,        +2.593809445995e-12,        +7.498597005881e-03,        +3.455751537188e-10,        +9.990436331444e-01,        +3.363226716446e-10,        +9.722950860936e-01,        +4.763129769562e-14,        +1.377001332102e-04,        +1.915776622429e-12,        +5.538431848595e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059665985e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261535164727e-13,        +3.647046556288e-04,        +5.073925327855e-12,        +1.466851057167e-02,        +1.261535164727e-13,        +3.647046556288e-04,        +5.073925327855e-12,        +1.466851057167e-02,        +1.570362031412e-13,        +4.539852394859e-04,        +2.593875118167e-12,        +7.498786863012e-03,        +3.455751441522e-10,        +9.990436054879e-01,        +3.363224278655e-10,        +9.722943815416e-01,        +4.763284867498e-14,        +1.377046170281e-04,        +1.915738287033e-12,        +5.538321023691e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059668766e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276543602529e-12,        +1.236331261665e-02,        +2.206739238901e-12,        +6.379592866892e-03,        +4.276543602529e-12,        +1.236331261665e-02,        +2.206739238901e-12,        +6.379592866892e-03,        +1.845039068800e-12,        +5.333932473882e-03,        +1.480714755361e-12,        +4.280685785015e-03,        +3.392190995521e-10,        +9.806685405522e-01,        +3.405472193309e-10,        +9.845080800598e-01,        +5.652844970769e-13,        +1.634214357261e-03,        +1.671293551412e-12,        +4.831641288246e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059668151e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276583801006e-12,        +1.236342882880e-02,        +2.206721933638e-12,        +6.379542839219e-03,        +4.276583801006e-12,        +1.236342882880e-02,        +2.206721933638e-12,        +6.379542839219e-03,        +1.845060574900e-12,        +5.333994647138e-03,        +1.480733961457e-12,        +4.280741309817e-03,        +3.392190214353e-10,        +9.806683147199e-01,        +3.405471496039e-10,        +9.845078786568e-01,        +5.653009092312e-13,        +1.634261804128e-03,        +1.671361316128e-12,        +4.831837194128e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059680101e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478596074625e-12,        +4.274560767608e-03,        +2.365712822547e-14,        +6.839178971546e-05,        +1.478596074625e-12,        +4.274560767608e-03,        +2.365712822547e-14,        +6.839178971546e-05,        +9.947941451849e-13,        +2.875909180222e-03,        +3.790122758554e-14,        +1.095708981362e-04,        +3.423268193509e-10,        +9.896528313649e-01,        +3.458264595874e-10,        +9.997701444035e-01,        +1.105757149736e-12,        +3.196698687276e-03,        +1.795006679094e-14,        +5.189290862545e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059669078e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888502843553e-14,        +1.702342084290e-04,        +2.256874163048e-14,        +6.524530881103e-05,        +5.888502843553e-14,        +1.702342084290e-04,        +2.256874163048e-14,        +6.524530881103e-05,        +6.053427383120e-14,        +1.750021094031e-04,        +3.607392064727e-14,        +1.042882288783e-04,        +3.457787653420e-10,        +9.996322660183e-01,        +3.458302799950e-10,        +9.997811922312e-01,        +7.782076178727e-15,        +2.249766389550e-05,        +1.704425054135e-14,        +4.927423106840e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059669831e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887026418724e-14,        +1.701915255912e-04,        +2.256755369535e-14,        +6.524187452497e-05,        +5.887026418724e-14,        +1.701915255912e-04,        +2.256755369535e-14,        +6.524187452497e-05,        +6.052164254541e-14,        +1.749655928726e-04,        +3.607358865385e-14,        +1.042872690763e-04,        +3.457787918670e-10,        +9.996323427010e-01,        +3.458302807073e-10,        +9.997811940727e-01,        +7.782946705409e-15,        +2.250018055253e-05,        +1.704513351053e-14,        +4.927678368545e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666584e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340191965147e-15,        +6.765399242269e-06,        +1.572710038388e-13,        +4.546640387795e-04,        +2.340191965147e-15,        +6.765399242269e-06,        +1.572710038388e-13,        +4.546640387795e-04,        +5.250560938402e-15,        +1.517915689106e-05,        +1.937052908877e-13,        +5.599940722588e-04,        +3.458974924137e-10,        +9.999755011258e-01,        +3.454956065135e-10,        +9.988136656073e-01,        +8.835538448535e-16,        +2.554318022411e-06,        +5.938385017033e-14,        +1.716762816901e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059665105e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340439087002e-15,        +6.766113661444e-06,        +1.572903320562e-13,        +4.547199160597e-04,        +2.340439087002e-15,        +6.766113661444e-06,        +1.572903320562e-13,        +4.547199160597e-04,        +5.251111984995e-15,        +1.518074994421e-05,        +1.937238924700e-13,        +5.600478489119e-04,        +3.458974915393e-10,        +9.999754985978e-01,        +3.454955669940e-10,        +9.988135517852e-01,        +8.836301507805e-16,        +2.554538619724e-06,        +5.938529194067e-14,        +1.716804498626e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059665955e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.008386381418e-12,        +8.697121966238e-03,        +3.979510536405e-12,        +1.150460217721e-02,        +3.008386381418e-12,        +8.697121966238e-03,        +3.979510536405e-12,        +1.150460217721e-02,        +1.324153873905e-12,        +3.828074683012e-03,        +2.594361777861e-12,        +7.500193776347e-03,        +3.411435927003e-10,        +9.862321715195e-01,        +3.363208573035e-10,        +9.722898411198e-01,        +4.298337648728e-13,        +1.242631831269e-03,        +3.011236977716e-12,        +8.705362926672e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059666929e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009398702737e-12,        +8.700048545763e-03,        +3.979043930645e-12,        +1.150325323581e-02,        +3.009398702737e-12,        +8.700048545763e-03,        +3.979043930645e-12,        +1.150325323581e-02,        +1.324570658103e-12,        +3.829279589078e-03,        +2.594502033678e-12,        +7.500599248064e-03,        +3.411420303494e-10,        +9.862276548270e-01,        +3.363203006480e-10,        +9.722882315776e-01,        +4.299670102353e-13,        +1.243017038162e-03,        +3.012120080586e-12,        +8.707915938497e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059669600e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.645881333193e-13,        +4.758175607080e-04,        +6.465254033738e-12,        +1.869078492793e-02,        +1.645881333193e-13,        +4.758175607080e-04,        +6.465254033738e-12,        +1.869078492793e-02,        +1.616460647896e-13,        +4.673121609382e-04,        +2.774693406349e-12,        +8.021525129314e-03,        +3.455578538385e-10,        +9.989936198984e-01,        +3.357723197294e-10,        +9.707040404081e-01,        +2.187868383655e-14,        +6.325037999194e-05,        +8.936997905581e-13,        +2.583649534619e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059731510e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385070589302e-11,        +4.004182415335e-02,        +3.605981794471e-13,        +1.042474566606e-03,        +1.385070589302e-11,        +4.004182415335e-02,        +3.605981794471e-13,        +1.042474566606e-03,        +6.814520080441e-12,        +1.970049879465e-02,        +4.424471142803e-13,        +1.279096484660e-03,        +3.200109109085e-10,        +9.251384529225e-01,        +3.449667710716e-10,        +9.972848052581e-01,        +5.229829838568e-12,        +1.511922412947e-02,        +1.361567857573e-13,        +3.936236906146e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059668351e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017309412201e-16,        +2.317771355092e-06,        +2.262535513826e-16,        +6.540897615983e-07,        +8.017309412201e-16,        +2.317771355092e-06,        +2.262535513826e-16,        +6.540897615983e-07,        +1.484487282646e-15,        +4.291592009010e-06,        +6.512075502407e-16,        +1.882614388526e-06,        +3.459035744389e-10,        +9.999930840119e-01,        +3.459049191384e-10,        +9.999969711517e-01,        +1.060633366290e-16,        +3.066247675186e-07,        +1.702355909929e-16,        +4.921441296620e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059665860e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017087676556e-16,        +2.317707252224e-06,        +2.263322508244e-16,        +6.543172789365e-07,        +8.017087676556e-16,        +2.317707252224e-06,        +2.263322508244e-16,        +6.543172789365e-07,        +1.485209084512e-15,        +4.293678708678e-06,        +6.514541189012e-16,        +1.883327209793e-06,        +3.459035737489e-10,        +9.999930820169e-01,        +3.459049185312e-10,        +9.999969701165e-01,        +1.060537677698e-16,        +3.065971043380e-07,        +1.702684015786e-16,        +4.922389840775e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059665336e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.619119896621e-14,        +1.913560485636e-04,        +1.232074653283e-13,        +3.561877424751e-04,        +6.619119896621e-14,        +1.913560485636e-04,        +1.232074653283e-13,        +3.561877424751e-04,        +6.924194830796e-14,        +2.001756401153e-04,        +1.937268762834e-13,        +5.600564749571e-04,        +3.457610290422e-10,        +9.995809911011e-01,        +3.454955606967e-10,        +9.988135335131e-01,        +9.504530979726e-15,        +2.747721026566e-05,        +9.347149529628e-14,        +2.702222694595e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667329e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.616972082052e-14,        +1.912939561230e-04,        +1.231995432756e-13,        +3.561648399398e-04,        +6.616972082052e-14,        +1.912939561230e-04,        +1.231995432756e-13,        +3.561648399398e-04,        +6.922706336847e-14,        +2.001326083641e-04,        +1.937358578630e-13,        +5.600824400135e-04,        +3.457610607065e-10,        +9.995810826410e-01,        +3.454955417809e-10,        +9.988134782530e-01,        +9.509229841769e-15,        +2.749079448362e-05,        +9.348955081531e-14,        +2.702744670707e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667044e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.336567142632e-17,        +1.253683821573e-07,        +3.571667989952e-15,        +1.032554605513e-05,        +4.336567142632e-17,        +1.253683821573e-07,        +3.571667989952e-15,        +1.032554605513e-05,        +1.495259646411e-16,        +4.322734471994e-07,        +7.953901484205e-15,        +2.299440382594e-05,        +3.459057580414e-10,        +9.999993967174e-01,        +3.458930924152e-10,        +9.999627809564e-01,        +1.578739872159e-17,        +4.564072389750e-08,        +1.348719798828e-15,        +3.899093767238e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059668857e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.180999302192e-17,        +1.208709795275e-07,        +3.572904683176e-15,        +1.032912127924e-05,        +4.180999302192e-17,        +1.208709795275e-07,        +3.572904683176e-15,        +1.032912127924e-05,        +1.489562621729e-16,        +4.306264606684e-07,        +7.957059239316e-15,        +2.300353275474e-05,        +3.459057603656e-10,        +9.999994034365e-01,        +3.458930881128e-10,        +9.999627679942e-01,        +1.558860432513e-17,        +4.506601742933e-08,        +1.348809028416e-15,        +3.899351724284e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059666581e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.226818799416e-16,        +1.221956024491e-06,        +1.023542451903e-16,        +2.959019359487e-07,        +4.226818799416e-16,        +1.221956024491e-06,        +1.023542451903e-16,        +2.959019359487e-07,        +1.995461189155e-16,        +5.768796670591e-07,        +7.845784347191e-17,        +2.268184160855e-07,        +3.459052898459e-10,        +9.999980431833e-01,        +3.459057179912e-10,        +9.999992811141e-01,        +5.464656859470e-17,        +1.579809944095e-07,        +6.785482812184e-17,        +1.961655324347e-07
 2.20e+01,        +3.459059667205e-10,        +3.459059666739e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.711728379208e-16,        +7.839495817080e-07,        +6.491535208928e-17,        +1.876676274580e-07,        +2.711728379208e-16,        +7.839495817080e-07,        +6.491535208928e-17,        +1.876676274580e-07,        +1.383768455983e-16,        +4.000418001176e-07,        +5.329001310069e-17,        +1.540592479890e-07,        +3.459055209263e-10,        +9.999987112272e-01,        +3.459058050556e-10,        +9.999995327678e-01,        +3.624451674762e-17,        +1.047814152825e-07,        +4.341302344492e-17,        +1.255052749230e-07
 2.30e+01,        +3.459059667205e-10,        +3.459059665874e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477144013874e-12,        +2.450707657415e-02,        +2.038789691727e-12,        +5.894057601381e-03,        +8.477144013874e-12,        +2.450707657415e-02,        +2.038789691727e-12,        +5.894057601381e-03,        +3.447296728850e-12,        +9.965993826395e-03,        +1.393460447893e-12,        +4.028437154874e-03,        +3.328609762565e-10,        +9.622874661929e-01,        +3.411011813376e-10,        +9.861095623842e-01,        +1.120549721300e-12,        +3.239463406555e-03,        +1.372535110182e-12,        +3.967942859508e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059664962e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477472272219e-12,        +2.450802555560e-02,        +2.038862749390e-12,        +5.894268809650e-03,        +8.477472272219e-12,        +2.450802555560e-02,        +2.038862749390e-12,        +5.894268809650e-03,        +3.447446725719e-12,        +9.966427461208e-03,        +1.393479083078e-12,        +4.028491029492e-03,        +3.328603512866e-10,        +9.622856594306e-01,        +3.411011714327e-10,        +9.861095340095e-01,        +1.120696435942e-12,        +3.239887552583e-03,        +1.372453231046e-12,        +3.967706151321e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059636890e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.645646766112e-12,        +2.210325204448e-02,        +2.824376749550e-13,        +8.165157719251e-04,        +7.645646766112e-12,        +2.210325204448e-02,        +2.824376749550e-13,        +8.165157719251e-04,        +4.853514262784e-12,        +1.403131119362e-02,        +4.424121854242e-13,        +1.278995541754e-03,        +3.276908786033e-10,        +9.473409253680e-01,        +3.449668372666e-10,        +9.972850239055e-01,        +5.715927088306e-12,        +1.652451139395e-02,        +2.142765619750e-13,        +6.194647808028e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059672241e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.334342265514e-13,        +2.120328346762e-03,        +8.633085783701e-12,        +2.495789781535e-02,        +7.334342265514e-13,        +2.120328346762e-03,        +8.633085783701e-12,        +2.495789781535e-02,        +8.844891614215e-13,        +2.557021984348e-03,        +4.062702751359e-12,        +1.174510744629e-02,        +3.440110850958e-10,        +9.945219747360e-01,        +3.299500686305e-10,        +9.538721499324e-01,        +2.769582366779e-13,        +8.006749328547e-04,        +3.260110058538e-12,        +9.424844805945e-03
 2.70e+01,        +3.459059667205e-10,        +3.459059666644e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.334347905293e-13,        +2.120329977198e-03,        +8.632965505536e-12,        +2.495755013648e-02,        +7.334347905293e-13,        +2.120329977198e-03,        +8.632965505536e-12,        +2.495755013648e-02,        +8.845347213985e-13,        +2.557153696378e-03,        +4.062759048946e-12,        +1.174527021931e-02,        +3.440109864410e-10,        +9.945216895290e-01,        +3.299497958211e-10,        +9.538713627949e-01,        +2.770107675404e-13,        +8.008267974291e-04,        +3.260446288864e-12,        +9.425816849315e-03
