        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106489900115e+00,        -2.898321193353e-12,        +1.908846235974e+11,        +6.553199642957e-12,        +8.312311890796e-08
 2.00e+00,        +1.763029858823e+00,        +8.786405443916e-11,        +1.003271400390e+10,        +1.190194349084e-11,        +1.510183215088e-07
 3.00e+00,        +1.763032850348e+00,        +9.574202176269e-11,        +9.207205038546e+09,        +8.612780453963e-12,        +1.092836351547e-07
 4.00e+00,        +1.893337080246e+00,        +7.170769904338e-11,        +1.320176986226e+10,        +1.416924848841e-11,        +1.798021210846e-07
 5.00e+00,        +1.893337818645e+00,        +8.346663113797e-11,        +1.134188473185e+10,        +1.384589252925e-11,        +1.756988628101e-07
 6.00e+00,        +2.022726976002e+00,        +9.275977214051e-10,        +1.090303980554e+09,        +6.127893945763e-11,        +7.776743427800e-07
 7.00e+00,        +2.200509189507e+00,        +2.163102528845e-10,        +5.086465297330e+09,        +1.940354000253e-11,        +2.462774208619e-07
 8.00e+00,        +2.200510459756e+00,        -1.606005851294e-10,        +6.850879335164e+09,        +1.911767789097e-11,        +2.426491458698e-07
 9.00e+00,        +2.363048188910e+00,        +1.500614226377e-10,        +7.873603179862e+09,        +1.850743864396e-11,        +2.349342550222e-07
 1.00e+01,        +2.363061125200e+00,        +7.411697658721e-11,        +1.594142957531e+10,        +2.192683551461e-11,        +2.783402350187e-07
 1.10e+01,        +2.444443296968e+00,        +1.633453632640e-10,        +7.482438583264e+09,        +1.111442964346e-11,        +1.410967327906e-07
 1.20e+01,        +2.444457786881e+00,        -5.990508634522e-11,        +2.040275656055e+10,        +7.520790216701e-12,        +9.547578911204e-08
 1.30e+01,        +2.444520241078e+00,        +5.885757187697e-11,        +2.076640407617e+10,        +2.097218155485e-11,        +2.662400668921e-07
 1.40e+01,        +2.540068740685e+00,        +3.989440665126e-10,        +3.183489809598e+09,        +1.212222060431e-10,        +1.539033932538e-06
 1.50e+01,        +2.569944600095e+00,        +3.068704157587e-10,        +4.187344996652e+09,        +2.848050368324e-11,        +3.615973866141e-07
 1.60e+01,        +2.569964596199e+00,        +9.693103973645e-10,        +1.325666475459e+09,        +3.847039309519e-11,        +4.884321573174e-07
 1.70e+01,        +2.907095186121e+00,        +2.668726933018e-10,        +5.446595434988e+09,        +2.424258425281e-11,        +3.078909191940e-07
 1.80e+01,        +2.907121619514e+00,        +1.073964169530e-10,        +1.353453728715e+10,        +2.298326653882e-11,        +2.918970674588e-07
 1.90e+01,        +2.935790695186e+00,        -7.225236774018e-11,        +2.031622483115e+10,        +2.245430642949e-11,        +2.851874123737e-07
 2.00e+01,        +2.935884687517e+00,        +2.091421838068e-10,        +7.018872601590e+09,        +2.023163005441e-11,        +2.569576931094e-07
 2.10e+01,        +2.975839633622e+00,        -9.856836554132e-11,        +1.509530779617e+10,        +8.166758316972e-12,        +1.037285726137e-07
 2.20e+01,        +2.975862237115e+00,        +1.309984179984e-10,        +1.135838998128e+10,        +1.609994137467e-11,        +2.044904370193e-07
 2.30e+01,        +2.981012804100e+00,        -3.015928938108e-11,        +4.942113798560e+10,        +2.118988885383e-11,        +2.691409112838e-07
 2.40e+01,        +2.981102163994e+00,        -7.232218170892e-10,        +2.060987440888e+09,        +2.155592861079e-11,        +2.737901482496e-07
 2.50e+01,        +3.052758554087e+00,        -1.978802431882e-12,        +7.713651714041e+11,        +1.830268509608e-10,        +2.324870359376e-06
 2.60e+01,        +3.228613376158e+00,        +5.925460401667e-10,        +2.724356554007e+09,        +3.661612330578e-11,        +4.652005461024e-07
 2.70e+01,        +3.228669173708e+00,        +4.034372400338e-10,        +4.001451593112e+09,        +2.165054302402e-11,        +2.750658497853e-07
