        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.138672684168e-12,        +1.774665161855e-02,        +2.937333790688e-14,        +8.491711832948e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.262532133389e-13,        +3.649928751907e-04,        +5.000079866980e-12,        +1.445502635987e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.265193701691e-13,        +3.657623236992e-04,        +5.029382722877e-12,        +1.453973971759e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.353725740101e-12,        +1.258644301912e-02,        +2.267056085014e-12,        +6.553966404535e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.349481298219e-12,        +1.257417251126e-02,        +2.255493248460e-12,        +6.520538717050e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.433578181237e-12,        +4.144415879347e-03,        +2.278564335439e-14,        +6.587236285750e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.916969139087e-14,        +1.710571573883e-04,        +2.240074007691e-14,        +6.475962322734e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.057751250807e-14,        +1.751271106492e-04,        +2.325214307910e-14,        +6.722099447882e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667223e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.654509510452e-15,        +1.056503750167e-05,        +1.540888504823e-13,        +4.454645635125e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667397e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.821709421375e-15,        +8.157446511049e-06,        +1.521330176480e-13,        +4.398103307724e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.659510169893e-13,        +4.797576016474e-04,        +6.483093981956e-12,        +1.874235950141e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059667202e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.909931941584e-12,        +8.412494208102e-03,        +3.859271969453e-12,        +1.115699739454e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.919503769521e-12,        +8.440165971117e-03,        +3.841305329500e-12,        +1.110505657338e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059667202e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.315952778472e-11,        +3.804365651591e-02,        +3.351904133943e-13,        +9.690217736700e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059667203e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.809084664056e-15,        +5.229989760535e-06,        +4.542981895913e-16,        +1.313357482378e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059667203e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.272264043536e-14,        +3.678063306044e-05,        +9.039876808020e-16,        +2.613391406263e-06
 1.70e+01,        +3.459059667205e-10,        +3.459059667092e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.555997180088e-14,        +2.184407875853e-04,        +1.186827666946e-13,        +3.431070236332e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667018e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.517277084261e-14,        +1.884118145186e-04,        +1.173798939392e-13,        +3.393404718006e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667207e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.937993284802e-14,        +8.493618403454e-05,        +1.392295043701e-14,        +4.025068017473e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059667217e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.361039249704e-14,        +3.934708795596e-05,        +6.786964501426e-15,        +1.962083674285e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059667024e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.536808440540e-12,        +2.467956399098e-02,        +2.089882365697e-12,        +6.041764429855e-03
 2.20e+01,        +3.459059667205e-10,        +3.459059667121e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.437500499746e-12,        +2.439246879648e-02,        +2.063540338825e-12,        +5.965610707555e-03
