        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.102771736537e+00,        -1.683650978996e-15,        +3.274941630703e+14,        +3.601419748390e-16,        +1.480412469660e-12
 2.00e+00,        +1.757977396610e+00,        +1.704560116479e-13,        +5.156689340594e+12,        +1.180054829167e-15,        +4.855412196972e-12
 3.00e+00,        +1.758425054876e+00,        +1.106414199766e-13,        +7.946504370822e+12,        +6.974702232800e-16,        +2.869788810962e-12
 4.00e+00,        +1.889155446659e+00,        +3.092000515881e-13,        +3.054908039238e+12,        +1.039903883314e-15,        +4.279794952304e-12
 5.00e+00,        +1.890331046262e+00,        -1.364210247208e-13,        +6.928298076233e+12,        +7.801314502261e-16,        +3.210691153761e-12
 6.00e+00,        +2.022230706768e+00,        -6.273882722188e-14,        +1.611626162230e+13,        +1.148879987085e-15,        +4.729547064832e-12
 7.00e+00,        +2.198085191055e+00,        +1.275404360766e-13,        +8.617209014931e+12,        +2.196188244750e-15,        +9.044374710090e-12
 8.00e+00,        +2.199919505847e+00,        +2.590695389857e-13,        +4.245808894516e+12,        +4.628784132501e-15,        +1.906240512873e-11
 9.00e+00,        +2.345583674862e+00,        -3.888483988701e-12,        +3.016064463268e+11,        +1.357015189821e-10,        +5.590386344125e-07
 1.00e+01,        +2.346327948178e+00,        -4.331274204676e-11,        +2.708588555355e+10,        +2.150776307873e-10,        +8.860395930862e-07
 1.10e+01,        +2.419622126909e+00,        -1.271860539399e-13,        +9.512136165703e+12,        +2.760279567994e-13,        +1.137334319202e-09
 1.20e+01,        +2.431187343625e+00,        -9.937646979650e-13,        +1.223220823100e+12,        +1.823981745505e-12,        +7.515674389115e-09
 1.30e+01,        +2.432386653711e+00,        +2.591015789550e-13,        +4.693886203861e+12,        +1.189910410801e-13,        +4.903012741081e-10
 1.40e+01,        +2.525422696666e+00,        +6.962429997963e-14,        +1.813607244457e+13,        +3.527541686323e-13,        +1.453860747847e-09
 1.50e+01,        +2.566047109385e+00,        -4.103044486994e-13,        +3.127003762108e+12,        +4.263779955383e-12,        +1.757482974798e-08
 1.60e+01,        +2.567711856612e+00,        +1.651783678645e-13,        +7.772542766369e+12,        +9.118877337441e-13,        +3.758716794615e-09
 1.70e+01,        +2.880959499007e+00,        +2.407076749165e-12,        +5.984353220159e+11,        +1.075067206404e-12,        +4.435173910399e-09
 1.80e+01,        +2.882782403551e+00,        -1.334897429635e-11,        +1.079776745221e+11,        +5.425663014512e-12,        +2.238361227584e-08
 1.90e+01,        +2.898995426117e+00,        -2.210648640051e-12,        +6.556888719435e+11,        +7.844137352222e-12,        +3.236258716799e-08
 2.00e+01,        +2.904488454160e+00,        +9.486805545701e-12,        +1.530804252374e+11,        +1.837502263188e-11,        +7.581112836045e-08
 2.10e+01,        +2.948104032938e+00,        -2.413253547511e-10,        +6.108152282587e+09,        +2.083055561904e-10,        +8.595324062344e-07
 2.20e+01,        +2.953088049114e+00,        -1.592177525775e-11,        +9.273739898059e+10,        +3.428082981100e-10,        +1.414552974067e-06
