        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.133438571351e-12,        +1.773152001251e-02,        +2.932640278900e-14,        +8.478143082365e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.260561175127e-13,        +3.644230792197e-04,        +4.998368375542e-12,        +1.445007850813e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.263370764435e-13,        +3.652353199953e-04,        +5.026463725538e-12,        +1.453130101568e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.351285996960e-12,        +1.257938982150e-02,        +2.263707842920e-12,        +6.544286773604e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.347318612040e-12,        +1.256792027399e-02,        +2.252070773473e-12,        +6.510644481865e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.435536534897e-12,        +4.150077399668e-03,        +2.276104801279e-14,        +6.580125873105e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.910555835171e-14,        +1.708717513956e-04,        +2.235909086792e-14,        +6.463921706788e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.052221312903e-14,        +1.749672424065e-04,        +2.321676501997e-14,        +6.711871795703e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667219e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.713919546926e-15,        +1.073678948686e-05,        +1.539849243879e-13,        +4.451641174252e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667458e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.667941241897e-15,        +7.712908994289e-06,        +1.519047606079e-13,        +4.391504489991e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.648864916130e-13,        +4.766801023303e-04,        +6.484632558879e-12,        +1.874680746435e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.905290532811e-12,        +8.399076085204e-03,        +3.857436091621e-12,        +1.115168994682e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.915530907437e-12,        +8.428680589348e-03,        +3.840026423728e-12,        +1.110135930911e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.314219759548e-11,        +3.799355564775e-02,        +3.344686235792e-13,        +9.669351088400e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.147519089065e-15,        +6.208389839080e-06,        +4.653498281478e-16,        +1.345307317361e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.374726422797e-14,        +3.974277853112e-05,        +9.239392254528e-16,        +2.671070505700e-06
 1.70e+01,        +3.459059667205e-10,        +3.459059667059e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.548398323132e-14,        +2.182211077391e-04,        +1.187054370273e-13,        +3.431725626411e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059666980e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.507436537177e-14,        +1.881273283278e-04,        +1.173778177195e-13,        +3.393344695381e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667208e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.105723865924e-14,        +8.978520652216e-05,        +1.424920601716e-14,        +4.119387171097e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059667221e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.413684727027e-14,        +4.086904716996e-05,        +6.824808194562e-15,        +1.973024131163e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059666968e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.528930717844e-12,        +2.465678981692e-02,        +2.084305073250e-12,        +6.025640705636e-03
 2.20e+01,        +3.459059667205e-10,        +3.459059667105e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.420676462441e-12,        +2.434383119284e-02,        +2.055994156691e-12,        +5.943795003720e-03
