        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.102781857513e+00,        +2.021281956969e-16,        +2.727926833045e+15,        +3.758994514962e-16,        +1.545652497677e-12
 2.00e+00,        +1.757979783896e+00,        -2.308450128816e-13,        +3.807705789160e+12,        +1.639850028171e-15,        +6.749305662804e-12
 3.00e+00,        +1.758428782850e+00,        -1.096595974296e-13,        +8.017669333406e+12,        +9.272915695496e-16,        +3.816555884209e-12
 4.00e+00,        +1.889139896428e+00,        -4.204464446530e-13,        +2.246588026195e+12,        +1.403382543184e-15,        +5.777458469032e-12
 5.00e+00,        +1.890319612606e+00,        +2.531242781129e-13,        +3.733975315799e+12,        +6.243859973363e-16,        +2.570483989364e-12
 6.00e+00,        +2.022230802245e+00,        +9.289864682146e-14,        +1.088407028216e+13,        +2.015274919582e-15,        +8.298701925254e-12
 7.00e+00,        +2.198050083079e+00,        -2.795665687861e-13,        +3.931174769256e+12,        +2.060394593384e-15,        +8.487705076901e-12
 8.00e+00,        +2.199886114686e+00,        -5.242461684665e-13,        +2.098142291742e+12,        +4.787401603368e-15,        +1.972157177519e-11
 9.00e+00,        +2.345563511295e+00,        -4.486443654153e-12,        +2.614056580343e+11,        +1.360511616699e-10,        +5.606479404930e-07
 1.00e+01,        +2.346305868148e+00,        -4.182972093083e-11,        +2.804591826022e+10,        +2.140743682962e-10,        +8.821723010445e-07
 1.10e+01,        +2.419608412162e+00,        +3.301449384387e-13,        +3.664463892139e+12,        +2.732466091478e-13,        +1.126213427207e-09
 1.20e+01,        +2.431198050465e+00,        -3.527289988388e-13,        +3.446269031563e+12,        +1.819955687209e-12,        +7.501345193501e-09
 1.30e+01,        +2.432398354286e+00,        -5.788222085498e-13,        +2.101161909786e+12,        +1.159410405670e-13,        +4.778777613706e-10
 1.40e+01,        +2.525393347422e+00,        +6.102070870003e-14,        +2.069292049554e+13,        +3.480660509040e-13,        +1.434970971739e-09
 1.50e+01,        +2.565976117526e+00,        -7.590809633940e-13,        +1.690186054761e+12,        +4.251364810803e-12,        +1.752893167546e-08
 1.60e+01,        +2.567635853866e+00,        -6.834151024339e-13,        +1.878533152634e+12,        +9.089259997150e-13,        +3.747636694180e-09
 1.70e+01,        +2.880965151229e+00,        +8.761599884789e-13,        +1.644086233743e+12,        +1.026972720570e-12,        +4.238036106578e-09
 1.80e+01,        +2.882779577030e+00,        -1.372535503074e-11,        +1.050165759127e+11,        +5.374599318599e-12,        +2.217962222049e-08
 1.90e+01,        +2.898934883393e+00,        -2.520760566300e-12,        +5.750119472172e+11,        +7.936164175580e-12,        +3.275211128008e-08
 2.00e+01,        +2.904433189231e+00,        +9.078552937168e-12,        +1.599612410332e+11,        +1.861218577081e-11,        +7.681270777162e-08
 2.10e+01,        +2.948061556418e+00,        -2.284189154821e-10,        +6.453190512256e+09,        +1.987592601984e-10,        +8.203881706754e-07
 2.20e+01,        +2.953041201686e+00,        -1.425378422648e-11,        +1.035879719647e+11,        +3.536121371619e-10,        +1.459572467110e-06
