        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106489900115e+00,        -2.931151043878e-12,        +1.887466533713e+11,        +6.552758495625e-12,        +8.311752316825e-08
 2.00e+00,        +1.763029858822e+00,        +8.782651422699e-11,        +1.003700234684e+10,        +1.190728627475e-11,        +1.510861135253e-07
 3.00e+00,        +1.763032850347e+00,        +9.609631576583e-11,        +9.173259329960e+09,        +8.620688063893e-12,        +1.093839711115e-07
 4.00e+00,        +1.893337080249e+00,        +7.224709091351e-11,        +1.310320634581e+10,        +1.411012906175e-11,        +1.790519189515e-07
 5.00e+00,        +1.893337818640e+00,        +8.513139510103e-11,        +1.112009157370e+10,        +1.387842861050e-11,        +1.761117325776e-07
 6.00e+00,        +2.022726976006e+00,        +9.312476752739e-10,        +1.086030617693e+09,        +6.120822810390e-11,        +7.767769635831e-07
 7.00e+00,        +2.200509189506e+00,        +2.176847375313e-10,        +5.054348813015e+09,        +1.943760635771e-11,        +2.467098043380e-07
 8.00e+00,        +2.200510459755e+00,        -1.619636131595e-10,        +6.793224776941e+09,        +1.917190732891e-11,        +2.433374471881e-07
 9.00e+00,        +2.363048188910e+00,        +1.513122044020e-10,        +7.808518150434e+09,        +1.853856310241e-11,        +2.353293500942e-07
 1.00e+01,        +2.363061125198e+00,        +7.396521256491e-11,        +1.597413867448e+10,        +2.193439411103e-11,        +2.784361839476e-07
 1.10e+01,        +2.444443296959e+00,        +1.613155973082e-10,        +7.576586944315e+09,        +1.108974655355e-11,        +1.407833829593e-07
 1.20e+01,        +2.444457786885e+00,        -5.430402159224e-11,        +2.250715246506e+10,        +7.382149943376e-12,        +9.371576261107e-08
 1.30e+01,        +2.444520241075e+00,        +5.927278721892e-11,        +2.062093209862e+10,        +2.101602570317e-11,        +2.667966644144e-07
 1.40e+01,        +2.540068740686e+00,        +4.015719739763e-10,        +3.162656890039e+09,        +1.211613279992e-10,        +1.538261025207e-06
 1.50e+01,        +2.569944600098e+00,        +3.069912369177e-10,        +4.185697002139e+09,        +2.845841950466e-11,        +3.613169986696e-07
 1.60e+01,        +2.569964596197e+00,        +9.659213528043e-10,        +1.330317726560e+09,        +3.845173261912e-11,        +4.881952376605e-07
 1.70e+01,        +2.907095186127e+00,        +2.647440885799e-10,        +5.490387342963e+09,        +2.431541842028e-11,        +3.088159432038e-07
 1.80e+01,        +2.907121619509e+00,        +1.080377904871e-10,        +1.345418860569e+10,        +2.301940828000e-11,        +2.923560823953e-07
 1.90e+01,        +2.935790695188e+00,        -7.192510718191e-11,        +2.040866402717e+10,        +2.246789235488e-11,        +2.853599641088e-07
 2.00e+01,        +2.935884687519e+00,        +2.115133137581e-10,        +6.940188859406e+09,        +2.026434401741e-11,        +2.573731860813e-07
 2.10e+01,        +2.975839633622e+00,        -9.907164354499e-11,        +1.501862453847e+10,        +8.164477925445e-12,        +1.036996085549e-07
 2.20e+01,        +2.975862237115e+00,        +1.294078950138e-10,        +1.149799336740e+10,        +1.609871296005e-11,        +2.044748343661e-07
 2.30e+01,        +2.981012804106e+00,        -2.746255435758e-11,        +5.427413570659e+10,        +2.117807553777e-11,        +2.689908655969e-07
 2.40e+01,        +2.981102163990e+00,        -7.266081644659e-10,        +2.051382237207e+09,        +2.167280854512e-11,        +2.752746850631e-07
 2.50e+01,        +3.052758554016e+00,        +1.462070163108e-11,        +1.043984971120e+11,        +1.827877529044e-10,        +2.321833251228e-06
 2.60e+01,        +3.228613376148e+00,        +6.072591485565e-10,        +2.658348897520e+09,        +3.668970093564e-11,        +4.661353348293e-07
 2.70e+01,        +3.228669173712e+00,        +4.043167551064e-10,        +3.992747187613e+09,        +2.168796099074e-11,        +2.755412373912e-07
