        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059667733e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.193369990093e-12,        +1.790477929251e-02,        +3.015005271964e-14,        +8.716256906723e-05,        +6.193369990093e-12,        +1.790477929251e-02,        +3.015005271964e-14,        +8.716256906723e-05,        +3.244104631714e-12,        +9.378573785446e-03,        +3.798572963528e-14,        +1.098151904971e-04,        +3.341299308233e-10,        +9.659559619371e-01,        +3.458264464471e-10,        +9.997701099900e-01,        +2.338561275415e-12,        +6.760684984960e-03,        +1.138454379212e-14,        +3.291225039661e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666489e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.259140114766e-13,        +3.640122564822e-04,        +5.069427205637e-12,        +1.465550668220e-02,        +1.259140114766e-13,        +3.640122564822e-04,        +5.069427205637e-12,        +1.465550668220e-02,        +1.573521173753e-13,        +4.548985346137e-04,        +2.600315295982e-12,        +7.517405152543e-03,        +3.455751525704e-10,        +9.990436298245e-01,        +3.363226390027e-10,        +9.722949917890e-01,        +4.754802125258e-14,        +1.374593844199e-04,        +1.913585144619e-12,        +5.532096376241e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059665728e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.259240359443e-13,        +3.640412368084e-04,        +5.069975297143e-12,        +1.465709119555e-02,        +1.259240359443e-13,        +3.640412368084e-04,        +5.069975297143e-12,        +1.465709119555e-02,        +1.573933487961e-13,        +4.550177329646e-04,        +2.600538511344e-12,        +7.518050460679e-03,        +3.455750992497e-10,        +9.990434756767e-01,        +3.363217694783e-10,        +9.722924782438e-01,        +4.755008601324e-14,        +1.374653535585e-04,        +1.913683285943e-12,        +5.532380100012e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059667436e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.271879022540e-12,        +1.234982750671e-02,        +2.202393325700e-12,        +6.367029012057e-03,        +4.271879022540e-12,        +1.234982750671e-02,        +2.202393325700e-12,        +6.367029012057e-03,        +1.849397490587e-12,        +5.346532492980e-03,        +1.483396252565e-12,        +4.288437885387e-03,        +3.392200041973e-10,        +9.806711558446e-01,        +3.405507843651e-10,        +9.845183868065e-01,        +5.646860100336e-13,        +1.632484155701e-03,        +1.669392800189e-12,        +4.826146296074e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667855e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.271992074260e-12,        +1.235015433461e-02,        +2.202436968706e-12,        +6.367155181430e-03,        +4.271992074260e-12,        +1.235015433461e-02,        +2.202436968706e-12,        +6.367155181430e-03,        +1.849443968375e-12,        +5.346666858366e-03,        +1.483375793056e-12,        +4.288378737264e-03,        +3.392198252152e-10,        +9.806706384145e-01,        +3.405508549708e-10,        +9.845185908054e-01,        +5.647054626856e-13,        +1.632540392522e-03,        +1.669299052887e-12,        +4.825875275872e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059679428e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.480159684952e-12,        +4.279081101103e-03,        +2.361752942730e-14,        +6.827731122350e-05,        +1.480159684952e-12,        +4.279081101103e-03,        +2.361752942730e-14,        +6.827731122350e-05,        +9.989102328896e-13,        +2.887808621401e-03,        +3.797499909666e-14,        +1.097841685777e-04,        +3.423207589333e-10,        +9.896353109454e-01,        +3.458264691711e-10,        +9.997701723037e-01,        +1.106137869344e-12,        +3.197799332089e-03,        +1.790624321045e-14,        +5.176621645743e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059673322e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.874994456468e-14,        +1.698436864842e-04,        +2.250489484928e-14,        +6.506073029862e-05,        +5.874994456468e-14,        +1.698436864842e-04,        +2.250489484928e-14,        +6.506073029862e-05,        +6.063856092971e-14,        +1.753035991389e-04,        +3.609723928813e-14,        +1.043556419871e-04,        +3.457788131742e-10,        +9.996324042991e-01,        +3.458303885283e-10,        +9.997815047701e-01,        +7.765040782581e-15,        +2.244841526210e-05,        +1.697666971920e-14,        +4.907885761593e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059669958e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.875563354978e-14,        +1.698601331074e-04,        +2.250915429411e-14,        +6.507304424265e-05,        +5.875563354978e-14,        +1.698601331074e-04,        +2.250915429411e-14,        +6.507304424265e-05,        +6.064617486896e-14,        +1.753256107258e-04,        +3.610303461558e-14,        +1.043723961432e-04,        +3.457787971577e-10,        +9.996323579962e-01,        +3.458303761714e-10,        +9.997814700189e-01,        +7.767754321763e-15,        +2.245625999288e-05,        +1.697863550349e-14,        +4.908454066563e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667241e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.338706006861e-15,        +6.761103397650e-06,        +1.569601954213e-13,        +4.537655042722e-04,        +2.338706006861e-15,        +6.761103397650e-06,        +1.569601954213e-13,        +4.537655042722e-04,        +5.262395934949e-15,        +1.521337138194e-05,        +1.941284570054e-13,        +5.612174280884e-04,        +3.458974829613e-10,        +9.999754737993e-01,        +3.454955687279e-10,        +9.988135561807e-01,        +8.826572186639e-16,        +2.551725912774e-06,        +5.930934386684e-14,        +1.714608869819e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059665194e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.336174968636e-15,        +6.753786269676e-06,        +1.569970259927e-13,        +4.538719802161e-04,        +2.336174968636e-15,        +6.753786269676e-06,        +1.569970259927e-13,        +4.538719802161e-04,        +5.262386979458e-15,        +1.521334549198e-05,        +1.941588358557e-13,        +5.613052524343e-04,        +3.458974865396e-10,        +9.999754841439e-01,        +3.454955041597e-10,        +9.988133701080e-01,        +8.816189638762e-16,        +2.548724360654e-06,        +5.930649785078e-14,        +1.714526593673e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059666624e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.004023948052e-12,        +8.684510349831e-03,        +3.975283425034e-12,        +1.149238176893e-02,        +3.004023948052e-12,        +8.684510349831e-03,        +3.975283425034e-12,        +1.149238176893e-02,        +1.326857896071e-12,        +3.835891900481e-03,        +2.600951963379e-12,        +7.519245731651e-03,        +3.411458456134e-10,        +9.862386845991e-01,        +3.363203399576e-10,        +9.722883453060e-01,        +4.292392629659e-13,        +1.240913150575e-03,        +3.009391316338e-12,        +8.700027193445e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059666767e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.007216664497e-12,        +8.693740362470e-03,        +3.972555570463e-12,        +1.148449565247e-02,        +3.007216664497e-12,        +8.693740362470e-03,        +3.972555570463e-12,        +1.148449565247e-02,        +1.328178481558e-12,        +3.839709659103e-03,        +2.600878958482e-12,        +7.519034677170e-03,        +3.411408557272e-10,        +9.862242590423e-01,        +3.363204537859e-10,        +9.722886743386e-01,        +4.297158472255e-13,        +1.242290936174e-03,        +3.012078361869e-12,        +8.707795331800e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059669252e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.582081668610e-13,        +4.573733386589e-04,        +6.472008093200e-12,        +1.871031063942e-02,        +1.582081668610e-13,        +4.573733386589e-04,        +6.472008093200e-12,        +1.871031063942e-02,        +1.594891358799e-13,        +4.610765676927e-04,        +2.785133434844e-12,        +8.051706825418e-03,        +3.455673016050e-10,        +9.990209330047e-01,        +3.357595346761e-10,        +9.706670794400e-01,        +2.096781276048e-14,        +6.061708897153e-05,        +8.892907210179e-13,        +2.570903095205e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059727734e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.383739001611e-11,        +4.000332849792e-02,        +3.599192645380e-13,        +1.040511852548e-03,        +1.383739001611e-11,        +4.000332849792e-02,        +3.599192645380e-13,        +1.040511852548e-03,        +6.832104512771e-12,        +1.975133466921e-02,        +4.434186208517e-13,        +1.281905071764e-03,        +3.200095621554e-10,        +9.251345537327e-01,        +3.449666764876e-10,        +9.972845329086e-01,        +5.226910036173e-12,        +1.511078310019e-02,        +1.359584003977e-13,        +3.930501670949e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059669146e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.006085765867e-16,        +2.314526644849e-06,        +2.261113568155e-16,        +6.536786827716e-07,        +8.006085765867e-16,        +2.314526644849e-06,        +2.261113568155e-16,        +6.536786827716e-07,        +1.487897744845e-15,        +4.301451515716e-06,        +6.516599703875e-16,        +1.883922316230e-06,        +3.459035718751e-10,        +9.999930765999e-01,        +3.459049195288e-10,        +9.999969720508e-01,        +1.063390747456e-16,        +3.074219151344e-07,        +1.696143818424e-16,        +4.903482393070e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059668002e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.997608894727e-16,        +2.312076016078e-06,        +2.252686514231e-16,        +6.512424561709e-07,        +7.997608894727e-16,        +2.312076016078e-06,        +2.252686514231e-16,        +6.512424561709e-07,        +1.487104582391e-15,        +4.299158515506e-06,        +6.511863530520e-16,        +1.882553108510e-06,        +3.459035741019e-10,        +9.999930830376e-01,        +3.459049209619e-10,        +9.999969765243e-01,        +1.057530965942e-16,        +3.057278762690e-07,        +1.693832908754e-16,        +4.896801649369e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059667785e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.595785327016e-14,        +1.906814557017e-04,        +1.230015322742e-13,        +3.555923981877e-04,        +6.595785327016e-14,        +1.906814557017e-04,        +1.230015322742e-13,        +3.555923981877e-04,        +6.928168004413e-14,        +2.002905029392e-04,        +1.941393503837e-13,        +5.612489203115e-04,        +3.457612520234e-10,        +9.995816357305e-01,        +3.454955447587e-10,        +9.988134867300e-01,        +9.475163780667e-15,        +2.739231089449e-05,        +9.328113711286e-14,        +2.696719515469e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667646e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.595769959311e-14,        +1.906810114276e-04,        +1.230280698231e-13,        +3.556691171704e-04,        +6.595769959311e-14,        +1.906810114276e-04,        +1.230280698231e-13,        +3.556691171704e-04,        +6.928468491938e-14,        +2.002991899107e-04,        +1.941672509126e-13,        +5.613295796217e-04,        +3.457612465430e-10,        +9.995816198869e-01,        +3.454954851445e-10,        +9.988133144280e-01,        +9.477792971202e-15,        +2.739991177678e-05,        +9.328629927849e-14,        +2.696868751674e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667716e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.524416008812e-17,        +1.307990160363e-07,        +3.564103922601e-15,        +1.030367864384e-05,        +4.524416008812e-17,        +1.307990160363e-07,        +3.564103922601e-15,        +1.030367864384e-05,        +1.509539718954e-16,        +4.364017577568e-07,        +7.971109215732e-15,        +2.304415066941e-05,        +3.459057545954e-10,        +9.999993867550e-01,        +3.458930847578e-10,        +9.999627586251e-01,        +1.592696515679e-17,        +4.604420475250e-08,        +1.346800657147e-15,        +3.893545606387e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059670441e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.179585801839e-17,        +1.208301158105e-07,        +3.564401597088e-15,        +1.030453920049e-05,        +4.179585801839e-17,        +1.208301158105e-07,        +3.564401597088e-15,        +1.030453920049e-05,        +1.495164341487e-16,        +4.322458949356e-07,        +7.974896609423e-15,        +2.305509985148e-05,        +3.459057598359e-10,        +9.999994019051e-01,        +3.458930811439e-10,        +9.999627473898e-01,        +1.557231697451e-17,        +4.501893136492e-08,        +1.346601941617e-15,        +3.892971124853e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059667867e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.297547481947e-15,        +9.533074879312e-06,        +7.933485193679e-16,        +2.293538115973e-06,        +3.297547481947e-15,        +9.533074879312e-06,        +7.933485193679e-16,        +2.293538115973e-06,        +1.374771652828e-15,        +3.974408611283e-06,        +5.520378584404e-16,        +1.595918866531e-06,        +3.459008567520e-10,        +9.999852272902e-01,        +3.459040899575e-10,        +9.999945741635e-01,        +4.376493130970e-16,        +1.265226261479e-06,        +5.314428496757e-16,        +1.536379538672e-06
 2.20e+01,        +3.459059667205e-10,        +3.459059666727e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.415931531747e-16,        +1.854819560523e-06,        +1.518285541540e-16,        +4.389301393509e-07,        +6.415931531747e-16,        +1.854819560523e-06,        +1.518285541540e-16,        +4.389301393509e-07,        +2.894613926864e-16,        +8.368210454153e-07,        +1.142326235695e-16,        +3.302418419326e-07,        +3.459049522299e-10,        +9.999970671494e-01,        +3.459055958273e-10,        +9.999989279013e-01,        +8.343599153486e-17,        +2.412100384561e-07,        +1.047841688099e-16,        +3.029267457218e-07
