        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +2.935514697210e-10,        +2.935514697572e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.749839347055e-12,        +2.299371675254e-02,        +4.572540612603e-14,        +1.557662312638e-04,        +6.749839347055e-12,        +2.299371675254e-02,        +4.572540612603e-14,        +1.557662312638e-04,        +3.778819590370e-12,        +1.287276672115e-02,        +6.173874567833e-14,        +2.103165953466e-04,        +2.797474518525e-10,        +9.529758175575e-01,        +2.934218173543e-10,        +9.995583316172e-01,        +3.275358931002e-12,        +1.115769896882e-02,        +2.218825111856e-14,        +7.558555621238e-05
 2.00e+00,        +2.935514697210e-10,        +2.935514696668e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.634940347460e-12,        +1.578919142141e-02,        +1.918123641587e-12,        +6.534198734431e-03,        +4.634940347460e-12,        +1.578919142141e-02,        +1.918123641587e-12,        +6.534198734431e-03,        +2.162296988317e-12,        +7.365989311421e-03,        +1.374560041993e-12,        +4.682518004603e-03,        +2.856973215106e-10,        +9.732443914594e-01,        +2.885820949490e-10,        +9.830715386181e-01,        +1.056910874583e-12,        +3.600427807728e-03,        +1.676691034280e-12,        +5.711744642882e-03
 3.00e+00,        +2.935514697210e-10,        +2.935514696423e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.634969997555e-12,        +1.578929242617e-02,        +1.918151595240e-12,        +6.534293960706e-03,        +4.634969997555e-12,        +1.578929242617e-02,        +1.918151595240e-12,        +6.534293960706e-03,        +2.162313182664e-12,        +7.366044478398e-03,        +1.374578044156e-12,        +4.682579330401e-03,        +2.856972625633e-10,        +9.732441906521e-01,        +2.885820294726e-10,        +9.830713156512e-01,        +1.056923977418e-12,        +3.600472443292e-03,        +1.676710530317e-12,        +5.711811057734e-03
 4.00e+00,        +2.935514697210e-10,        +2.935514696843e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.705768864087e-12,        +9.217357578415e-03,        +3.614525377753e-14,        +1.231308901856e-04,        +2.705768864087e-12,        +9.217357578415e-03,        +3.614525377753e-14,        +1.231308901856e-04,        +1.927362895508e-12,        +6.565672784195e-03,        +6.173381589313e-14,        +2.102998018014e-04,        +2.865585632355e-10,        +9.761782610315e-01,        +2.934218278788e-10,        +9.995583677177e-01,        +2.359774725928e-12,        +8.038708605924e-03,        +3.176273586111e-14,        +1.082015903217e-04
 5.00e+00,        +2.935514697210e-10,        +2.935514696691e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.902383725077e-13,        +6.480579800486e-04,        +5.493010362662e-12,        +1.871225638507e-02,        +1.902383725077e-13,        +6.480579800486e-04,        +5.493010362662e-12,        +1.871225638507e-02,        +2.539929197266e-13,        +8.652415195467e-04,        +2.987034052624e-12,        +1.017550365526e-02,        +2.930149293177e-10,        +9.981722441934e-01,        +2.824059837694e-10,        +9.620322599227e-01,        +9.230911107943e-14,        +3.144563069882e-04,        +2.665441484423e-12,        +9.079980036983e-03
 6.00e+00,        +2.935514697210e-10,        +2.935514696914e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.902412248590e-13,        +6.480676967479e-04,        +5.493062408295e-12,        +1.871243368010e-02,        +1.902412248590e-13,        +6.480676967479e-04,        +5.493062408295e-12,        +1.871243368010e-02,        +2.540027512751e-13,        +8.652750112834e-04,        +2.987127561427e-12,        +1.017582219761e-02,        +2.930149084870e-10,        +9.981721732327e-01,        +2.824056321075e-10,        +9.620310618933e-01,        +9.231725780993e-14,        +3.144840592952e-04,        +2.665647614134e-12,        +9.080682229034e-03
 7.00e+00,        +2.935514697210e-10,        +2.935514697620e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.844206140173e-14,        +3.012829793896e-04,        +2.241628283407e-14,        +7.636235939220e-05,        +8.844206140173e-14,        +3.012829793896e-04,        +2.241628283407e-14,        +7.636235939220e-05,        +9.829513616165e-14,        +3.348480464263e-04,        +3.824082122447e-14,        +1.302695614349e-04,        +2.933445656516e-10,        +9.992951693631e-01,        +2.934713736301e-10,        +9.997271479104e-01,        +2.016687179885e-14,        +6.869961106998e-05,        +1.943902787284e-14,        +6.622016877859e-05
 8.00e+00,        +2.935514697210e-10,        +2.935514697888e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.845300550787e-14,        +3.013202611179e-04,        +2.241455259792e-14,        +7.635646523606e-05,        +8.845300550787e-14,        +3.013202611179e-04,        +2.241455259792e-14,        +7.635646523606e-05,        +9.830733837060e-14,        +3.348896139544e-04,        +3.823832791248e-14,        +1.302610678120e-04,        +2.933445398977e-10,        +9.992950816309e-01,        +2.934713790644e-10,        +9.997271663314e-01,        +2.016947940353e-14,        +6.870849402559e-05,        +1.943784390924e-14,        +6.621613553230e-05
 9.00e+00,        +2.935514697210e-10,        +2.935514696364e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.973499053707e-12,        +6.722838266089e-03,        +4.349005733839e-12,        +1.481513868496e-02,        +1.973499053707e-12,        +6.722838266089e-03,        +4.349005733839e-12,        +1.481513868496e-02,        +1.021374947298e-12,        +3.479372623374e-03,        +2.988937002546e-12,        +1.018198616498e-02,        +2.900362102732e-10,        +9.880250660945e-01,        +2.823989969375e-10,        +9.620084589843e-01,        +5.203854467687e-13,        +1.772723016047e-03,        +3.814529962539e-12,        +1.299441616580e-02
 1.00e+01,        +2.935514697210e-10,        +2.935514696882e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.973002715868e-12,        +6.721147462634e-03,        +4.350309860586e-12,        +1.481958126528e-02,        +1.973002715868e-12,        +6.721147462634e-03,        +4.350309860586e-12,        +1.481958126528e-02,        +1.021166714589e-12,        +3.478663266649e-03,        +2.989309423581e-12,        +1.018325483690e-02,        +2.900370149121e-10,        +9.880278071432e-01,        +2.823976386594e-10,        +9.620038317622e-01,        +5.202853784472e-13,        +1.772382127542e-03,        +3.814211744561e-12,        +1.299333213563e-02
