        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106485591301e+00,        -4.307060728622e-14,        +1.284501962031e+13,        +9.832895593921e-13,        +1.771717179538e-08
 2.00e+00,        +1.763008370168e+00,        -5.948673684357e-11,        +1.481849958255e+10,        +2.565570976809e-12,        +4.623465344511e-08
 3.00e+00,        +1.763008387829e+00,        +1.106051812407e-11,        +7.969827308505e+10,        +3.423233205451e-12,        +6.169075123914e-08
 4.00e+00,        +1.893272528810e+00,        +2.499952548859e-10,        +3.786616929338e+09,        +4.305191456631e-12,        +7.758788095239e-08
 5.00e+00,        +1.893272558008e+00,        -3.040549341995e-10,        +3.113372527554e+09,        +7.293470977453e-12,        +1.314424604885e-07
 6.00e+00,        +2.022654665698e+00,        -1.063467297030e-10,        +9.509717277376e+09,        +4.503920129173e-12,        +8.117290464118e-08
 7.00e+00,        +2.200375720805e+00,        +1.199052694405e-11,        +9.175475486076e+10,        +1.350376512840e-12,        +2.433903776273e-08
 8.00e+00,        +2.200375787798e+00,        +3.233354716947e-12,        +3.402620467630e+11,        +1.914792487901e-12,        +3.451200922770e-08
 9.00e+00,        +2.362954607769e+00,        +3.183232016697e-11,        +3.711565156693e+10,        +4.124974053060e-12,        +7.435283759903e-08
 1.00e+01,        +2.362954626500e+00,        -1.639573709584e-11,        +7.206003038131e+10,        +7.509104269989e-12,        +1.353519326723e-07
 1.10e+01,        +2.444386074502e+00,        +1.238294828785e-10,        +9.869968030554e+09,        +4.263503071005e-12,        +7.685242459564e-08
 1.20e+01,        +2.444386133974e+00,        +7.937339886575e-11,        +1.539801853583e+10,        +6.933302282747e-12,        +1.249772973123e-07
 1.30e+01,        +2.444386287796e+00,        +1.625256369372e-11,        +7.520002178920e+10,        +3.748648520577e-12,        +6.757183541121e-08
 1.40e+01,        +2.539846950829e+00,        +3.109565001024e-10,        +4.083926449508e+09,        +1.517488032315e-11,        +2.735483463803e-07
 1.50e+01,        +2.569700806719e+00,        -8.337187562866e-11,        +1.541107710089e+10,        +1.007520866154e-11,        +1.816220540971e-07
 1.60e+01,        +2.569701009148e+00,        -9.200869289402e-11,        +1.396444688171e+10,        +9.649648083463e-12,        +1.739506312243e-07
 1.70e+01,        +2.906955414009e+00,        +2.821349444095e-10,        +5.151711036882e+09,        +4.100826210091e-11,        +7.393585324716e-07
 1.80e+01,        +2.906955486582e+00,        -1.058282077139e-10,        +1.373431313531e+10,        +4.116591500371e-11,        +7.422009357823e-07
 1.90e+01,        +2.935583002521e+00,        -3.065436215939e-10,        +4.788197821990e+09,        +9.383751140419e-12,        +1.691867980471e-07
 2.00e+01,        +2.935583678869e+00,        +1.068454228841e-10,        +1.373752660446e+10,        +8.824874124472e-12,        +1.591103786170e-07
 2.10e+01,        +2.975400203848e+00,        +2.375210273688e-10,        +6.263445886895e+09,        +1.077846618454e-11,        +1.943371229175e-07
 2.20e+01,        +2.975400393017e+00,        +6.164422947906e-13,        +2.413364899003e+12,        +1.222221461250e-11,        +2.203680916225e-07
 2.30e+01,        +2.980656250595e+00,        -1.420899493557e-10,        +1.048862450902e+10,        +1.029391968466e-11,        +1.856011887103e-07
 2.40e+01,        +2.980656538114e+00,        -3.627083737035e-10,        +4.108888509631e+09,        +1.095893499922e-11,        +1.975915322309e-07
 2.50e+01,        +3.052485699842e+00,        -3.255199487102e-10,        +4.688630776603e+09,        +1.326007738734e-11,        +2.390904713549e-07
