        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667224e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199006451606e-12,        +1.792107407218e-02,        +3.020543000108e-14,        +8.732266253540e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667452e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261426277742e-13,        +3.646731768469e-04,        +5.073567994470e-12,        +1.466747752925e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059666692e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261426281661e-13,        +3.646731779797e-04,        +5.073568026148e-12,        +1.466747762405e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059665600e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.275418483021e-12,        +1.236005994217e-02,        +2.206082137134e-12,        +6.377693218401e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059664535e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.275418033748e-12,        +1.236005864334e-02,        +2.206081721909e-12,        +6.377692019965e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059664968e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478786760738e-12,        +4.275112033360e-03,        +2.365867018407e-14,        +6.839624775391e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059666865e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.885708753901e-14,        +1.701534324401e-04,        +2.256000765124e-14,        +6.522005927606e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667359e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.885716366196e-14,        +1.701536525085e-04,        +2.256001755535e-14,        +6.522008789912e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666645e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.338926935018e-15,        +6.761742091912e-06,        +1.572287932096e-13,        +4.545420095689e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059665396e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.338927692619e-15,        +6.761744282108e-06,        +1.572288300963e-13,        +4.545421163712e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059668129e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.409364093734e-13,        +6.965373036427e-04,        +6.393388974298e-12,        +1.848302598884e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059666409e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.999521615030e-12,        +8.671494289237e-03,        +3.985966082241e-12,        +1.152326489464e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059666299e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.948357286362e-12,        +8.523580308011e-03,        +4.030622384256e-12,        +1.165236443744e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059697563e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.384403755112e-11,        +4.002254624971e-02,        +3.603590870714e-13,        +1.041783370565e-03
 1.50e+01,        +3.459059667205e-10,        +3.459059672297e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.008734674494e-16,        +2.315292433497e-06,        +2.260690357938e-16,        +6.535563338336e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059670173e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.008689456160e-16,        +2.315279361062e-06,        +2.260688852522e-16,        +6.535558990251e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059675359e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.611251535691e-14,        +1.911285774678e-04,        +1.231513155866e-13,        +3.560254148371e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059673011e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.611267867736e-14,        +1.911290496205e-04,        +1.231517145563e-13,        +3.560265684839e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059668603e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.095432282461e-17,        +1.183972719895e-07,        +3.569419039496e-15,        +1.031904442671e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059667317e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.095461964797e-17,        +1.183981300937e-07,        +3.569439633994e-15,        +1.031910396840e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059668676e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.082590900247e-17,        +3.129726007651e-08,        +2.292364919925e-18,        +6.627133208148e-09
 2.20e+01,        +3.459059667205e-10,        +3.459059666115e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.085150961078e-17,        +3.137127038791e-08,        +2.298363568299e-18,        +6.644475060127e-09
 2.30e+01,        +3.459059667205e-10,        +3.459059670931e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.467055512509e-12,        +2.447791112939e-02,        +2.036929127141e-12,        +5.888678776659e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059670547e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.467064828873e-12,        +2.447793806262e-02,        +2.036933447695e-12,        +5.888691267859e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059679169e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.642148069346e-12,        +2.209313745525e-02,        +2.822573924778e-13,        +8.159945726800e-04
