        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059668405e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.206951625890e-12,        +1.794404324602e-02,        +3.025043357246e-14,        +8.745276598947e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059663168e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.262429999517e-13,        +3.649633487060e-04,        +5.075845563390e-12,        +1.467406190601e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059666294e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.265809589902e-13,        +3.659403744617e-04,        +5.081550892719e-12,        +1.469055576645e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059662809e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.297785988823e-12,        +1.242472348647e-02,        +2.215712358311e-12,        +6.405533799067e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059671166e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.303658831693e-12,        +1.244170163497e-02,        +2.218988882770e-12,        +6.415006081758e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059664990e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.465202498738e-12,        +4.235840487604e-03,        +2.345242977594e-14,        +6.780001516973e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059670454e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.894518867125e-14,        +1.704081292095e-04,        +2.265704000969e-14,        +6.550057578716e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059660467e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.890940876423e-14,        +1.703046909620e-04,        +2.271115410773e-14,        +6.565701762039e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666588e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.378282711558e-15,        +6.875518031985e-06,        +1.566935880786e-13,        +4.529947534359e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059666149e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.401826521817e-15,        +6.943582224351e-06,        +1.577226843383e-13,        +4.559698286844e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059662906e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.082373440144e-12,        +8.911015526469e-03,        +4.024209144015e-12,        +1.163382403365e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059670623e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.093482510704e-12,        +8.943131395024e-03,        +4.030859690615e-12,        +1.165305046585e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059675667e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.623852585761e-13,        +4.694491399374e-04,        +6.619897276612e-12,        +1.913785218330e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059457590e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.373691018781e-11,        +3.971284542459e-02,        +3.578164698422e-13,        +1.034432839994e-03
 1.50e+01,        +3.459059667205e-10,        +3.459059666455e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.995009672689e-15,        +2.311324591619e-05,        +5.602429950964e-16,        +1.619639581617e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059675250e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.946928677029e-16,        +2.586520481810e-06,        +2.616250675715e-16,        +7.563473664346e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059667624e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.877555948285e-14,        +1.988273291002e-04,        +1.257617278688e-13,        +3.635720107573e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059670901e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.137557376741e-14,        +2.063438640395e-04,        +1.274830486672e-13,        +3.685482784228e-04
