        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106716737911e+00,        +1.491266204312e-11,        +3.710661231075e+10,        +3.178154748152e-11,        +1.262631791635e-07
 2.00e+00,        +1.763559918101e+00,        +1.577922568427e-10,        +5.588233394301e+09,        +4.117575785219e-11,        +1.638922001681e-07
 3.00e+00,        +1.764075486977e+00,        -3.004239878466e-10,        +2.935976417232e+09,        +4.146899720326e-11,        +1.650596816492e-07
 4.00e+00,        +1.894647145008e+00,        -1.071322087606e-09,        +8.842565494199e+08,        +6.581822412368e-11,        +2.621017389371e-07
 5.00e+00,        +1.894739497521e+00,        -4.298088622587e-10,        +2.204165227729e+09,        +2.075670522513e-11,        +8.265750860011e-08
 6.00e+00,        +2.023251244471e+00,        -3.913159604874e-09,        +2.585188758914e+08,        +1.010871641022e-10,        +4.027515355492e-07
 7.00e+00,        +2.201632304272e+00,        +1.780331425585e-09,        +6.183209127897e+08,        +6.177109053037e-11,        +2.462926804306e-07
 8.00e+00,        +2.203019676679e+00,        -3.491241440147e-10,        +3.155066348815e+09,        +8.817777880193e-11,        +3.515831282615e-07
 9.00e+00,        +2.362992589113e+00,        +9.009763942502e-10,        +1.311350998868e+09,        +1.181552366207e-10,        +4.714510961268e-07
 1.00e+01,        +2.363472666255e+00,        -8.021038084451e-10,        +1.473296000699e+09,        +9.776777319508e-11,        +3.901039759955e-07
 1.10e+01,        +2.443642829446e+00,        +6.033396623188e-10,        +2.025097123612e+09,        +5.220812288797e-11,        +2.083956904770e-07
 1.20e+01,        +2.444132928358e+00,        -1.287137832612e-09,        +9.494449104172e+08,        +6.588273000744e-11,        +2.629803345707e-07
 1.30e+01,        +2.449196522889e+00,        -6.198168170857e-10,        +1.975742231717e+09,        +6.267414935558e-11,        +2.501789730673e-07
 1.40e+01,        +2.540469794632e+00,        +1.505008548769e-08,        +8.440051043927e+07,        +8.056578011937e-10,        +3.217429623950e-06
 1.50e+01,        +2.571659288100e+00,        +3.790268020432e-10,        +3.392450447089e+09,        +5.909438557809e-11,        +2.360333057387e-07
 1.60e+01,        +2.574177144262e+00,        -6.363866406871e-10,        +2.022494643730e+09,        +1.154079024036e-10,        +4.609652542164e-07
 1.70e+01,        +2.908702704787e+00,        +6.762467841610e-10,        +2.150622208426e+09,        +8.665704180936e-11,        +3.467569477111e-07
 1.80e+01,        +2.912719086986e+00,        +6.176381404189e-10,        +2.357949498562e+09,        +1.042862890689e-10,        +4.173097868622e-07
 1.90e+01,        +2.929263301201e+00,        -2.432708037033e-09,        +6.020581295841e+08,        +1.769636438570e-10,        +7.082016375833e-07
 2.00e+01,        +2.946292209716e+00,        +7.752741432812e-10,        +1.900161533342e+09,        +7.083632572696e-11,        +2.835122812789e-07
 2.10e+01,        +2.979524155278e+00,        +1.751695799374e-09,        +8.504684878341e+08,        +9.614516595723e-11,        +3.848822441648e-07
 2.20e+01,        +2.982713660775e+00,        +2.749232686308e-09,        +5.424629344090e+08,        +7.255743118197e-11,        +2.904627784974e-07
 2.30e+01,        +2.983861255997e+00,        -1.004886797536e-09,        +1.484675320302e+09,        +9.345316545928e-11,        +3.741153653389e-07
 2.40e+01,        +2.985686713048e+00,        +1.536748186436e-09,        +9.714300428013e+08,        +6.801851213891e-11,        +2.722973007071e-07
 2.50e+01,        +3.062073362886e+00,        +4.330388559292e-09,        +3.535564212033e+08,        +1.985759859699e-10,        +7.953188248932e-07
 2.60e+01,        +3.224546344326e+00,        +1.164066335098e-08,        +1.385035477405e+08,        +1.620073818006e-10,        +6.495124999242e-07
 2.70e+01,        +3.233419455963e+00,        +2.465651490173e-09,        +6.556927183039e+08,        +1.138306132734e-10,        +4.563902468506e-07
