        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 2.41500000e+00,        +7.353080055172e-09,        +7.288400933158e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +5.071889691302e-11,        +6.897639700978e-03,        +7.210376062372e-11,        +9.892946516661e-03
 2.41502000e+00,        +7.261519901934e-09,        +7.196862056541e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +5.011615637309e-11,        +6.901606970704e-03,        +7.119169584903e-11,        +9.892046740610e-03
 2.41504000e+00,        +7.171696678283e-09,        +7.107060066657e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.952457633977e-11,        +6.905559250678e-03,        +7.029708981337e-11,        +9.891163034229e-03
 2.41506000e+00,        +7.083567051229e-09,        +7.018951627323e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.894388203975e-11,        +6.909496541189e-03,        +6.941950479903e-11,        +9.890295372431e-03
 2.41508000e+00,        +6.997089019913e-09,        +6.932494734666e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.837380707469e-11,        +6.913418842753e-03,        +6.855851658703e-11,        +9.889443730004e-03
 2.41510000e+00,        +6.912221867176e-09,        +6.847648668690e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.781409311861e-11,        +6.917326156104e-03,        +6.771371396523e-11,        +9.888608081609e-03
 2.41512000e+00,        +6.828926113151e-09,        +6.764373946853e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.726448962791e-11,        +6.921218482198e-03,        +6.688469825705e-11,        +9.887788401788e-03
 2.41514000e+00,        +6.747163470774e-09,        +6.682632279574e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.672475356325e-11,        +6.925095822213e-03,        +6.607108286969e-11,        +9.886984664957e-03
 2.41516000e+00,        +6.666896803154e-09,        +6.602386527592e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.619464912306e-11,        +6.928958177545e-03,        +6.527249286126e-11,        +9.886196845410e-03
 2.41518000e+00,        +6.588090082676e-09,        +6.523600661067e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.567394748781e-11,        +6.932805549808e-03,        +6.448856452557e-11,        +9.885424917323e-03
 2.41520000e+00,        +6.510708351783e-09,        +6.446239720350e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.516242657470e-11,        +6.936637940837e-03,        +6.371894499398e-11,        +9.884668854748e-03
 2.41522000e+00,        +6.434717685366e-09,        +6.370269778370e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.465987080239e-11,        +6.940455352681e-03,        +6.296329185358e-11,        +9.883928631621e-03
 2.41524000e+00,        +6.360085154654e-09,        +6.295657904515e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.416607086506e-11,        +6.944257787608e-03,        +6.222127278064e-11,        +9.883204221757e-03
 2.41526000e+00,        +6.286778792561e-09,        +6.222372129976e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.368082351552e-11,        +6.948045248102e-03,        +6.149256518891e-11,        +9.882495598853e-03
 2.41528000e+00,        +6.214767560441e-09,        +6.150381414495e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.320393135714e-11,        +6.951817736861e-03,        +6.077685589223e-11,        +9.881802736493e-03
 2.41530000e+00,        +6.144021316142e-09,        +6.079655614413e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.273520264380e-11,        +6.955575256799e-03,        +6.007384078025e-11,        +9.881125608140e-03
 2.41532000e+00,        +6.074510783338e-09,        +6.010165451998e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.227445108784e-11,        +6.959317811041e-03,        +5.938322450728e-11,        +9.880464187144e-03
 2.41534000e+00,        +6.006207522057e-09,        +5.941882485968e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.182149567549e-11,        +6.963045402928e-03,        +5.870472019324e-11,        +9.879818446741e-03
 2.41536000e+00,        +5.939083900386e-09,        +5.874779083192e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.137616048956e-11,        +6.966758036012e-03,        +5.803804913655e-11,        +9.879188360053e-03
 2.41538000e+00,        +5.873113067257e-09,        +5.808828391468e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.093827453895e-11,        +6.970455714055e-03,        +5.738294053805e-11,        +9.878573900088e-03
 2.41540000e+00,        +5.808268926292e-09,        +5.744004313370e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.050767159471e-11,        +6.974138441033e-03,        +5.673913123565e-11,        +9.877975039744e-03
 2.41542000e+00,        +5.744526110674e-09,        +5.680281481110e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.008419003250e-11,        +6.977806221129e-03,        +5.610636544945e-11,        +9.877391751806e-03
