        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.41500000e+00,        +7.071067811865e+00,        +5.844548906076e+00,        -6.904979836177e+00
 2.41502000e+00,        +7.071067811865e+00,        +5.831746500023e+00,        -6.903179099182e+00
 2.41504000e+00,        +7.071067811865e+00,        +5.819107340695e+00,        -6.901374903619e+00
 2.41506000e+00,        +7.071067811865e+00,        +5.806628325254e+00,        -6.899567791806e+00
 2.41508000e+00,        +7.071067811865e+00,        +5.794306427219e+00,        -6.897758280438e+00
 2.41510000e+00,        +7.071067811865e+00,        +5.782138694187e+00,        -6.895946861746e+00
 2.41512000e+00,        +7.071067811865e+00,        +5.770122245641e+00,        -6.894134004615e+00
 2.41514000e+00,        +7.071067811865e+00,        +5.758254270824e+00,        -6.892320155639e+00
 2.41516000e+00,        +7.071067811865e+00,        +5.746532026688e+00,        -6.890505740121e+00
 2.41518000e+00,        +7.071067811865e+00,        +5.734952835917e+00,        -6.888691163040e+00
 2.41520000e+00,        +7.071067811865e+00,        +5.723514085016e+00,        -6.886876809958e+00
 2.41522000e+00,        +7.071067811865e+00,        +5.712213222459e+00,        -6.885063047888e+00
 2.41524000e+00,        +7.071067811865e+00,        +5.701047756907e+00,        -6.883250226125e+00
 2.41526000e+00,        +7.071067811865e+00,        +5.690015255481e+00,        -6.881438677036e+00
 2.41528000e+00,        +7.071067811865e+00,        +5.679113342095e+00,        -6.879628716808e+00
 2.41530000e+00,        +7.071067811865e+00,        +5.668339695843e+00,        -6.877820646168e+00
 2.41532000e+00,        +7.071067811865e+00,        +5.657692049439e+00,        -6.876014751065e+00
 2.41534000e+00,        +7.071067811865e+00,        +5.647168187712e+00,        -6.874211303323e+00
 2.41536000e+00,        +7.071067811865e+00,        +5.636765946143e+00,        -6.872410561263e+00
 2.41538000e+00,        +7.071067811865e+00,        +5.626483209459e+00,        -6.870612770296e+00
 2.41540000e+00,        +7.071067811865e+00,        +5.616317910265e+00,        -6.868818163489e+00
 2.41542000e+00,        +7.071067811865e+00,        +5.606268027726e+00,        -6.867026962105e+00
 2.41544000e+00,        +7.071067811865e+00,        +5.596331586285e+00,        -6.865239376119e+00
 2.41546000e+00,        +7.071067811865e+00,        +5.586506654431e+00,        -6.863455604712e+00
 2.41548000e+00,        +7.071067811865e+00,        +5.576791343496e+00,        -6.861675836739e+00
 2.41550000e+00,        +7.071067811865e+00,        +5.567183806499e+00,        -6.859900251176e+00
 2.41552000e+00,        +7.071067811865e+00,        +5.557682237022e+00,        -6.858129017556e+00
 2.41554000e+00,        +7.071067811865e+00,        +5.548284868124e+00,        -6.856362296371e+00
 2.41556000e+00,        +7.071067811865e+00,        +5.538989971284e+00,        -6.854600239468e+00
 2.41558000e+00,        +7.071067811865e+00,        +5.529795855386e+00,        -6.852842990421e+00
