        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.41500000e+00,        +1.414213562373e-01,        +1.719977330391e-01,        -1.380170667850e-01
 2.41502000e+00,        +1.414213562373e-01,        +1.719506789482e-01,        -1.380271615941e-01
 2.41504000e+00,        +1.414213562373e-01,        +1.719034868388e-01,        -1.380372687425e-01
 2.41506000e+00,        +1.414213562373e-01,        +1.718561560823e-01,        -1.380473882166e-01
 2.41508000e+00,        +1.414213562373e-01,        +1.718086860465e-01,        -1.380575200024e-01
 2.41510000e+00,        +1.414213562373e-01,        +1.717610760952e-01,        -1.380676640852e-01
 2.41512000e+00,        +1.414213562373e-01,        +1.717133255886e-01,        -1.380778204499e-01
 2.41514000e+00,        +1.414213562373e-01,        +1.716654338829e-01,        -1.380879890809e-01
 2.41516000e+00,        +1.414213562373e-01,        +1.716174003303e-01,        -1.380981699620e-01
 2.41518000e+00,        +1.414213562373e-01,        +1.715692242793e-01,        -1.381083630766e-01
 2.41520000e+00,        +1.414213562373e-01,        +1.715209050743e-01,        -1.381185684073e-01
 2.41522000e+00,        +1.414213562373e-01,        +1.714724420557e-01,        -1.381287859363e-01
 2.41524000e+00,        +1.414213562373e-01,        +1.714238345601e-01,        -1.381390156453e-01
 2.41526000e+00,        +1.414213562373e-01,        +1.713750819199e-01,        -1.381492575153e-01
 2.41528000e+00,        +1.414213562373e-01,        +1.713261834634e-01,        -1.381595115268e-01
 2.41530000e+00,        +1.414213562373e-01,        +1.712771385149e-01,        -1.381697776596e-01
 2.41532000e+00,        +1.414213562373e-01,        +1.712279463945e-01,        -1.381800558932e-01
 2.41534000e+00,        +1.414213562373e-01,        +1.711786064182e-01,        -1.381903462061e-01
 2.41536000e+00,        +1.414213562373e-01,        +1.711291178977e-01,        -1.382006485765e-01
 2.41538000e+00,        +1.414213562373e-01,        +1.710794801406e-01,        -1.382109629817e-01
 2.41540000e+00,        +1.414213562373e-01,        +1.710296924502e-01,        -1.382212893988e-01
 2.41542000e+00,        +1.414213562373e-01,        +1.709797541254e-01,        -1.382316278038e-01
 2.41544000e+00,        +1.414213562373e-01,        +1.709296644610e-01,        -1.382419781723e-01
 2.41546000e+00,        +1.414213562373e-01,        +1.708794227473e-01,        -1.382523404792e-01
 2.41548000e+00,        +1.414213562373e-01,        +1.708290282702e-01,        -1.382627146987e-01
 2.41550000e+00,        +1.414213562373e-01,        +1.707784803113e-01,        -1.382731008045e-01
 2.41552000e+00,        +1.414213562373e-01,        +1.707277781475e-01,        -1.382834987694e-01
 2.41554000e+00,        +1.414213562373e-01,        +1.706769210515e-01,        -1.382939085656e-01
 2.41556000e+00,        +1.414213562373e-01,        +1.706259082913e-01,        -1.383043301645e-01
 2.41558000e+00,        +1.414213562373e-01,        +1.705747391303e-01,        -1.383147635371e-01
 2.41560000e+00,        +1.414213562373e-01,        +1.705234128276e-01,        -1.383252086533e-01
 2.41562000e+00,        +1.414213562373e-01,        +1.704719286373e-01,        -1.383356654825e-01
 2.41564000e+00,        +1.414213562373e-01,        +1.704202858091e-01,        -1.383461339934e-01
 2.41566000e+00,        +1.414213562373e-01,        +1.703684835878e-01,        -1.383566141536e-01
 2.41568000e+00,        +1.414213562373e-01,        +1.703165212136e-01,        -1.383671059304e-01
 2.41570000e+00,        +1.414213562373e-01,        +1.702643979219e-01,        -1.383776092901e-01
 2.41572000e+00,        +1.414213562373e-01,        +1.702121129433e-01,        -1.383881241982e-01
 2.41574000e+00,        +1.414213562373e-01,        +1.701596655035e-01,        -1.383986506194e-01
 2.41576000e+00,        +1.414213562373e-01,        +1.701070548233e-01,        -1.384091885178e-01
 2.41578000e+00,        +1.414213562373e-01,        +1.700542801187e-01,        -1.384197378564e-01
 2.41580000e+00,        +1.414213562373e-01,        +1.700013406006e-01,        -1.384302985976e-01
