        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.41500000e+00,        -3.557124668604e-03,        -7.750841665965e+01
 2.41502000e+00,        -3.576392620153e-03,        -7.752792163213e+01
 2.41504000e+00,        -3.595742299281e-03,        -7.754748239160e+01
 2.41506000e+00,        -3.615174180475e-03,        -7.756709918884e+01
 2.41508000e+00,        -3.634688741710e-03,        -7.758677227610e+01
 2.41510000e+00,        -3.654286464470e-03,        -7.760650190715e+01
 2.41512000e+00,        -3.673967833756e-03,        -7.762628833728e+01
 2.41514000e+00,        -3.693733338141e-03,        -7.764613182332e+01
 2.41516000e+00,        -3.713583469786e-03,        -7.766603262364e+01
 2.41518000e+00,        -3.733518724481e-03,        -7.768599099818e+01
 2.41520000e+00,        -3.753539601684e-03,        -7.770600720842e+01
 2.41522000e+00,        -3.773646604544e-03,        -7.772608151744e+01
 2.41524000e+00,        -3.793840239925e-03,        -7.774621418991e+01
 2.41526000e+00,        -3.814121018451e-03,        -7.776640549212e+01
 2.41528000e+00,        -3.834489454551e-03,        -7.778665569193e+01
 2.41530000e+00,        -3.854946066460e-03,        -7.780696505888e+01
 2.41532000e+00,        -3.875491376297e-03,        -7.782733386411e+01
 2.41534000e+00,        -3.896125910038e-03,        -7.784776238045e+01
 2.41536000e+00,        -3.916850197621e-03,        -7.786825088236e+01
 2.41538000e+00,        -3.937664772944e-03,        -7.788879964601e+01
 2.41540000e+00,        -3.958570173886e-03,        -7.790940894923e+01
 2.41542000e+00,        -3.979566942378e-03,        -7.793007907159e+01
 2.41544000e+00,        -4.000655624424e-03,        -7.795081029435e+01
 2.41546000e+00,        -4.021836770139e-03,        -7.797160290051e+01
 2.41548000e+00,        -4.043110933763e-03,        -7.799245717480e+01
 2.41550000e+00,        -4.064478673757e-03,        -7.801337340374e+01
 2.41552000e+00,        -4.085940552768e-03,        -7.803435187558e+01
 2.41554000e+00,        -4.107497137732e-03,        -7.805539288039e+01
 2.41556000e+00,        -4.129148999862e-03,        -7.807649671001e+01
 2.41558000e+00,        -4.150896714716e-03,        -7.809766365811e+01
 2.41560000e+00,        -4.172740862238e-03,        -7.811889402017e+01
 2.41562000e+00,        -4.194682026796e-03,        -7.814018809353e+01
 2.41564000e+00,        -4.216720797194e-03,        -7.816154617737e+01
 2.41566000e+00,        -4.238857766750e-03,        -7.818296857274e+01
 2.41568000e+00,        -4.261093533320e-03,        -7.820445558258e+01
 2.41570000e+00,        -4.283428699347e-03,        -7.822600751172e+01
 2.41572000e+00,        -4.305863871907e-03,        -7.824762466690e+01
 2.41574000e+00,        -4.328399662705e-03,        -7.826930735680e+01
 2.41576000e+00,        -4.351036688214e-03,        -7.829105589204e+01
 2.41578000e+00,        -4.373775569616e-03,        -7.831287058519e+01
 2.41580000e+00,        -4.396616932916e-03,        -7.833475175081e+01
 2.41582000e+00,        -4.419561408945e-03,        -7.835669970541e+01
 2.41584000e+00,        -4.442609633432e-03,        -7.837871476755e+01
 2.41586000e+00,        -4.465762247054e-03,        -7.840079725779e+01
 2.41588000e+00,        -4.489019895443e-03,        -7.842294749873e+01
 2.41590000e+00,        -4.512383229262e-03,        -7.844516581502e+01
 2.41592000e+00,        -4.535852904269e-03,        -7.846745253337e+01
 2.41594000e+00,        -4.559429581313e-03,        -7.848980798259e+01
 2.41596000e+00,        -4.583113926428e-03,        -7.851223249359e+01
 2.41598000e+00,        -4.606906610876e-03,        -7.853472639940e+01
 2.41600000e+00,        -4.630808311158e-03,        -7.855729003517e+01
 2.41602000e+00,        -4.654819709118e-03,        -7.857992373822e+01
 2.41604000e+00,        -4.678941491957e-03,        -7.860262784802e+01
 2.41606000e+00,        -4.703174352277e-03,        -7.862540270626e+01
 2.41608000e+00,        -4.727518988179e-03,        -7.864824865680e+01
 2.41610000e+00,        -4.751976103281e-03,        -7.867116604574e+01
 2.41612000e+00,        -4.776546406738e-03,        -7.869415522142e+01
 2.41614000e+00,        -4.801230613371e-03,        -7.871721653444e+01
 2.41616000e+00,        -4.826029443670e-03,        -7.874035033766e+01
 2.41618000e+00,        -4.850943623847e-03,        -7.876355698626e+01
 2.41620000e+00,        -4.875973885920e-03,        -7.878683683772e+01
 2.41622000e+00,        -4.901120967729e-03,        -7.881019025184e+01
 2.41624000e+00,        -4.926385613067e-03,        -7.883361759080e+01
 2.41626000e+00,        -4.951768571598e-03,        -7.885711921912e+01
 2.41628000e+00,        -4.977270599087e-03,        -7.888069550374e+01
 2.41630000e+00,        -5.002892457307e-03,        -7.890434681400e+01
 2.41632000e+00,        -5.028634914221e-03,        -7.892807352164e+01
 2.41634000e+00,        -5.054498743924e-03,        -7.895187600089e+01
 2.41636000e+00,        -5.080484726799e-03,        -7.897575462843e+01
 2.41638000e+00,        -5.106593649535e-03,        -7.899970978343e+01
 2.41640000e+00,        -5.132826305178e-03,        -7.902374184757e+01
 2.41642000e+00,        -5.159183493241e-03,        -7.904785120506e+01
 2.41644000e+00,        -5.185666019682e-03,        -7.907203824267e+01
 2.41646000e+00,        -5.212274697070e-03,        -7.909630334972e+01
 2.41648000e+00,        -5.239010344583e-03,        -7.912064691817e+01
 2.41650000e+00,        -5.265873788070e-03,        -7.914506934253e+01
 2.41652000e+00,        -5.292865860169e-03,        -7.916957102001e+01
 2.41654000e+00,        -5.319987400307e-03,        -7.919415235044e+01
 2.41656000e+00,        -5.347239254825e-03,        -7.921881373634e+01
