        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.41000000e+00,        -1.083281868407e-02,        -1.504979198778e+01
 2.41000500e+00,        -1.083285522003e-02,        -1.505010062309e+01
 2.41001000e+00,        -1.083289177478e-02,        -1.505040929796e+01
 2.41001500e+00,        -1.083292834837e-02,        -1.505071801241e+01
 2.41002000e+00,        -1.083296494083e-02,        -1.505102676646e+01
 2.41002500e+00,        -1.083300155216e-02,        -1.505133556011e+01
 2.41003000e+00,        -1.083303818235e-02,        -1.505164439338e+01
 2.41003500e+00,        -1.083307483144e-02,        -1.505195326629e+01
 2.41004000e+00,        -1.083311149941e-02,        -1.505226217884e+01
 2.41004500e+00,        -1.083314818630e-02,        -1.505257113106e+01
 2.41005000e+00,        -1.083318489210e-02,        -1.505288012296e+01
 2.41005500e+00,        -1.083322161684e-02,        -1.505318915454e+01
 2.41006000e+00,        -1.083325836051e-02,        -1.505349822583e+01
 2.41006500e+00,        -1.083329512312e-02,        -1.505380733684e+01
 2.41007000e+00,        -1.083333190470e-02,        -1.505411648759e+01
 2.41007500e+00,        -1.083336870523e-02,        -1.505442567808e+01
 2.41008000e+00,        -1.083340552476e-02,        -1.505473490834e+01
 2.41008500e+00,        -1.083344236328e-02,        -1.505504417837e+01
 2.41009000e+00,        -1.083347922079e-02,        -1.505535348819e+01
 2.41009500e+00,        -1.083351609732e-02,        -1.505566283781e+01
 2.41010000e+00,        -1.083355299285e-02,        -1.505597222725e+01
 2.41010500e+00,        -1.083358990743e-02,        -1.505628165653e+01
 2.41011000e+00,        -1.083362684103e-02,        -1.505659112565e+01
 2.41011500e+00,        -1.083366379372e-02,        -1.505690063463e+01
 2.41012000e+00,        -1.083370076544e-02,        -1.505721018349e+01
 2.41012500e+00,        -1.083373775626e-02,        -1.505751977224e+01
 2.41013000e+00,        -1.083377476616e-02,        -1.505782940089e+01
 2.41013500e+00,        -1.083381179513e-02,        -1.505813906946e+01
 2.41014000e+00,        -1.083384884322e-02,        -1.505844877796e+01
 2.41014500e+00,        -1.083388591044e-02,        -1.505875852641e+01
 2.41015000e+00,        -1.083392299676e-02,        -1.505906831481e+01
 2.41015500e+00,        -1.083396010223e-02,        -1.505937814319e+01
 2.41016000e+00,        -1.083399722683e-02,        -1.505968801157e+01
 2.41016500e+00,        -1.083403437062e-02,        -1.505999791994e+01
 2.41017000e+00,        -1.083407153355e-02,        -1.506030786833e+01
 2.41017500e+00,        -1.083410871568e-02,        -1.506061785675e+01
 2.41018000e+00,        -1.083414591699e-02,        -1.506092788522e+01
 2.41018500e+00,        -1.083418313750e-02,        -1.506123795375e+01
 2.41019000e+00,        -1.083422037724e-02,        -1.506154806235e+01
 2.41019500e+00,        -1.083425763617e-02,        -1.506185821105e+01
 2.41020000e+00,        -1.083429491436e-02,        -1.506216839984e+01
 2.41020500e+00,        -1.083433221176e-02,        -1.506247862875e+01
 2.41021000e+00,        -1.083436952844e-02,        -1.506278889780e+01
 2.41021500e+00,        -1.083440686437e-02,        -1.506309920699e+01
 2.41022000e+00,        -1.083444421960e-02,        -1.506340955634e+01
 2.41022500e+00,        -1.083448159410e-02,        -1.506371994587e+01
 2.41023000e+00,        -1.083451898788e-02,        -1.506403037558e+01
 2.41023500e+00,        -1.083455640099e-02,        -1.506434084550e+01
 2.41024000e+00,        -1.083459383340e-02,        -1.506465135563e+01
 2.41024500e+00,        -1.083463128515e-02,        -1.506496190600e+01
 2.41025000e+00,        -1.083466875623e-02,        -1.506527249662e+01
 2.41025500e+00,        -1.083470624666e-02,        -1.506558312749e+01
 2.41026000e+00,        -1.083474375646e-02,        -1.506589379864e+01
 2.41026500e+00,        -1.083478128562e-02,        -1.506620451009e+01
 2.41027000e+00,        -1.083481883418e-02,        -1.506651526183e+01
 2.41027500e+00,        -1.083485640212e-02,        -1.506682605389e+01
 2.41028000e+00,        -1.083489398946e-02,        -1.506713688629e+01
 2.41028500e+00,        -1.083493159622e-02,        -1.506744775903e+01
 2.41029000e+00,        -1.083496922243e-02,        -1.506775867214e+01
 2.41029500e+00,        -1.083500686803e-02,        -1.506806962562e+01
 2.41030000e+00,        -1.083504453310e-02,        -1.506838061949e+01
 2.41030500e+00,        -1.083508221762e-02,        -1.506869165377e+01
 2.41031000e+00,        -1.083511992161e-02,        -1.506900272847e+01
 2.41031500e+00,        -1.083515764508e-02,        -1.506931384360e+01
 2.41032000e+00,        -1.083519538803e-02,        -1.506962499918e+01
 2.41032500e+00,        -1.083523315051e-02,        -1.506993619522e+01
 2.41033000e+00,        -1.083527093247e-02,        -1.507024743174e+01
 2.41033500e+00,        -1.083530873397e-02,        -1.507055870876e+01
 2.41034000e+00,        -1.083534655500e-02,        -1.507087002628e+01
 2.41034500e+00,        -1.083538439556e-02,        -1.507118138432e+01
 2.41035000e+00,        -1.083542225571e-02,        -1.507149278289e+01
 2.41035500e+00,        -1.083546013540e-02,        -1.507180422202e+01
 2.41036000e+00,        -1.083549803467e-02,        -1.507211570171e+01
 2.41036500e+00,        -1.083553595353e-02,        -1.507242722198e+01
 2.41037000e+00,        -1.083557389200e-02,        -1.507273878284e+01
 2.41037500e+00,        -1.083561185006e-02,        -1.507305038432e+01
 2.41038000e+00,        -1.083564982776e-02,        -1.507336202641e+01
 2.41038500e+00,        -1.083568782508e-02,        -1.507367370914e+01
 2.41039000e+00,        -1.083572584204e-02,        -1.507398543253e+01
 2.41039500e+00,        -1.083576387866e-02,        -1.507429719658e+01
 2.41040000e+00,        -1.083580193495e-02,        -1.507460900131e+01
 2.41040500e+00,        -1.083584001091e-02,        -1.507492084674e+01
 2.41041000e+00,        -1.083587810655e-02,        -1.507523273288e+01
 2.41041500e+00,        -1.083591622188e-02,        -1.507554465974e+01
 2.41042000e+00,        -1.083595435693e-02,        -1.507585662734e+01
 2.41042500e+00,        -1.083599251171e-02,        -1.507616863570e+01
 2.41043000e+00,        -1.083603068620e-02,        -1.507648068483e+01
 2.41043500e+00,        -1.083606888045e-02,        -1.507679277474e+01
 2.41044000e+00,        -1.083610709445e-02,        -1.507710490545e+01
 2.41044500e+00,        -1.083614532821e-02,        -1.507741707697e+01
