        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 2.41000000e+00,        +7.632313585350e-11,        +7.603507171807e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.083679699439e-13,        +2.730076111441e-03,        +9.018049083309e-13,        +1.186038084734e-02,        +2.083679699439e-13,        +2.730076111441e-03,        +9.018049083309e-13,        +1.186038084734e-02,        +1.268285273953e-13,        +1.661731085561e-03,        +5.461890437642e-13,        +7.183383028682e-03,        +3.633204255387e-11,        +4.760292164045e-01,        +3.866372796886e-11,        +5.084986059094e-01,        +1.470282668201e-11,        +1.926391849286e-01,        +1.202922977881e-11,        +1.582063317229e-01,        +5.291186636026e-12,        +6.932611686950e-02,        +5.772236763130e-12,        +7.591545102415e-02,        +4.791771520680e-12,        +6.278268662700e-02,        +5.539778425648e-12,        +7.285819951862e-02,        +1.478604322405e-11,        +1.937295036257e-01,        +1.200324678265e-11,        +1.578646078898e-01,        +8.406873951130e-14,        +1.101484347717e-03,        +5.788580468836e-13,        +7.613040059067e-03
 2.41000500e+00,        +7.633410552138e-11,        +7.604572553591e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.084218255314e-13,        +2.730389307739e-03,        +9.020054309033e-13,        +1.186135610577e-02,        +2.084218255314e-13,        +2.730389307739e-03,        +9.020054309033e-13,        +1.186135610577e-02,        +1.268590661542e-13,        +1.661892351888e-03,        +5.463111546666e-13,        +7.183982410801e-03,        +3.633402930693e-11,        +4.759868352260e-01,        +3.866602371920e-11,        +5.084575555919e-01,        +1.470605124234e-11,        +1.926537442456e-01,        +1.203185203830e-11,        +1.582186500755e-01,        +5.292494920007e-12,        +6.933329320960e-02,        +5.773626224550e-12,        +7.592308685152e-02,        +4.792849873600e-12,        +6.278779113037e-02,        +5.541060146496e-12,        +7.286484687269e-02,        +1.478931295489e-11,        +1.937444980049e-01,        +1.200585696936e-11,        +1.578768153601e-01,        +8.408633193513e-14,        +1.101556523926e-03,        +5.789898524302e-13,        +7.613706731706e-03
 2.41001000e+00,        +7.634507896897e-11,        +7.605638308975e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.084757007281e-13,        +2.730702535691e-03,        +9.022060226627e-13,        +1.186233141797e-02,        +2.084757007281e-13,        +2.730702535691e-03,        +9.022060226627e-13,        +1.186233141797e-02,        +1.268896157496e-13,        +1.662053631527e-03,        +5.464333076108e-13,        +7.184581824854e-03,        +3.633601671096e-11,        +4.759444511902e-01,        +3.866832028837e-11,        +5.084165025667e-01,        +1.470927690208e-11,        +1.926683042407e-01,        +1.203447520471e-11,        +1.582309691287e-01,        +5.293803718265e-12,        +6.934047079075e-02,        +5.775016203592e-12,        +7.593072361563e-02,        +4.793928571219e-12,        +6.279289557310e-02,        +5.542342305505e-12,        +7.287149454590e-02,        +1.479258381974e-11,        +1.937594933362e-01,        +1.200846805403e-11,        +1.578890234611e-01,        +8.410393023260e-14,        +1.101628701789e-03,        +5.791217032725e-13,        +7.614373439098e-03
 2.41001500e+00,        +7.635605619799e-11,        +7.606704438133e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.085295955432e-13,        +2.731015795296e-03,        +9.024066836410e-13,        +1.186330678391e-02,        +2.085295955432e-13,        +2.731015795296e-03,        +9.024066836410e-13,        +1.186330678391e-02,        +1.269201761867e-13,        +1.662214924479e-03,        +5.465555026163e-13,        +7.185181270832e-03,        +3.633800476626e-11,        +4.759020642977e-01,        +3.867061767673e-11,        +5.083754468343e-01,        +1.471250366173e-11,        +1.926828649136e-01,        +1.203709927846e-11,        +1.582432888824e-01,        +5.295113031094e-12,        +6.934764961359e-02,        +5.776406700526e-12,        +7.593836131673e-02,        +4.795007613652e-12,        +6.279799995456e-02,        +5.543624902859e-12,        +7.287814253790e-02,        +1.479585581912e-11,        +1.937744896195e-01,        +1.201108003707e-11,        +1.579012321927e-01,        +8.412153440641e-14,        +1.101700881306e-03,        +5.792535994313e-13,        +7.615040181230e-03
 2.41002000e+00,        +7.636703721022e-11,        +7.607770941238e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.085835099862e-13,        +2.731329086554e-03,        +9.026074138702e-13,        +1.186428220358e-02,        +2.085835099862e-13,        +2.731329086554e-03,        +9.026074138702e-13,        +1.186428220358e-02,        +1.269507474705e-13,        +1.662376230743e-03,        +5.466777397025e-13,        +7.185780748723e-03,        +3.633999347312e-11,        +4.758596745490e-01,        +3.867291588466e-11,        +5.083343883952e-01,        +1.471573152180e-11,        +1.926974262637e-01,        +1.203972425998e-11,        +1.582556093364e-01,        +5.296422858788e-12,        +6.935482967878e-02,        +5.777797715618e-12,        +7.594599995511e-02,        +4.796087001017e-12,        +6.280310427410e-02,        +5.544907938744e-12,        +7.288479084837e-02,        +1.479912895358e-11,        +1.937894868546e-01,        +1.201369291889e-11,        +1.579134415545e-01,        +8.413914445925e-14,        +1.101773062475e-03,        +5.793855409277e-13,        +7.615706958093e-03
 2.41002500e+00,        +7.637802200739e-11,        +7.608837818465e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.086374440665e-13,        +2.731642409465e-03,        +9.028082133821e-13,        +1.186525767695e-02,        +2.086374440665e-13,        +2.731642409465e-03,        +9.028082133821e-13,        +1.186525767695e-02,        +1.269813296062e-13,        +1.662537550317e-03,        +5.468000188888e-13,        +7.186380258518e-03,        +3.634198283186e-11,        +4.758172819445e-01,        +3.867521491253e-11,        +5.082933272500e-01,        +1.471896048277e-11,        +1.927119882909e-01,        +1.204235014967e-11,        +1.582679304906e-01,        +5.297733201639e-12,        +6.936201098697e-02,        +5.779189249138e-12,        +7.595363953103e-02,        +4.797166733430e-12,        +6.280820853105e-02,        +5.546191413346e-12,        +7.289143947695e-02,        +1.480240322363e-11,        +1.938044850415e-01,        +1.201630669991e-11,        +1.579256515463e-01,        +8.415676039382e-14,        +1.101845245294e-03,        +5.795175277827e-13,        +7.616373769675e-03
 2.41003000e+00,        +7.638901059127e-11,        +7.609905069987e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.086913977934e-13,        +2.731955764030e-03,        +9.030090822089e-13,        +1.186623320402e-02,        +2.086913977934e-13,        +2.731955764030e-03,        +9.030090822089e-13,        +1.186623320402e-02,        +1.270119225990e-13,        +1.662698883201e-03,        +5.469223401948e-13,        +7.186979800206e-03,        +3.634397284275e-11,        +4.757748864848e-01,        +3.867751476074e-11,        +5.082522633992e-01,        +1.472219054515e-11,        +1.927265509946e-01,        +1.204497694797e-11,        +1.582802523447e-01,        +5.299044059944e-12,        +6.936919353881e-02,        +5.780581301355e-12,        +7.596128004478e-02,        +4.798246811007e-12,        +6.281331272479e-02,        +5.547475326849e-12,        +7.289808842331e-02,        +1.480567862982e-11,        +1.938194841800e-01,        +1.201892138054e-11,        +1.579378621679e-01,        +8.417438221282e-14,        +1.101917429762e-03,        +5.796495600174e-13,        +7.617040615966e-03
 2.41003500e+00,        +7.640000296362e-11,        +7.610972695979e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.087453711764e-13,        +2.732269150249e-03,        +9.032100203825e-13,        +1.186720878475e-02,        +2.087453711764e-13,        +2.732269150249e-03,        +9.032100203825e-13,        +1.186720878475e-02,        +1.270425264538e-13,        +1.662860229395e-03,        +5.470447036399e-13,        +7.187579373776e-03,        +3.634596350610e-11,        +4.757324881703e-01,        +3.867981542965e-11,        +5.082111968433e-01,        +1.472542170942e-11,        +1.927411143745e-01,        +1.204760465529e-11,        +1.582925748986e-01,        +5.300355433995e-12,        +6.937637733494e-02,        +5.781973872537e-12,        +7.596892149661e-02,        +4.799327233866e-12,        +6.281841685467e-02,        +5.548759679440e-12,        +7.290473768710e-02,        +1.480895517268e-11,        +1.938344842701e-01,        +1.202153696119e-11,        +1.579500734189e-01,        +8.419200991895e-14,        +1.101989615878e-03,        +5.797816376527e-13,        +7.617707496954e-03
 2.41004000e+00,        +7.641099912619e-11,        +7.612040696614e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.087993642250e-13,        +2.732582568121e-03,        +9.034110279349e-13,        +1.186818441915e-02,        +2.087993642250e-13,        +2.732582568121e-03,        +9.034110279349e-13,        +1.186818441915e-02,        +1.270731411760e-13,        +1.663021588896e-03,        +5.471671092435e-13,        +7.188178979218e-03,        +3.634795482221e-11,        +4.756900870015e-01,        +3.868211691964e-11,        +5.081701275828e-01,        +1.472865397610e-11,        +1.927556784302e-01,        +1.205023327207e-11,        +1.583048981520e-01,        +5.301667324086e-12,        +6.938356237603e-02,        +5.783366962953e-12,        +7.597656388682e-02,        +4.800408002124e-12,        +6.282352092002e-02,        +5.550044471305e-12,        +7.291138726799e-02,        +1.481223285275e-11,        +1.938494853115e-01,        +1.202415344228e-11,        +1.579622852993e-01,        +8.420964351491e-14,        +1.102061803640e-03,        +5.799137607098e-13,        +7.618374412630e-03
 2.41004500e+00,        +7.642199908074e-11,        +7.613109072067e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.088533769484e-13,        +2.732896017647e-03,        +9.036121048981e-13,        +1.186916010718e-02,        +2.088533769484e-13,        +2.732896017647e-03,        +9.036121048981e-13,        +1.186916010718e-02,        +1.271037667705e-13,        +1.663182961705e-03,        +5.472895570253e-13,        +7.188778616523e-03,        +3.634994679137e-11,        +4.756476829790e-01,        +3.868441923109e-11,        +5.081290556184e-01,        +1.473188734567e-11,        +1.927702431614e-01,        +1.205286279872e-11,        +1.583172221049e-01,        +5.302979730514e-12,        +6.939074866272e-02,        +5.784760572874e-12,        +7.598420721566e-02,        +4.801489115897e-12,        +6.282862492022e-02,        +5.551329702629e-12,        +7.291803716563e-02,        +1.481551167055e-11,        +1.938644873043e-01,        +1.202677082422e-11,        +1.579744978087e-01,        +8.422728300340e-14,        +1.102133993046e-03,        +5.800459292097e-13,        +7.619041362982e-03
