        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.41000000e+00,        +1.414213562373e-01,        +2.828118964823e-01,        -5.872934748193e-04
 2.41000500e+00,        +1.414213562373e-01,        +2.828118929834e-01,        -5.879704535670e-04
 2.41001000e+00,        +1.414213562373e-01,        +2.828118894805e-01,        -5.886475283834e-04
 2.41001500e+00,        +1.414213562373e-01,        +2.828118859736e-01,        -5.893246993018e-04
 2.41002000e+00,        +1.414213562373e-01,        +2.828118824629e-01,        -5.900019663556e-04
 2.41002500e+00,        +1.414213562373e-01,        +2.828118789481e-01,        -5.906793295781e-04
 2.41003000e+00,        +1.414213562373e-01,        +2.828118754294e-01,        -5.913567890030e-04
 2.41003500e+00,        +1.414213562373e-01,        +2.828118719068e-01,        -5.920343446634e-04
 2.41004000e+00,        +1.414213562373e-01,        +2.828118683802e-01,        -5.927119965930e-04
 2.41004500e+00,        +1.414213562373e-01,        +2.828118648496e-01,        -5.933897448251e-04
 2.41005000e+00,        +1.414213562373e-01,        +2.828118613151e-01,        -5.940675893932e-04
 2.41005500e+00,        +1.414213562373e-01,        +2.828118577766e-01,        -5.947455303309e-04
 2.41006000e+00,        +1.414213562373e-01,        +2.828118542342e-01,        -5.954235676717e-04
 2.41006500e+00,        +1.414213562373e-01,        +2.828118506878e-01,        -5.961017014491e-04
 2.41007000e+00,        +1.414213562373e-01,        +2.828118471374e-01,        -5.967799316966e-04
 2.41007500e+00,        +1.414213562373e-01,        +2.828118435831e-01,        -5.974582584478e-04
 2.41008000e+00,        +1.414213562373e-01,        +2.828118400248e-01,        -5.981366817363e-04
 2.41008500e+00,        +1.414213562373e-01,        +2.828118364625e-01,        -5.988152015956e-04
 2.41009000e+00,        +1.414213562373e-01,        +2.828118328962e-01,        -5.994938180594e-04
 2.41009500e+00,        +1.414213562373e-01,        +2.828118293260e-01,        -6.001725311613e-04
 2.41010000e+00,        +1.414213562373e-01,        +2.828118257518e-01,        -6.008513409351e-04
 2.41010500e+00,        +1.414213562373e-01,        +2.828118221736e-01,        -6.015302474140e-04
 2.41011000e+00,        +1.414213562373e-01,        +2.828118185915e-01,        -6.022092506321e-04
 2.41011500e+00,        +1.414213562373e-01,        +2.828118150053e-01,        -6.028883506228e-04
 2.41012000e+00,        +1.414213562373e-01,        +2.828118114152e-01,        -6.035675474201e-04
 2.41012500e+00,        +1.414213562373e-01,        +2.828118078211e-01,        -6.042468410575e-04
 2.41013000e+00,        +1.414213562373e-01,        +2.828118042230e-01,        -6.049262315688e-04
 2.41013500e+00,        +1.414213562373e-01,        +2.828118006209e-01,        -6.056057189877e-04
 2.41014000e+00,        +1.414213562373e-01,        +2.828117970148e-01,        -6.062853033480e-04
 2.41014500e+00,        +1.414213562373e-01,        +2.828117934048e-01,        -6.069649846836e-04
 2.41015000e+00,        +1.414213562373e-01,        +2.828117897907e-01,        -6.076447630281e-04
 2.41015500e+00,        +1.414213562373e-01,        +2.828117861726e-01,        -6.083246384153e-04
 2.41016000e+00,        +1.414213562373e-01,        +2.828117825506e-01,        -6.090046108791e-04
 2.41016500e+00,        +1.414213562373e-01,        +2.828117789246e-01,        -6.096846804535e-04
 2.41017000e+00,        +1.414213562373e-01,        +2.828117752945e-01,        -6.103648471721e-04
 2.41017500e+00,        +1.414213562373e-01,        +2.828117716605e-01,        -6.110451110690e-04
 2.41018000e+00,        +1.414213562373e-01,        +2.828117680224e-01,        -6.117254721778e-04
 2.41018500e+00,        +1.414213562373e-01,        +2.828117643803e-01,        -6.124059305327e-04
 2.41019000e+00,        +1.414213562373e-01,        +2.828117607343e-01,        -6.130864861675e-04
 2.41019500e+00,        +1.414213562373e-01,        +2.828117570842e-01,        -6.137671391161e-04
 2.41020000e+00,        +1.414213562373e-01,        +2.828117534301e-01,        -6.144478894124e-04
 2.41020500e+00,        +1.414213562373e-01,        +2.828117497720e-01,        -6.151287370905e-04
 2.41021000e+00,        +1.414213562373e-01,        +2.828117461099e-01,        -6.158096821845e-04
 2.41021500e+00,        +1.414213562373e-01,        +2.828117424438e-01,        -6.164907247281e-04
 2.41022000e+00,        +1.414213562373e-01,        +2.828117387737e-01,        -6.171718647555e-04
 2.41022500e+00,        +1.414213562373e-01,        +2.828117350995e-01,        -6.178531023007e-04
