        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.41000000e+00,        +7.071067811865e+00,        +1.414059482412e+01,        -2.936467374097e-02
 2.41000500e+00,        +7.071067811865e+00,        +1.414059464917e+01,        -2.939852267835e-02
 2.41001000e+00,        +7.071067811865e+00,        +1.414059447402e+01,        -2.943237641917e-02
 2.41001500e+00,        +7.071067811865e+00,        +1.414059429868e+01,        -2.946623496509e-02
 2.41002000e+00,        +7.071067811865e+00,        +1.414059412314e+01,        -2.950009831778e-02
 2.41002500e+00,        +7.071067811865e+00,        +1.414059394741e+01,        -2.953396647891e-02
 2.41003000e+00,        +7.071067811865e+00,        +1.414059377147e+01,        -2.956783945015e-02
 2.41003500e+00,        +7.071067811865e+00,        +1.414059359534e+01,        -2.960171723317e-02
 2.41004000e+00,        +7.071067811865e+00,        +1.414059341901e+01,        -2.963559982965e-02
 2.41004500e+00,        +7.071067811865e+00,        +1.414059324248e+01,        -2.966948724126e-02
 2.41005000e+00,        +7.071067811865e+00,        +1.414059306576e+01,        -2.970337946966e-02
 2.41005500e+00,        +7.071067811865e+00,        +1.414059288883e+01,        -2.973727651654e-02
 2.41006000e+00,        +7.071067811865e+00,        +1.414059271171e+01,        -2.977117838359e-02
 2.41006500e+00,        +7.071067811865e+00,        +1.414059253439e+01,        -2.980508507245e-02
 2.41007000e+00,        +7.071067811865e+00,        +1.414059235687e+01,        -2.983899658483e-02
 2.41007500e+00,        +7.071067811865e+00,        +1.414059217915e+01,        -2.987291292239e-02
 2.41008000e+00,        +7.071067811865e+00,        +1.414059200124e+01,        -2.990683408681e-02
 2.41008500e+00,        +7.071067811865e+00,        +1.414059182312e+01,        -2.994076007978e-02
 2.41009000e+00,        +7.071067811865e+00,        +1.414059164481e+01,        -2.997469090297e-02
 2.41009500e+00,        +7.071067811865e+00,        +1.414059146630e+01,        -3.000862655806e-02
 2.41010000e+00,        +7.071067811865e+00,        +1.414059128759e+01,        -3.004256704675e-02
 2.41010500e+00,        +7.071067811865e+00,        +1.414059110868e+01,        -3.007651237070e-02
 2.41011000e+00,        +7.071067811865e+00,        +1.414059092957e+01,        -3.011046253160e-02
 2.41011500e+00,        +7.071067811865e+00,        +1.414059075027e+01,        -3.014441753114e-02
 2.41012000e+00,        +7.071067811865e+00,        +1.414059057076e+01,        -3.017837737100e-02
 2.41012500e+00,        +7.071067811865e+00,        +1.414059039105e+01,        -3.021234205288e-02
 2.41013000e+00,        +7.071067811865e+00,        +1.414059021115e+01,        -3.024631157844e-02
 2.41013500e+00,        +7.071067811865e+00,        +1.414059003105e+01,        -3.028028594938e-02
 2.41014000e+00,        +7.071067811865e+00,        +1.414058985074e+01,        -3.031426516740e-02
 2.41014500e+00,        +7.071067811865e+00,        +1.414058967024e+01,        -3.034824923418e-02
 2.41015000e+00,        +7.071067811865e+00,        +1.414058948954e+01,        -3.038223815140e-02
 2.41015500e+00,        +7.071067811865e+00,        +1.414058930863e+01,        -3.041623192077e-02
 2.41016000e+00,        +7.071067811865e+00,        +1.414058912753e+01,        -3.045023054396e-02
 2.41016500e+00,        +7.071067811865e+00,        +1.414058894623e+01,        -3.048423402267e-02
 2.41017000e+00,        +7.071067811865e+00,        +1.414058876473e+01,        -3.051824235860e-02
 2.41017500e+00,        +7.071067811865e+00,        +1.414058858302e+01,        -3.055225555345e-02
 2.41018000e+00,        +7.071067811865e+00,        +1.414058840112e+01,        -3.058627360889e-02
 2.41018500e+00,        +7.071067811865e+00,        +1.414058821902e+01,        -3.062029652663e-02
 2.41019000e+00,        +7.071067811865e+00,        +1.414058803671e+01,        -3.065432430837e-02
 2.41019500e+00,        +7.071067811865e+00,        +1.414058785421e+01,        -3.068835695580e-02
 2.41020000e+00,        +7.071067811865e+00,        +1.414058767151e+01,        -3.072239447062e-02
 2.41020500e+00,        +7.071067811865e+00,        +1.414058748860e+01,        -3.075643685453e-02
 2.41021000e+00,        +7.071067811865e+00,        +1.414058730550e+01,        -3.079048410922e-02
 2.41021500e+00,        +7.071067811865e+00,        +1.414058712219e+01,        -3.082453623640e-02
 2.41022000e+00,        +7.071067811865e+00,        +1.414058693868e+01,        -3.085859323778e-02
