        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.41000000e+00,        -6.912302463368e-02,        -1.509203250695e+01
 2.41000500e+00,        -6.912302392087e-02,        -1.509234823389e+01
 2.41001000e+00,        -6.912302322597e-02,        -1.509266400318e+01
 2.41001500e+00,        -6.912302254899e-02,        -1.509297981483e+01
 2.41002000e+00,        -6.912302188993e-02,        -1.509329566885e+01
 2.41002500e+00,        -6.912302124879e-02,        -1.509361156528e+01
 2.41003000e+00,        -6.912302062563e-02,        -1.509392750411e+01
 2.41003500e+00,        -6.912302002045e-02,        -1.509424348538e+01
 2.41004000e+00,        -6.912301943325e-02,        -1.509455950909e+01
 2.41004500e+00,        -6.912301886406e-02,        -1.509487557527e+01
 2.41005000e+00,        -6.912301831290e-02,        -1.509519168392e+01
 2.41005500e+00,        -6.912301777977e-02,        -1.509550783507e+01
 2.41006000e+00,        -6.912301726470e-02,        -1.509582402874e+01
 2.41006500e+00,        -6.912301676771e-02,        -1.509614026493e+01
 2.41007000e+00,        -6.912301628880e-02,        -1.509645654367e+01
 2.41007500e+00,        -6.912301582799e-02,        -1.509677286498e+01
 2.41008000e+00,        -6.912301538532e-02,        -1.509708922887e+01
 2.41008500e+00,        -6.912301496077e-02,        -1.509740563536e+01
 2.41009000e+00,        -6.912301455437e-02,        -1.509772208446e+01
 2.41009500e+00,        -6.912301416616e-02,        -1.509803857619e+01
 2.41010000e+00,        -6.912301379612e-02,        -1.509835511058e+01
 2.41010500e+00,        -6.912301344429e-02,        -1.509867168763e+01
 2.41011000e+00,        -6.912301311069e-02,        -1.509898830736e+01
 2.41011500e+00,        -6.912301279531e-02,        -1.509930496979e+01
 2.41012000e+00,        -6.912301249818e-02,        -1.509962167494e+01
 2.41012500e+00,        -6.912301221933e-02,        -1.509993842283e+01
 2.41013000e+00,        -6.912301195876e-02,        -1.510025521347e+01
 2.41013500e+00,        -6.912301171649e-02,        -1.510057204687e+01
 2.41014000e+00,        -6.912301149255e-02,        -1.510088892306e+01
 2.41014500e+00,        -6.912301128693e-02,        -1.510120584205e+01
 2.41015000e+00,        -6.912301109967e-02,        -1.510152280387e+01
 2.41015500e+00,        -6.912301093078e-02,        -1.510183980852e+01
 2.41016000e+00,        -6.912301078028e-02,        -1.510215685602e+01
 2.41016500e+00,        -6.912301064818e-02,        -1.510247394640e+01
 2.41017000e+00,        -6.912301053448e-02,        -1.510279107966e+01
 2.41017500e+00,        -6.912301043924e-02,        -1.510310825583e+01
 2.41018000e+00,        -6.912301036244e-02,        -1.510342547492e+01
 2.41018500e+00,        -6.912301030409e-02,        -1.510374273695e+01
 2.41019000e+00,        -6.912301026424e-02,        -1.510406004194e+01
 2.41019500e+00,        -6.912301024290e-02,        -1.510437738990e+01
 2.41020000e+00,        -6.912301024009e-02,        -1.510469478086e+01
 2.41020500e+00,        -6.912301025580e-02,        -1.510501221482e+01
 2.41021000e+00,        -6.912301029006e-02,        -1.510532969181e+01
 2.41021500e+00,        -6.912301034290e-02,        -1.510564721184e+01
 2.41022000e+00,        -6.912301041432e-02,        -1.510596477493e+01
 2.41022500e+00,        -6.912301050435e-02,        -1.510628238110e+01
 2.41023000e+00,        -6.912301061299e-02,        -1.510660003037e+01
 2.41023500e+00,        -6.912301074029e-02,        -1.510691772274e+01
 2.41024000e+00,        -6.912301088622e-02,        -1.510723545825e+01
 2.41024500e+00,        -6.912301105083e-02,        -1.510755323690e+01
 2.41025000e+00,        -6.912301123413e-02,        -1.510787105872e+01
 2.41025500e+00,        -6.912301143613e-02,        -1.510818892372e+01
 2.41026000e+00,        -6.912301165687e-02,        -1.510850683192e+01
 2.41026500e+00,        -6.912301189634e-02,        -1.510882478333e+01
 2.41027000e+00,        -6.912301215457e-02,        -1.510914277798e+01
 2.41027500e+00,        -6.912301243157e-02,        -1.510946081588e+01
 2.41028000e+00,        -6.912301272737e-02,        -1.510977889705e+01
 2.41028500e+00,        -6.912301304199e-02,        -1.511009702151e+01
 2.41029000e+00,        -6.912301337540e-02,        -1.511041518926e+01
 2.41029500e+00,        -6.912301372768e-02,        -1.511073340034e+01
 2.41030000e+00,        -6.912301409883e-02,        -1.511105165476e+01
 2.41030500e+00,        -6.912301448883e-02,        -1.511136995253e+01
 2.41031000e+00,        -6.912301489775e-02,        -1.511168829368e+01
 2.41031500e+00,        -6.912301532559e-02,        -1.511200667821e+01
 2.41032000e+00,        -6.912301577233e-02,        -1.511232510616e+01
 2.41032500e+00,        -6.912301623804e-02,        -1.511264357753e+01
 2.41033000e+00,        -6.912301672270e-02,        -1.511296209234e+01
 2.41033500e+00,        -6.912301722637e-02,        -1.511328065061e+01
 2.41034000e+00,        -6.912301774904e-02,        -1.511359925237e+01
 2.41034500e+00,        -6.912301829070e-02,        -1.511391789762e+01
 2.41035000e+00,        -6.912301885142e-02,        -1.511423658638e+01
 2.41035500e+00,        -6.912301943118e-02,        -1.511455531867e+01
 2.41036000e+00,        -6.912302003002e-02,        -1.511487409451e+01
 2.41036500e+00,        -6.912302064794e-02,        -1.511519291392e+01
 2.41037000e+00,        -6.912302128497e-02,        -1.511551177691e+01
 2.41037500e+00,        -6.912302194114e-02,        -1.511583068350e+01
 2.41038000e+00,        -6.912302261642e-02,        -1.511614963372e+01
 2.41038500e+00,        -6.912302331088e-02,        -1.511646862756e+01
 2.41039000e+00,        -6.912302402454e-02,        -1.511678766507e+01
 2.41039500e+00,        -6.912302475736e-02,        -1.511710674624e+01
 2.41040000e+00,        -6.912302550940e-02,        -1.511742587111e+01
 2.41040500e+00,        -6.912302628069e-02,        -1.511774503968e+01
 2.41041000e+00,        -6.912302707122e-02,        -1.511806425198e+01
 2.41041500e+00,        -6.912302788101e-02,        -1.511838350802e+01
 2.41042000e+00,        -6.912302871009e-02,        -1.511870280782e+01
 2.41042500e+00,        -6.912302955847e-02,        -1.511902215140e+01
 2.41043000e+00,        -6.912303042618e-02,        -1.511934153878e+01
 2.41043500e+00,        -6.912303131321e-02,        -1.511966096997e+01
 2.41044000e+00,        -6.912303221963e-02,        -1.511998044499e+01
 2.41044500e+00,        -6.912303314541e-02,        -1.512029996386e+01
 2.41045000e+00,        -6.912303409056e-02,        -1.512061952660e+01
 2.41045500e+00,        -6.912303505515e-02,        -1.512093913322e+01
 2.41046000e+00,        -6.912303603915e-02,        -1.512125878375e+01
 2.41046500e+00,        -6.912303704261e-02,        -1.512157847820e+01
 2.41047000e+00,        -6.912303806554e-02,        -1.512189821659e+01
 2.41047500e+00,        -6.912303910795e-02,        -1.512221799893e+01
 2.41048000e+00,        -6.912304016985e-02,        -1.512253782525e+01
 2.41048500e+00,        -6.912304125129e-02,        -1.512285769556e+01
 2.41049000e+00,        -6.912304235226e-02,        -1.512317760988e+01
 2.41049500e+00,        -6.912304347279e-02,        -1.512349756823e+01
 2.41050000e+00,        -6.912304461290e-02,        -1.512381757062e+01
 2.41050500e+00,        -6.912304577260e-02,        -1.512413761708e+01
 2.41051000e+00,        -6.912304695191e-02,        -1.512445770762e+01
 2.41051500e+00,        -6.912304815086e-02,        -1.512477784226e+01
 2.41052000e+00,        -6.912304936945e-02,        -1.512509802102e+01
 2.41052500e+00,        -6.912305060771e-02,        -1.512541824392e+01
 2.41053000e+00,        -6.912305186566e-02,        -1.512573851097e+01
 2.41053500e+00,        -6.912305314331e-02,        -1.512605882219e+01
 2.41054000e+00,        -6.912305444069e-02,        -1.512637917760e+01
 2.41054500e+00,        -6.912305575782e-02,        -1.512669957722e+01
 2.41055000e+00,        -6.912305709470e-02,        -1.512702002107e+01
 2.41055500e+00,        -6.912305845135e-02,        -1.512734050916e+01
 2.41056000e+00,        -6.912305982782e-02,        -1.512766104151e+01
 2.41056500e+00,        -6.912306122408e-02,        -1.512798161815e+01
 2.41057000e+00,        -6.912306264021e-02,        -1.512830223908e+01
