        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41000000e+00,        +1.022031030386e-10,        +7.247763852529e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.147631418659e-13,        +3.079780676982e-03,        +9.371846960820e-13,        +1.293067372435e-02,        +3.147631418659e-13,        +3.079780676982e-03,        +9.371846960820e-13,        +1.293067372435e-02,        +1.764021317680e-13,        +1.725995850648e-03,        +5.850422365354e-13,        +8.072037782125e-03,        +1.016026110638e-10,        +9.941245230630e-01,        +7.030405558717e-11,        +9.700102958326e-01,        +1.093267011625e-13,        +1.069700409402e-03,        +6.513560055063e-13,        +8.986992660903e-03
 2.41000500e+00,        +1.022143311075e-10,        +7.248860469604e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.148347979566e-13,        +3.080143405973e-03,        +9.373633143788e-13,        +1.293118164309e-02,        +3.148347979566e-13,        +3.080143405973e-03,        +9.373633143788e-13,        +1.293118164309e-02,        +1.764402160549e-13,        +1.726178845405e-03,        +5.851593432597e-13,        +8.072432152796e-03,        +1.016137084611e-10,        +9.941238900663e-01,        +7.031458515905e-11,        +9.700088097142e-01,        +1.093476323719e-13,        +1.069787682286e-03,        +6.514968793518e-13,        +8.987576489899e-03
 2.41001000e+00,        +1.022255627352e-10,        +7.249957438647e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.149064777656e-13,        +3.080506180058e-03,        +9.375419878439e-13,        +1.293168954132e-02,        +3.149064777656e-13,        +3.080506180058e-03,        +9.375419878439e-13,        +1.293168954132e-02,        +1.764783127290e-13,        +1.726361861036e-03,        +5.852764867611e-13,        +8.072826519522e-03,        +1.016248093746e-10,        +9.941232569964e-01,        +7.032511811342e-11,        +9.700073236092e-01,        +1.093685700950e-13,        +1.069874962472e-03,        +6.516377984373e-13,        +8.988160329931e-03
 2.41001500e+00,        +1.022367979233e-10,        +7.251054759806e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.149781813032e-13,        +3.080868999239e-03,        +9.377207165002e-13,        +1.293219741903e-02,        +3.149781813032e-13,        +3.080868999239e-03,        +9.377207165002e-13,        +1.293219741903e-02,        +1.765164217956e-13,        +1.726544897543e-03,        +5.853936670552e-13,        +8.073220882293e-03,        +1.016359138058e-10,        +9.941226238533e-01,        +7.033565445173e-11,        +9.700058375177e-01,        +1.093895143347e-13,        +1.069962249960e-03,        +6.517787627824e-13,        +8.988744180989e-03
 2.41002000e+00,        +1.022480366732e-10,        +7.252152433234e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.150499085798e-13,        +3.081231863519e-03,        +9.378995003706e-13,        +1.293270527620e-02,        +3.150499085798e-13,        +3.081231863519e-03,        +9.378995003706e-13,        +1.293270527620e-02,        +1.765545432600e-13,        +1.726727954926e-03,        +5.855108841575e-13,        +8.073615241101e-03,        +1.016470217563e-10,        +9.941219906368e-01,        +7.034619417541e-11,        +9.700043514396e-01,        +1.094104650936e-13,        +1.070049544748e-03,        +6.519197724064e-13,        +8.989328043063e-03
 2.41002500e+00,        +1.022592789866e-10,        +7.253250459080e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.151216596058e-13,        +3.081594772901e-03,        +9.380783394782e-13,        +1.293321311280e-02,        +3.151216596058e-13,        +3.081594772901e-03,        +9.380783394782e-13,        +1.293321311280e-02,        +1.765926771276e-13,        +1.726911033186e-03,        +5.856281380835e-13,        +8.074009595937e-03,        +1.016581332275e-10,        +9.941213573471e-01,        +7.035673728591e-11,        +9.700028653751e-01,        +1.094314223745e-13,        +1.070136846836e-03,        +6.520608273288e-13,        +8.989911916146e-03
 2.41003000e+00,        +1.022705248649e-10,        +7.254348837496e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.151934343916e-13,        +3.081957727390e-03,        +9.382572338460e-13,        +1.293372092884e-02,        +3.151934343916e-13,        +3.081957727390e-03,        +9.382572338460e-13,        +1.293372092884e-02,        +1.766308234039e-13,        +1.727094132324e-03,        +5.857454288487e-13,        +8.074403946791e-03,        +1.016692482209e-10,        +9.941207239841e-01,        +7.036728378469e-11,        +9.700013793241e-01,        +1.094523861802e-13,        +1.070224156225e-03,        +6.522019275690e-13,        +8.990495800229e-03
 2.41003500e+00,        +1.022817743096e-10,        +7.255447568631e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.152652329476e-13,        +3.082320726987e-03,        +9.384361834970e-13,        +1.293422872428e-02,        +3.152652329476e-13,        +3.082320726987e-03,        +9.384361834970e-13,        +1.293422872428e-02,        +1.766689820942e-13,        +1.727277252342e-03,        +5.858627564688e-13,        +8.074798293655e-03,        +1.016803667381e-10,        +9.941200905478e-01,        +7.037783367319e-11,        +9.699998932868e-01,        +1.094733565135e-13,        +1.070311472913e-03,        +6.523430731465e-13,        +8.991079695302e-03
 2.41004000e+00,        +1.022930273223e-10,        +7.256546652637e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.153370552842e-13,        +3.082683771696e-03,        +9.386151884543e-13,        +1.293473649912e-02,        +3.153370552842e-13,        +3.082683771696e-03,        +9.386151884543e-13,        +1.293473649912e-02,        +1.767071532038e-13,        +1.727460393239e-03,        +5.859801209593e-13,        +8.075192636520e-03,        +1.016914887805e-10,        +9.941194570382e-01,        +7.038838695287e-11,        +9.699984072630e-01,        +1.094943333772e-13,        +1.070398796901e-03,        +6.524842640807e-13,        +8.991663601358e-03
 2.41004500e+00,        +1.023042839045e-10,        +7.257646089664e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.154089014119e-13,        +3.083046861520e-03,        +9.387942487410e-13,        +1.293524425334e-02,        +3.154089014119e-13,        +3.083046861520e-03,        +9.387942487410e-13,        +1.293524425334e-02,        +1.767453367383e-13,        +1.727643555017e-03,        +5.860975223358e-13,        +8.075586975376e-03,        +1.017026143496e-10,        +9.941188234553e-01,        +7.039894362517e-11,        +9.699969212529e-01,        +1.095153167739e-13,        +1.070486128187e-03,        +6.526255003911e-13,        +8.992247518387e-03
