        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.41000000e+00,        +7.071067811865e+00,        +1.332525801771e+01,        -3.181869679206e+00
 2.41000500e+00,        +7.071067811865e+00,        +1.332524044096e+01,        -3.181904278285e+00
 2.41001000e+00,        +7.071067811865e+00,        +1.332522286177e+01,        -3.181938881658e+00
 2.41001500e+00,        +7.071067811865e+00,        +1.332520528015e+01,        -3.181973489327e+00
 2.41002000e+00,        +7.071067811865e+00,        +1.332518769610e+01,        -3.182008101293e+00
 2.41002500e+00,        +7.071067811865e+00,        +1.332517010961e+01,        -3.182042717558e+00
 2.41003000e+00,        +7.071067811865e+00,        +1.332515252068e+01,        -3.182077338122e+00
 2.41003500e+00,        +7.071067811865e+00,        +1.332513492931e+01,        -3.182111962988e+00
 2.41004000e+00,        +7.071067811865e+00,        +1.332511733550e+01,        -3.182146592156e+00
 2.41004500e+00,        +7.071067811865e+00,        +1.332509973926e+01,        -3.182181225629e+00
 2.41005000e+00,        +7.071067811865e+00,        +1.332508214057e+01,        -3.182215863406e+00
 2.41005500e+00,        +7.071067811865e+00,        +1.332506453945e+01,        -3.182250505491e+00
 2.41006000e+00,        +7.071067811865e+00,        +1.332504693588e+01,        -3.182285151883e+00
 2.41006500e+00,        +7.071067811865e+00,        +1.332502932987e+01,        -3.182319802585e+00
 2.41007000e+00,        +7.071067811865e+00,        +1.332501172141e+01,        -3.182354457598e+00
 2.41007500e+00,        +7.071067811865e+00,        +1.332499411051e+01,        -3.182389116923e+00
 2.41008000e+00,        +7.071067811865e+00,        +1.332497649717e+01,        -3.182423780561e+00
 2.41008500e+00,        +7.071067811865e+00,        +1.332495888138e+01,        -3.182458448514e+00
 2.41009000e+00,        +7.071067811865e+00,        +1.332494126314e+01,        -3.182493120784e+00
 2.41009500e+00,        +7.071067811865e+00,        +1.332492364245e+01,        -3.182527797371e+00
 2.41010000e+00,        +7.071067811865e+00,        +1.332490601932e+01,        -3.182562478278e+00
 2.41010500e+00,        +7.071067811865e+00,        +1.332488839374e+01,        -3.182597163504e+00
 2.41011000e+00,        +7.071067811865e+00,        +1.332487076571e+01,        -3.182631853053e+00
 2.41011500e+00,        +7.071067811865e+00,        +1.332485313522e+01,        -3.182666546924e+00
 2.41012000e+00,        +7.071067811865e+00,        +1.332483550229e+01,        -3.182701245120e+00
 2.41012500e+00,        +7.071067811865e+00,        +1.332481786690e+01,        -3.182735947643e+00
 2.41013000e+00,        +7.071067811865e+00,        +1.332480022906e+01,        -3.182770654492e+00
 2.41013500e+00,        +7.071067811865e+00,        +1.332478258877e+01,        -3.182805365670e+00
 2.41014000e+00,        +7.071067811865e+00,        +1.332476494602e+01,        -3.182840081178e+00
 2.41014500e+00,        +7.071067811865e+00,        +1.332474730082e+01,        -3.182874801017e+00
 2.41015000e+00,        +7.071067811865e+00,        +1.332472965316e+01,        -3.182909525189e+00
 2.41015500e+00,        +7.071067811865e+00,        +1.332471200304e+01,        -3.182944253695e+00
 2.41016000e+00,        +7.071067811865e+00,        +1.332469435046e+01,        -3.182978986537e+00
 2.41016500e+00,        +7.071067811865e+00,        +1.332467669543e+01,        -3.183013723716e+00
 2.41017000e+00,        +7.071067811865e+00,        +1.332465903794e+01,        -3.183048465233e+00
 2.41017500e+00,        +7.071067811865e+00,        +1.332464137798e+01,        -3.183083211090e+00
 2.41018000e+00,        +7.071067811865e+00,        +1.332462371557e+01,        -3.183117961287e+00
 2.41018500e+00,        +7.071067811865e+00,        +1.332460605069e+01,        -3.183152715828e+00
 2.41019000e+00,        +7.071067811865e+00,        +1.332458838335e+01,        -3.183187474712e+00
 2.41019500e+00,        +7.071067811865e+00,        +1.332457071355e+01,        -3.183222237941e+00
 2.41020000e+00,        +7.071067811865e+00,        +1.332455304128e+01,        -3.183257005516e+00
 2.41020500e+00,        +7.071067811865e+00,        +1.332453536655e+01,        -3.183291777440e+00
 2.41021000e+00,        +7.071067811865e+00,        +1.332451768935e+01,        -3.183326553713e+00
 2.41021500e+00,        +7.071067811865e+00,        +1.332450000969e+01,        -3.183361334337e+00
 2.41022000e+00,        +7.071067811865e+00,        +1.332448232755e+01,        -3.183396119313e+00
 2.41022500e+00,        +7.071067811865e+00,        +1.332446464295e+01,        -3.183430908642e+00
 2.41023000e+00,        +7.071067811865e+00,        +1.332444695588e+01,        -3.183465702327e+00
 2.41023500e+00,        +7.071067811865e+00,        +1.332442926634e+01,        -3.183500500367e+00
 2.41024000e+00,        +7.071067811865e+00,        +1.332441157433e+01,        -3.183535302765e+00
 2.41024500e+00,        +7.071067811865e+00,        +1.332439387985e+01,        -3.183570109523e+00
 2.41025000e+00,        +7.071067811865e+00,        +1.332437618289e+01,        -3.183604920640e+00
 2.41025500e+00,        +7.071067811865e+00,        +1.332435848347e+01,        -3.183639736120e+00
 2.41026000e+00,        +7.071067811865e+00,        +1.332434078157e+01,        -3.183674555963e+00
 2.41026500e+00,        +7.071067811865e+00,        +1.332432307719e+01,        -3.183709380170e+00
 2.41027000e+00,        +7.071067811865e+00,        +1.332430537034e+01,        -3.183744208743e+00
 2.41027500e+00,        +7.071067811865e+00,        +1.332428766101e+01,        -3.183779041684e+00
 2.41028000e+00,        +7.071067811865e+00,        +1.332426994920e+01,        -3.183813878994e+00
 2.41028500e+00,        +7.071067811865e+00,        +1.332425223492e+01,        -3.183848720673e+00
 2.41029000e+00,        +7.071067811865e+00,        +1.332423451816e+01,        -3.183883566725e+00
 2.41029500e+00,        +7.071067811865e+00,        +1.332421679891e+01,        -3.183918417149e+00
 2.41030000e+00,        +7.071067811865e+00,        +1.332419907719e+01,        -3.183953271948e+00
 2.41030500e+00,        +7.071067811865e+00,        +1.332418135299e+01,        -3.183988131122e+00
 2.41031000e+00,        +7.071067811865e+00,        +1.332416362630e+01,        -3.184022994673e+00
 2.41031500e+00,        +7.071067811865e+00,        +1.332414589713e+01,        -3.184057862603e+00
 2.41032000e+00,        +7.071067811865e+00,        +1.332412816548e+01,        -3.184092734913e+00
 2.41032500e+00,        +7.071067811865e+00,        +1.332411043134e+01,        -3.184127611605e+00
 2.41033000e+00,        +7.071067811865e+00,        +1.332409269472e+01,        -3.184162492679e+00
 2.41033500e+00,        +7.071067811865e+00,        +1.332407495561e+01,        -3.184197378137e+00
 2.41034000e+00,        +7.071067811865e+00,        +1.332405721402e+01,        -3.184232267981e+00
 2.41034500e+00,        +7.071067811865e+00,        +1.332403946993e+01,        -3.184267162212e+00
 2.41035000e+00,        +7.071067811865e+00,        +1.332402172336e+01,        -3.184302060831e+00
 2.41035500e+00,        +7.071067811865e+00,        +1.332400397430e+01,        -3.184336963840e+00
 2.41036000e+00,        +7.071067811865e+00,        +1.332398622275e+01,        -3.184371871240e+00
 2.41036500e+00,        +7.071067811865e+00,        +1.332396846871e+01,        -3.184406783032e+00
 2.41037000e+00,        +7.071067811865e+00,        +1.332395071217e+01,        -3.184441699219e+00
 2.41037500e+00,        +7.071067811865e+00,        +1.332393295315e+01,        -3.184476619800e+00
 2.41038000e+00,        +7.071067811865e+00,        +1.332391519163e+01,        -3.184511544779e+00
 2.41038500e+00,        +7.071067811865e+00,        +1.332389742761e+01,        -3.184546474156e+00
 2.41039000e+00,        +7.071067811865e+00,        +1.332387966110e+01,        -3.184581407932e+00
 2.41039500e+00,        +7.071067811865e+00,        +1.332386189210e+01,        -3.184616346109e+00
 2.41040000e+00,        +7.071067811865e+00,        +1.332384412060e+01,        -3.184651288689e+00
 2.41040500e+00,        +7.071067811865e+00,        +1.332382634660e+01,        -3.184686235672e+00
 2.41041000e+00,        +7.071067811865e+00,        +1.332380857010e+01,        -3.184721187061e+00
 2.41041500e+00,        +7.071067811865e+00,        +1.332379079110e+01,        -3.184756142856e+00
