        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41000000e+00,        +4.629353211303e-11,        +9.967415582094e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.914556069316e-14,        +1.709646187720e-03,        +4.186215880978e-13,        +4.199901013959e-03,        +7.914556069316e-14,        +1.709646187720e-03,        +4.186215880978e-13,        +4.199901013959e-03,        +5.065935587858e-14,        +1.094307424089e-03,        +2.496703899389e-13,        +2.504865858984e-03,        +4.612912687140e-11,        +9.964486347418e-01,        +9.874828602048e-11,        +9.907110344419e-01,        +3.460032505603e-14,        +7.474116464379e-04,        +2.575778224197e-13,        +2.584198685188e-03
 2.41000500e+00,        +4.629884524331e-11,        +9.967917998374e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.916794263330e-14,        +1.709933416638e-03,        +4.187236991352e-13,        +4.200713721798e-03,        +7.916794263330e-14,        +1.709933416638e-03,        +4.187236991352e-13,        +4.200713721798e-03,        +5.067256852202e-14,        +1.094467221714e-03,        +2.497307314716e-13,        +2.505344962833e-03,        +4.613439660698e-11,        +9.964481050128e-01,        +9.875308581709e-11,        +9.907092517535e-01,        +3.460812517934e-14,        +7.474943488864e-04,        +2.576397360394e-13,        +2.584689561867e-03
 2.41001000e+00,        +4.630416030900e-11,        +9.968420606928e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.919033333409e-14,        +1.710220697355e-03,        +4.188258479781e-13,        +4.201526645926e-03,        +7.919033333409e-14,        +1.710220697355e-03,        +4.188258479781e-13,        +4.201526645926e-03,        +5.068578618107e-14,        +1.094627045234e-03,        +2.497910952050e-13,        +2.505824192765e-03,        +4.613966826141e-11,        +9.964475751965e-01,        +9.875788745386e-11,        +9.907074685956e-01,        +3.461592807227e-14,        +7.475770609221e-04,        +2.577016722358e-13,        +2.585180565682e-03
 2.41001500e+00,        +4.630947731104e-11,        +9.968923407851e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.921273279996e-14,        +1.710508029877e-03,        +4.189280346450e-13,        +4.202339786412e-03,        +7.921273279996e-14,        +1.710508029877e-03,        +4.189280346450e-13,        +4.202339786412e-03,        +5.069900885823e-14,        +1.094786894650e-03,        +2.498514811500e-13,        +2.506303548819e-03,        +4.614494183564e-11,        +9.964470452929e-01,        +9.876269093169e-11,        +9.907056849681e-01,        +3.462373373613e-14,        +7.476597825448e-04,        +2.577636310199e-13,        +2.585671696674e-03
 2.41002000e+00,        +4.631479625038e-11,        +9.969426401235e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.923514103536e-14,        +1.710795414213e-03,        +4.190302591546e-13,        +4.203153143321e-03,        +7.923514103536e-14,        +1.710795414213e-03,        +4.190302591546e-13,        +4.203153143321e-03,        +5.071223655601e-14,        +1.094946769966e-03,        +2.499118893176e-13,        +2.506783031034e-03,        +4.615021733062e-11,        +9.964465153021e-01,        +9.876749625148e-11,        +9.907039008708e-01,        +3.463154217228e-14,        +7.477425137543e-04,        +2.578256124027e-13,        +2.586162954879e-03
 2.41002500e+00,        +4.632011712798e-11,        +9.969929587178e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.925755804474e-14,        +1.711082850368e-03,        +4.191325215254e-13,        +4.203966716721e-03,        +7.925755804474e-14,        +1.711082850368e-03,        +4.191325215254e-13,        +4.203966716721e-03,        +5.072546927692e-14,        +1.095106671185e-03,        +2.499723197186e-13,        +2.507262639448e-03,        +4.615549474728e-11,        +9.964459852239e-01,        +9.877230341414e-11,        +9.907021163035e-01,        +3.463935338205e-14,        +7.478252545507e-04,        +2.578876163954e-13,        +2.586654340338e-03
 2.41003000e+00,        +4.632543994479e-11,        +9.970432965772e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.927998383256e-14,        +1.711370338351e-03,        +4.192348217762e-13,        +4.204780506678e-03,        +7.927998383256e-14,        +1.711370338351e-03,        +4.192348217762e-13,        +4.204780506678e-03,        +5.073870702347e-14,        +1.095266598308e-03,        +2.500327723640e-13,        +2.507742374101e-03,        +4.616077408657e-11,        +9.964454550584e-01,        +9.877711242057e-11,        +9.907003312661e-01,        +3.464716736679e-14,        +7.479080049337e-04,        +2.579496430089e-13,        +2.587145853088e-03
 2.41003500e+00,        +4.633076470175e-11,        +9.970936537113e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.930241840326e-14,        +1.711657878167e-03,        +4.193371599253e-13,        +4.205594513259e-03,        +7.930241840326e-14,        +1.711657878167e-03,        +4.193371599253e-13,        +4.205594513259e-03,        +5.075194979817e-14,        +1.095426551340e-03,        +2.500932472646e-13,        +2.508222235030e-03,        +4.616605534942e-11,        +9.964449248056e-01,        +9.878192327168e-11,        +9.906985457585e-01,        +3.465498412782e-14,        +7.479907649034e-04,        +2.580116922544e-13,        +2.587637493169e-03
 2.41004000e+00,        +4.633609139983e-11,        +9.971440301295e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.932486176132e-14,        +1.711945469825e-03,        +4.194395359917e-13,        +4.206408736531e-03,        +7.932486176132e-14,        +1.711945469825e-03,        +4.194395359917e-13,        +4.206408736531e-03,        +5.076519760355e-14,        +1.095586530282e-03,        +2.501537444314e-13,        +2.508702222275e-03,        +4.617133853680e-11,        +9.964443944654e-01,        +9.878673596838e-11,        +9.906967597806e-01,        +3.466280366651e-14,        +7.480735344594e-04,        +2.580737641429e-13,        +2.588129260618e-03
 2.41004500e+00,        +4.634142003997e-11,        +9.971944258413e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.934731391120e-14,        +1.712233113331e-03,        +4.195419499938e-13,        +4.207223176562e-03,        +7.934731391120e-14,        +1.712233113331e-03,        +4.195419499938e-13,        +4.207223176562e-03,        +5.077845044210e-14,        +1.095746535137e-03,        +2.502142638754e-13,        +2.509182335875e-03,        +4.617662364963e-11,        +9.964438640379e-01,        +9.879155051158e-11,        +9.906949733321e-01,        +3.467062598418e-14,        +7.481563136019e-04,        +2.581358586856e-13,        +2.588621155476e-03
