        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.41000000e+00,        +7.071067811865e+00,        +1.124162290737e+01,        +5.723218397287e+00
 2.41000500e+00,        +7.071067811865e+00,        +1.124164914073e+01,        +5.723199323006e+00
 2.41001000e+00,        +7.071067811865e+00,        +1.124167537586e+01,        +5.723180247249e+00
 2.41001500e+00,        +7.071067811865e+00,        +1.124170161275e+01,        +5.723161170014e+00
 2.41002000e+00,        +7.071067811865e+00,        +1.124172785141e+01,        +5.723142091302e+00
 2.41002500e+00,        +7.071067811865e+00,        +1.124175409184e+01,        +5.723123011110e+00
 2.41003000e+00,        +7.071067811865e+00,        +1.124178033404e+01,        +5.723103929440e+00
 2.41003500e+00,        +7.071067811865e+00,        +1.124180657800e+01,        +5.723084846291e+00
 2.41004000e+00,        +7.071067811865e+00,        +1.124183282374e+01,        +5.723065761661e+00
 2.41004500e+00,        +7.071067811865e+00,        +1.124185907124e+01,        +5.723046675550e+00
 2.41005000e+00,        +7.071067811865e+00,        +1.124188532052e+01,        +5.723027587959e+00
 2.41005500e+00,        +7.071067811865e+00,        +1.124191157157e+01,        +5.723008498886e+00
 2.41006000e+00,        +7.071067811865e+00,        +1.124193782439e+01,        +5.722989408330e+00
 2.41006500e+00,        +7.071067811865e+00,        +1.124196407899e+01,        +5.722970316292e+00
 2.41007000e+00,        +7.071067811865e+00,        +1.124199033536e+01,        +5.722951222770e+00
 2.41007500e+00,        +7.071067811865e+00,        +1.124201659350e+01,        +5.722932127765e+00
 2.41008000e+00,        +7.071067811865e+00,        +1.124204285342e+01,        +5.722913031276e+00
 2.41008500e+00,        +7.071067811865e+00,        +1.124206911511e+01,        +5.722893933301e+00
 2.41009000e+00,        +7.071067811865e+00,        +1.124209537859e+01,        +5.722874833841e+00
 2.41009500e+00,        +7.071067811865e+00,        +1.124212164384e+01,        +5.722855732895e+00
 2.41010000e+00,        +7.071067811865e+00,        +1.124214791086e+01,        +5.722836630463e+00
 2.41010500e+00,        +7.071067811865e+00,        +1.124217417967e+01,        +5.722817526543e+00
 2.41011000e+00,        +7.071067811865e+00,        +1.124220045025e+01,        +5.722798421136e+00
 2.41011500e+00,        +7.071067811865e+00,        +1.124222672262e+01,        +5.722779314241e+00
 2.41012000e+00,        +7.071067811865e+00,        +1.124225299677e+01,        +5.722760205857e+00
 2.41012500e+00,        +7.071067811865e+00,        +1.124227927269e+01,        +5.722741095984e+00
 2.41013000e+00,        +7.071067811865e+00,        +1.124230555040e+01,        +5.722721984622e+00
 2.41013500e+00,        +7.071067811865e+00,        +1.124233182990e+01,        +5.722702871769e+00
 2.41014000e+00,        +7.071067811865e+00,        +1.124235811117e+01,        +5.722683757425e+00
 2.41014500e+00,        +7.071067811865e+00,        +1.124238439423e+01,        +5.722664641590e+00
 2.41015000e+00,        +7.071067811865e+00,        +1.124241067908e+01,        +5.722645524263e+00
 2.41015500e+00,        +7.071067811865e+00,        +1.124243696571e+01,        +5.722626405444e+00
 2.41016000e+00,        +7.071067811865e+00,        +1.124246325413e+01,        +5.722607285131e+00
 2.41016500e+00,        +7.071067811865e+00,        +1.124248954433e+01,        +5.722588163325e+00
 2.41017000e+00,        +7.071067811865e+00,        +1.124251583632e+01,        +5.722569040025e+00
 2.41017500e+00,        +7.071067811865e+00,        +1.124254213010e+01,        +5.722549915231e+00
 2.41018000e+00,        +7.071067811865e+00,        +1.124256842567e+01,        +5.722530788941e+00
 2.41018500e+00,        +7.071067811865e+00,        +1.124259472303e+01,        +5.722511661156e+00
 2.41019000e+00,        +7.071067811865e+00,        +1.124262102217e+01,        +5.722492531875e+00
 2.41019500e+00,        +7.071067811865e+00,        +1.124264732311e+01,        +5.722473401096e+00
 2.41020000e+00,        +7.071067811865e+00,        +1.124267362584e+01,        +5.722454268821e+00
 2.41020500e+00,        +7.071067811865e+00,        +1.124269993037e+01,        +5.722435135047e+00
 2.41021000e+00,        +7.071067811865e+00,        +1.124272623668e+01,        +5.722415999776e+00
 2.41021500e+00,        +7.071067811865e+00,        +1.124275254479e+01,        +5.722396863005e+00
 2.41022000e+00,        +7.071067811865e+00,        +1.124277885470e+01,        +5.722377724735e+00
 2.41022500e+00,        +7.071067811865e+00,        +1.124280516640e+01,        +5.722358584965e+00
 2.41023000e+00,        +7.071067811865e+00,        +1.124283147989e+01,        +5.722339443694e+00
 2.41023500e+00,        +7.071067811865e+00,        +1.124285779519e+01,        +5.722320300922e+00
 2.41024000e+00,        +7.071067811865e+00,        +1.124288411227e+01,        +5.722301156649e+00
 2.41024500e+00,        +7.071067811865e+00,        +1.124291043116e+01,        +5.722282010873e+00
 2.41025000e+00,        +7.071067811865e+00,        +1.124293675185e+01,        +5.722262863595e+00
 2.41025500e+00,        +7.071067811865e+00,        +1.124296307433e+01,        +5.722243714814e+00
 2.41026000e+00,        +7.071067811865e+00,        +1.124298939861e+01,        +5.722224564528e+00
 2.41026500e+00,        +7.071067811865e+00,        +1.124301572470e+01,        +5.722205412738e+00
 2.41027000e+00,        +7.071067811865e+00,        +1.124304205259e+01,        +5.722186259444e+00
 2.41027500e+00,        +7.071067811865e+00,        +1.124306838227e+01,        +5.722167104644e+00
 2.41028000e+00,        +7.071067811865e+00,        +1.124309471376e+01,        +5.722147948337e+00
 2.41028500e+00,        +7.071067811865e+00,        +1.124312104706e+01,        +5.722128790525e+00
 2.41029000e+00,        +7.071067811865e+00,        +1.124314738216e+01,        +5.722109631205e+00
 2.41029500e+00,        +7.071067811865e+00,        +1.124317371906e+01,        +5.722090470377e+00
 2.41030000e+00,        +7.071067811865e+00,        +1.124320005777e+01,        +5.722071308042e+00
 2.41030500e+00,        +7.071067811865e+00,        +1.124322639828e+01,        +5.722052144197e+00
 2.41031000e+00,        +7.071067811865e+00,        +1.124325274060e+01,        +5.722032978844e+00
 2.41031500e+00,        +7.071067811865e+00,        +1.124327908473e+01,        +5.722013811980e+00
 2.41032000e+00,        +7.071067811865e+00,        +1.124330543067e+01,        +5.721994643606e+00
 2.41032500e+00,        +7.071067811865e+00,        +1.124333177841e+01,        +5.721975473722e+00
 2.41033000e+00,        +7.071067811865e+00,        +1.124335812797e+01,        +5.721956302325e+00
 2.41033500e+00,        +7.071067811865e+00,        +1.124338447934e+01,        +5.721937129417e+00
 2.41034000e+00,        +7.071067811865e+00,        +1.124341083251e+01,        +5.721917954996e+00
 2.41034500e+00,        +7.071067811865e+00,        +1.124343718750e+01,        +5.721898779062e+00
 2.41035000e+00,        +7.071067811865e+00,        +1.124346354430e+01,        +5.721879601614e+00
 2.41035500e+00,        +7.071067811865e+00,        +1.124348990291e+01,        +5.721860422652e+00
 2.41036000e+00,        +7.071067811865e+00,        +1.124351626334e+01,        +5.721841242176e+00
 2.41036500e+00,        +7.071067811865e+00,        +1.124354262558e+01,        +5.721822060184e+00
 2.41037000e+00,        +7.071067811865e+00,        +1.124356898964e+01,        +5.721802876676e+00
 2.41037500e+00,        +7.071067811865e+00,        +1.124359535551e+01,        +5.721783691651e+00
 2.41038000e+00,        +7.071067811865e+00,        +1.124362172320e+01,        +5.721764505110e+00
 2.41038500e+00,        +7.071067811865e+00,        +1.124364809271e+01,        +5.721745317051e+00
 2.41039000e+00,        +7.071067811865e+00,        +1.124367446403e+01,        +5.721726127474e+00
 2.41039500e+00,        +7.071067811865e+00,        +1.124370083717e+01,        +5.721706936378e+00
 2.41040000e+00,        +7.071067811865e+00,        +1.124372721214e+01,        +5.721687743763e+00
 2.41040500e+00,        +7.071067811865e+00,        +1.124375358892e+01,        +5.721668549629e+00
 2.41041000e+00,        +7.071067811865e+00,        +1.124377996752e+01,        +5.721649353974e+00
 2.41041500e+00,        +7.071067811865e+00,        +1.124380634795e+01,        +5.721630156798e+00
 2.41042000e+00,        +7.071067811865e+00,        +1.124383273019e+01,        +5.721610958101e+00
 2.41042500e+00,        +7.071067811865e+00,        +1.124385911426e+01,        +5.721591757881e+00
 2.41043000e+00,        +7.071067811865e+00,        +1.124388550015e+01,        +5.721572556140e+00
 2.41043500e+00,        +7.071067811865e+00,        +1.124391188787e+01,        +5.721553352875e+00
 2.41044000e+00,        +7.071067811865e+00,        +1.124393827741e+01,        +5.721534148086e+00
 2.41044500e+00,        +7.071067811865e+00,        +1.124396466878e+01,        +5.721514941774e+00
 2.41045000e+00,        +7.071067811865e+00,        +1.124399106197e+01,        +5.721495733936e+00
 2.41045500e+00,        +7.071067811865e+00,        +1.124401745699e+01,        +5.721476524574e+00
