        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41000000e+00,        +7.535891878561e-11,        +8.775195842402e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.520730651216e-13,        +2.017983638463e-03,        +7.471714553154e-13,        +8.514584389161e-03,        +1.520730651216e-13,        +2.017983638463e-03,        +7.471714553154e-13,        +8.514584389161e-03,        +9.557297240807e-14,        +1.268237044111e-03,        +4.484997032790e-13,        +5.110993661382e-03,        +7.504657960795e-11,        +9.958553123811e-01,        +8.608835015518e-11,        +9.810419243204e-01,        +6.469314013125e-14,        +8.584669362799e-04,        +4.679371102421e-13,        +5.332497629067e-03
 2.41000500e+00,        +7.536818882843e-11,        +8.776087012728e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.521146405035e-13,        +2.018287063389e-03,        +7.473471399529e-13,        +8.515721629343e-03,        +1.521146405035e-13,        +2.018287063389e-03,        +7.473471399529e-13,        +8.515721629343e-03,        +9.559714724650e-14,        +1.268401811593e-03,        +4.486047259985e-13,        +5.111671355900e-03,        +7.505576973321e-11,        +9.958547618023e-01,        +8.609687122898e-11,        +9.810393983573e-01,        +6.470730747243e-14,        +8.585493227087e-04,        +4.680470323482e-13,        +5.333208657450e-03
 2.41001000e+00,        +7.537746218944e-11,        +8.776978511271e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.521562317266e-13,        +2.018590534983e-03,        +7.475228878629e-13,        +8.516859040990e-03,        +1.521562317266e-13,        +2.018590534983e-03,        +7.475228878629e-13,        +8.516859040990e-03,        +9.562133103308e-14,        +1.268566601417e-03,        +4.487097863708e-13,        +5.112349150618e-03,        +7.506496314695e-11,        +9.958542111473e-01,        +8.610539544484e-11,        +9.810368720200e-01,        +6.472147973015e-14,        +8.586317163011e-04,        +4.681569936358e-13,        +5.333919788395e-03
 2.41001500e+00,        +7.538673887023e-11,        +8.777870338186e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.521978387988e-13,        +2.018894053247e-03,        +7.476986990759e-13,        +8.517996624115e-03,        +1.521978387988e-13,        +2.018894053247e-03,        +7.476986990759e-13,        +8.517996624115e-03,        +9.564552377218e-14,        +1.268731413582e-03,        +4.488148844140e-13,        +5.113027045541e-03,        +7.507415985075e-11,        +9.958536604161e-01,        +8.611392280424e-11,        +9.810343453084e-01,        +6.473565690672e-14,        +8.587141170566e-04,        +4.682669941237e-13,        +5.334631021908e-03
 2.41002000e+00,        +7.539601887238e-11,        +8.778762493632e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.522394617278e-13,        +2.019197618186e-03,        +7.478745736221e-13,        +8.519134378730e-03,        +1.522394617278e-13,        +2.019197618186e-03,        +7.478745736221e-13,        +8.519134378730e-03,        +9.566972546818e-14,        +1.268896248091e-03,        +4.489200201459e-13,        +5.113705040677e-03,        +7.508335984618e-11,        +9.958531096087e-01,        +8.612245330872e-11,        +9.810318182226e-01,        +6.474983900449e-14,        +8.587965249742e-04,        +4.683770338307e-13,        +5.335342357997e-03
 2.41002500e+00,        +7.540530219750e-11,        +8.779654977767e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.522811005216e-13,        +2.019501229804e-03,        +7.480505115318e-13,        +8.520272304847e-03,        +1.522811005216e-13,        +2.019501229804e-03,        +7.480505115318e-13,        +8.520272304847e-03,        +9.569393612544e-14,        +1.269061104945e-03,        +4.490251935847e-13,        +5.114383136032e-03,        +7.509256313482e-11,        +9.958525587252e-01,        +8.613098695978e-11,        +9.810292907625e-01,        +6.476402602577e-14,        +8.588789400531e-04,        +4.684871127754e-13,        +5.336053796667e-03
 2.41003000e+00,        +7.541458884716e-11,        +8.780547790749e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.523227551880e-13,        +2.019804888106e-03,        +7.482265128355e-13,        +8.521410402479e-03,        +1.523227551880e-13,        +2.019804888106e-03,        +7.482265128355e-13,        +8.521410402479e-03,        +9.571815574835e-14,        +1.269225984144e-03,        +4.491304047485e-13,        +5.115061331614e-03,        +7.510176971826e-11,        +9.958520077655e-01,        +8.613952375893e-11,        +9.810267629280e-01,        +6.477821797289e-14,        +8.589613622926e-04,        +4.685972309768e-13,        +5.336765337927e-03
 2.41003500e+00,        +7.542387882298e-11,        +8.781440932736e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.523644257349e-13,        +2.020108593096e-03,        +7.484025775634e-13,        +8.522548671637e-03,        +1.523644257349e-13,        +2.020108593096e-03,        +7.484025775634e-13,        +8.522548671637e-03,        +9.574238434128e-14,        +1.269390885690e-03,        +4.492356536552e-13,        +5.115739627429e-03,        +7.511097959805e-11,        +9.958514567295e-01,        +8.614806370769e-11,        +9.810242347192e-01,        +6.479241484819e-14,        +8.590437916917e-04,        +4.687073884536e-13,        +5.337476981782e-03
 2.41004000e+00,        +7.543317212654e-11,        +8.782334403886e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.524061121702e-13,        +2.020412344778e-03,        +7.485787057461e-13,        +8.523687112334e-03,        +1.524061121702e-13,        +2.020412344778e-03,        +7.485787057461e-13,        +8.523687112334e-03,        +9.576662190862e-14,        +1.269555809584e-03,        +4.493409403230e-13,        +5.116418023484e-03,        +7.512019277581e-11,        +9.958509056174e-01,        +8.615660680756e-11,        +9.810217061359e-01,        +6.480661665400e-14,        +8.591262282499e-04,        +4.688175852245e-13,        +5.338188728240e-03
 2.41004500e+00,        +7.544246875944e-11,        +8.783228204357e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.524478145017e-13,        +2.020716143156e-03,        +7.487548974138e-13,        +8.524825724583e-03,        +1.524478145017e-13,        +2.020716143156e-03,        +7.487548974138e-13,        +8.524825724583e-03,        +9.579086845476e-14,        +1.269720755828e-03,        +4.494462647700e-13,        +5.117096519786e-03,        +7.512940925309e-11,        +9.958503544290e-01,        +8.616515306008e-11,        +9.810191771783e-01,        +6.482082339264e-14,        +8.592086719661e-04,        +4.689278213085e-13,        +5.338900577306e-03
