        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.41000000e+00,        -1.277439319529e-02,        +1.085964970134e+01
 2.41000500e+00,        -1.277442268972e-02,        +1.085935562591e+01
 2.41001000e+00,        -1.277445219996e-02,        +1.085906151771e+01
 2.41001500e+00,        -1.277448172601e-02,        +1.085876737671e+01
 2.41002000e+00,        -1.277451126790e-02,        +1.085847320290e+01
 2.41002500e+00,        -1.277454082562e-02,        +1.085817899628e+01
 2.41003000e+00,        -1.277457039917e-02,        +1.085788475682e+01
 2.41003500e+00,        -1.277459998857e-02,        +1.085759048453e+01
 2.41004000e+00,        -1.277462959383e-02,        +1.085729617938e+01
 2.41004500e+00,        -1.277465921497e-02,        +1.085700184136e+01
 2.41005000e+00,        -1.277468885196e-02,        +1.085670747047e+01
 2.41005500e+00,        -1.277471850484e-02,        +1.085641306669e+01
 2.41006000e+00,        -1.277474817361e-02,        +1.085611863000e+01
 2.41006500e+00,        -1.277477785828e-02,        +1.085582416041e+01
 2.41007000e+00,        -1.277480755885e-02,        +1.085552965788e+01
 2.41007500e+00,        -1.277483727533e-02,        +1.085523512242e+01
 2.41008000e+00,        -1.277486700773e-02,        +1.085494055401e+01
 2.41008500e+00,        -1.277489675607e-02,        +1.085464595264e+01
 2.41009000e+00,        -1.277492652034e-02,        +1.085435131830e+01
 2.41009500e+00,        -1.277495630056e-02,        +1.085405665097e+01
 2.41010000e+00,        -1.277498609674e-02,        +1.085376195064e+01
 2.41010500e+00,        -1.277501590886e-02,        +1.085346721731e+01
 2.41011000e+00,        -1.277504573696e-02,        +1.085317245095e+01
 2.41011500e+00,        -1.277507558104e-02,        +1.085287765156e+01
 2.41012000e+00,        -1.277510544111e-02,        +1.085258281912e+01
 2.41012500e+00,        -1.277513531716e-02,        +1.085228795363e+01
 2.41013000e+00,        -1.277516520923e-02,        +1.085199305507e+01
 2.41013500e+00,        -1.277519511729e-02,        +1.085169812342e+01
 2.41014000e+00,        -1.277522504139e-02,        +1.085140315869e+01
 2.41014500e+00,        -1.277525498150e-02,        +1.085110816084e+01
 2.41015000e+00,        -1.277528493765e-02,        +1.085081312988e+01
 2.41015500e+00,        -1.277531490985e-02,        +1.085051806579e+01
 2.41016000e+00,        -1.277534489810e-02,        +1.085022296856e+01
 2.41016500e+00,        -1.277537490239e-02,        +1.084992783817e+01
 2.41017000e+00,        -1.277540492277e-02,        +1.084963267462e+01
 2.41017500e+00,        -1.277543495921e-02,        +1.084933747789e+01
 2.41018000e+00,        -1.277546501174e-02,        +1.084904224797e+01
 2.41018500e+00,        -1.277549508037e-02,        +1.084874698485e+01
 2.41019000e+00,        -1.277552516509e-02,        +1.084845168851e+01
 2.41019500e+00,        -1.277555526592e-02,        +1.084815635895e+01
 2.41020000e+00,        -1.277558538286e-02,        +1.084786099614e+01
 2.41020500e+00,        -1.277561551594e-02,        +1.084756560009e+01
 2.41021000e+00,        -1.277564566512e-02,        +1.084727017078e+01
 2.41021500e+00,        -1.277567583048e-02,        +1.084697470819e+01
 2.41022000e+00,        -1.277570601197e-02,        +1.084667921231e+01
 2.41022500e+00,        -1.277573620962e-02,        +1.084638368313e+01
 2.41023000e+00,        -1.277576642342e-02,        +1.084608812064e+01
 2.41023500e+00,        -1.277579665342e-02,        +1.084579252483e+01
 2.41024000e+00,        -1.277582689959e-02,        +1.084549689569e+01
 2.41024500e+00,        -1.277585716196e-02,        +1.084520123319e+01
 2.41025000e+00,        -1.277588744051e-02,        +1.084490553734e+01
 2.41025500e+00,        -1.277591773528e-02,        +1.084460980811e+01
 2.41026000e+00,        -1.277594804626e-02,        +1.084431404550e+01
 2.41026500e+00,        -1.277597837347e-02,        +1.084401824949e+01
 2.41027000e+00,        -1.277600871690e-02,        +1.084372242008e+01
