        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.43000000e+00,        +1.632957877198e-08,        +1.626745740509e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.112298072811e-11,        +1.905926733488e-03,        +4.109265750916e-10,        +2.526065167154e-02,        +3.112298072811e-11,        +1.905926733488e-03,        +4.109265750916e-10,        +2.526065167154e-02,        +2.139834259672e-11,        +1.310403831937e-03,        +2.013047246092e-10,        +1.237468890167e-02,        +1.626892208840e-08,        +9.962854716326e-01,        +1.552104804583e-08,        +9.541164091796e-01,        +8.135360251340e-12,        +4.981978019726e-04,        +1.341780595628e-10,        +8.248250247193e-03
 2.43002000e+00,        +1.650739485627e-08,        +1.644536083293e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.146960630781e-11,        +1.906394472405e-03,        +4.154917894229e-10,        +2.526498467524e-02,        +3.146960630781e-11,        +1.906394472405e-03,        +4.154917894229e-10,        +2.526498467524e-02,        +2.163628570755e-11,        +1.310702621215e-03,        +2.035388683022e-10,        +1.237667390639e-02,        +1.644606323578e-08,        +9.962845972348e-01,        +1.569066703855e-08,        +9.541090157860e-01,        +8.225728479850e-12,        +4.983056715775e-04,        +1.356631366532e-10,        +8.249325632400e-03
 2.43004000e+00,        +1.668799580945e-08,        +1.662605114472e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.182169606159e-11,        +1.906861460474e-03,        +4.201289404485e-10,        +2.526931601446e-02,        +3.182169606159e-11,        +1.906861460474e-03,        +4.201289404485e-10,        +2.526931601446e-02,        +2.187797795611e-11,        +1.311000925811e-03,        +2.058081997071e-10,        +1.237865792158e-02,        +1.662597861575e-08,        +9.962837242769e-01,        +1.586294243223e-08,        +9.541016260657e-01,        +8.317519675960e-12,        +4.984133368042e-04,        +1.371715723350e-10,        +8.250399998233e-03
 2.43006000e+00,        +1.687143651461e-08,        +1.680958327201e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.217935814215e-11,        +1.907327696387e-03,        +4.248394518032e-10,        +2.527364568940e-02,        +3.217935814215e-11,        +1.907327696387e-03,        +4.248394518032e-10,        +2.527364568940e-02,        +2.212349352817e-11,        +1.311298745012e-03,        +2.081134149578e-10,        +1.238064094690e-02,        +1.680872290096e-08,        +9.962828527613e-01,        +1.603792657696e-08,        +9.540942400201e-01,        +8.410761983188e-12,        +4.985207973194e-04,        +1.387038282856e-10,        +8.251473343574e-03
 2.43008000e+00,        +1.705777310618e-08,        +1.699601339896e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.254270317806e-11,        +1.907793178833e-03,        +4.296247797081e-10,        +2.527797370025e-02,        +3.254270317806e-11,        +1.907793178833e-03,        +4.296247797081e-10,        +2.527797370025e-02,        +2.237290830733e-11,        +1.311596078108e-03,        +2.104552261171e-10,        +1.238262298204e-02,        +1.699435201051e-08,        +9.962819826903e-01,        +1.621567301640e-08,        +9.540868576504e-01,        +8.505484188860e-12,        +4.986280527894e-04,        +1.402603767371e-10,        +8.252545667306e-03
 2.43010000e+00,        +1.724706300031e-08,        +1.718539899280e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.291184433431e-11,        +1.908257906504e-03,        +4.344864137675e-10,        +2.528230004725e-02,        +3.291184433431e-11,        +1.908257906504e-03,        +4.344864137675e-10,        +2.528230004725e-02,        +2.262629991654e-11,        +1.311892924385e-03,        +2.128343615663e-10,        +1.238460402668e-02,        +1.718292314032e-08,        +9.962811140662e-01,        +1.639623651673e-08,        +9.540794789578e-01,        +8.601715739846e-12,        +4.987351028804e-04,        +1.418417007341e-10,        +8.253616968310e-03
 2.43012000e+00,        +1.743936492594e-08,        +1.737779883489e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.328689737405e-11,        +1.908721878086e-03,        +4.394258777818e-10,        +2.528662473061e-02,        +3.328689737405e-11,        +1.908721878086e-03,        +4.394258777818e-10,        +2.528662473061e-02,        +2.288374776045e-11,        +1.312189283132e-03,        +2.152515664024e-10,        +1.238658408050e-02,        +1.737449479404e-08,        +9.962802468915e-01,        +1.657967309631e-08,        +9.540721039434e-01,        +8.699486758601e-12,        +4.988419472582e-04,        +1.434482943966e-10,        +8.254687245463e-03
 2.43014000e+00,        +1.763473895657e-08,        +1.757327305261e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.366798072190e-11,        +1.909185092267e-03,        +4.444447305799e-10,        +2.529094775056e-02,        +3.366798072190e-11,        +1.909185092267e-03,        +4.444447305799e-10,        +2.529094775056e-02,        +2.314533306876e-11,        +1.312485153637e-03,        +2.177076028449e-10,        +1.238856314320e-02,        +1.756912681472e-08,        +9.962793811685e-01,        +1.676604005599e-08,        +9.540647326086e-01,        +8.798828059601e-12,        +4.989485855884e-04,        +1.450806631889e-10,        +8.255756497644e-03
 2.43016000e+00,        +1.783324654272e-08,        +1.777188315176e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.405521552844e-11,        +1.909647547734e-03,        +4.495445668682e-10,        +2.529526910736e-02,        +3.405521552844e-11,        +1.909647547734e-03,        +4.495445668682e-10,        +2.529526910736e-02,        +2.341113894045e-11,        +1.312780535186e-03,        +2.202032506502e-10,        +1.239054121445e-02,        +1.776688041709e-08,        +9.962785168995e-01,        +1.695539601004e-08,        +9.540573649545e-01,        +8.899771166105e-12,        +4.990550175362e-04,        +1.467393241946e-10,        +8.256824723728e-03
 2.43018000e+00,        +1.803495054509e-08,        +1.797369204983e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.444872573632e-11,        +1.910109243172e-03,        +4.547270181009e-10,        +2.529958880124e-02,        +3.444872573632e-11,        +1.910109243172e-03,        +4.547270181009e-10,        +2.529958880124e-02,        +2.368125038912e-11,        +1.313075427067e-03,        +2.227393075374e-10,        +1.239251829395e-02,        +1.796781822063e-08,        +9.962776540870e-01,        +1.714780091779e-08,        +9.540500009822e-01,        +9.002348327321e-12,        +4.991612427667e-04,        +1.484248063974e-10,        +8.257891922588e-03
 2.43020000e+00,        +1.823991526841e-08,        +1.817876410989e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.484863814767e-11,        +1.910570177265e-03,        +4.599937533663e-10,        +2.530390683248e-02,        +3.484863814767e-11,        +1.910570177265e-03,        +4.599937533663e-10,        +2.530390683248e-02,        +2.395575438915e-11,        +1.313369828567e-03,        +2.253165896209e-10,        +1.239449438140e-02,        +1.817200428334e-08,        +9.962767927332e-01,        +1.734331611594e-08,        +9.540426406930e-01,        +9.106592535920e-12,        +4.992672609445e-04,        +1.501376509679e-10,        +8.258958093097e-03
 2.43022000e+00,        +1.844820649602e-08,        +1.838716517516e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.525508249289e-11,        +1.911030348696e-03,        +4.653464802928e-10,        +2.530822320133e-02,        +3.525508249289e-11,        +1.911030348696e-03,        +4.653464802928e-10,        +2.530822320133e-02,        +2.423473992290e-11,        +1.313663738973e-03,        +2.279359318533e-10,        +1.239646947650e-02,        +1.837950413605e-08,        +9.962759328406e-01,        +1.754200435146e-08,        +9.540352840880e-01,        +9.212537545899e-12,        +4.993730717340e-04,        +1.518784115566e-10,        +8.260023234126e-03
 2.43024000e+00,        +1.865989152511e-08,        +1.859896260439e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.566819150104e-11,        +1.911489756146e-03,        +4.707869459746e-10,        +2.531253790808e-02,        +3.566819150104e-11,        +1.911489756146e-03,        +4.707869459746e-10,        +2.531253790808e-02,        +2.451829802893e-11,        +1.313957157572e-03,        +2.305981884774e-10,        +1.239844357894e-02,        +1.859038481768e-08,        +9.962750744115e-01,        +1.774392981535e-08,        +9.540279311684e-01,        +9.320217890864e-12,        +4.994786747996e-04,        +1.536476545928e-10,        +8.261087344544e-03
 2.43026000e+00,        +1.887503920276e-08,        +1.881422530785e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.608810097152e-11,        +1.911948398298e-03,        +4.763169379151e-10,        +2.531685095300e-02,        +3.608810097152e-11,        +1.911948398298e-03,        +4.763169379151e-10,        +2.531685095300e-02,        +2.480652185113e-11,        +1.314250083650e-03,        +2.333042334873e-10,        +1.240041668843e-02,        +1.880471491103e-08,        +9.962742174482e-01,        +1.794915817686e-08,        +9.540205819354e-01,        +9.429668902640e-12,        +4.995840698049e-04,        +1.554459595898e-10,        +8.262150423217e-03
 2.43028000e+00,        +1.909371996258e-08,        +1.903302378407e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.651494984718e-11,        +1.912406273830e-03,        +4.819382849890e-10,        +2.532116233640e-02,        +3.651494984718e-11,        +1.912406273830e-03,        +4.819382849890e-10,        +2.532116233640e-02,        +2.509950668886e-11,        +1.314542516495e-03,        +2.360549610985e-10,        +1.240238880467e-02,        +1.902256457931e-08,        +9.962733619533e-01,        +1.815775661853e-08,        +9.540132363899e-01,        +9.540926730270e-12,        +4.996892564136e-04,        +1.572739194555e-10,        +8.263212469012e-03
 2.43030000e+00,        +1.931600586212e-08,        +1.925543015730e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.694888028895e-11,        +1.912863381421e-03,        +4.876528584244e-10,        +2.532547205857e-02,        +3.694888028895e-11,        +1.912863381421e-03,        +4.876528584244e-10,        +2.532547205857e-02,        +2.539735004806e-11,        +1.314834455392e-03,        +2.388512862273e-10,        +1.240435992736e-02,        +1.924400560342e-08,        +9.962725079289e-01,        +1.836979387183e-08,        +9.540058945333e-01,        +9.654028359379e-12,        +4.997942342890e-04,        +1.591321408102e-10,        +8.264273480792e-03
 2.43032000e+00,        +1.954197062097e-08,        +1.948151821563e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.739003775184e-11,        +1.913319719748e-03,        +4.934625728025e-10,        +2.532978011983e-02,        +3.739003775184e-11,        +1.913319719748e-03,        +4.934625728025e-10,        +2.532978011983e-02,        +2.570015169338e-11,        +1.315125899626e-03,        +2.416941449797e-10,        +1.240633005623e-02,        +1.946911141990e-08,        +9.962716553775e-01,        +1.858534025354e-08,        +9.539985563665e-01,        +9.769011631915e-12,        +4.998990030939e-04,        +1.610212443090e-10,        +8.265333457419e-03
 2.43034000e+00,        +1.977168965955e-08,        +1.971136344989e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.783857106233e-11,        +1.913775287488e-03,        +4.993693870764e-10,        +2.533408652050e-02,        +3.783857106233e-11,        +1.913775287488e-03,        +4.993693870764e-10,        +2.533408652050e-02,        +2.600801370120e-11,        +1.315416848485e-03,        +2.445844951485e-10,        +1.240829919099e-02,        +1.969795715952e-08,        +9.962708043015e-01,        +1.880446770269e-08,        +9.539912218908e-01,        +9.885915266247e-12,        +5.000035624912e-04,        +1.629418649715e-10,        +8.266392397754e-03
