        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.43000000e+00,        +7.071067811865e+00,        +4.827705748323e+00,        -6.638059554963e+00
 2.43002000e+00,        +7.071067811865e+00,        +4.800385996074e+00,        -6.627971485002e+00
 2.43004000e+00,        +7.071067811865e+00,        +4.772811405868e+00,        -6.617654712600e+00
 2.43006000e+00,        +7.071067811865e+00,        +4.744979263505e+00,        -6.607103787617e+00
 2.43008000e+00,        +7.071067811865e+00,        +4.716886842825e+00,        -6.596313115258e+00
 2.43010000e+00,        +7.071067811865e+00,        +4.688531406985e+00,        -6.585276951911e+00
 2.43012000e+00,        +7.071067811865e+00,        +4.659910209843e+00,        -6.573989400875e+00
 2.43014000e+00,        +7.071067811865e+00,        +4.631020497443e+00,        -6.562444407949e+00
 2.43016000e+00,        +7.071067811865e+00,        +4.601859509617e+00,        -6.550635756907e+00
 2.43018000e+00,        +7.071067811865e+00,        +4.572424481693e+00,        -6.538557064833e+00
 2.43020000e+00,        +7.071067811865e+00,        +4.542712646343e+00,        -6.526201777316e+00
 2.43022000e+00,        +7.071067811865e+00,        +4.512721235554e+00,        -6.513563163523e+00
 2.43024000e+00,        +7.071067811865e+00,        +4.482447482737e+00,        -6.500634311113e+00
 2.43026000e+00,        +7.071067811865e+00,        +4.451888624988e+00,        -6.487408121018e+00
 2.43028000e+00,        +7.071067811865e+00,        +4.421041905506e+00,        -6.473877302066e+00
 2.43030000e+00,        +7.071067811865e+00,        +4.389904576174e+00,        -6.460034365465e+00
 2.43032000e+00,        +7.071067811865e+00,        +4.358473900311e+00,        -6.445871619118e+00
 2.43034000e+00,        +7.071067811865e+00,        +4.326747155616e+00,        -6.431381161787e+00
 2.43036000e+00,        +7.071067811865e+00,        +4.294721637302e+00,        -6.416554877099e+00
 2.43038000e+00,        +7.071067811865e+00,        +4.262394661440e+00,        -6.401384427381e+00
 2.43040000e+00,        +7.071067811865e+00,        +4.229763568513e+00,        -6.385861247328e+00
 2.43042000e+00,        +7.071067811865e+00,        +4.196825727211e+00,        -6.369976537507e+00
 2.43044000e+00,        +7.071067811865e+00,        +4.163578538462e+00,        -6.353721257678e+00
 2.43046000e+00,        +7.071067811865e+00,        +4.130019439721e+00,        -6.337086119949e+00
 2.43048000e+00,        +7.071067811865e+00,        +4.096145909531e+00,        -6.320061581744e+00
 2.43050000e+00,        +7.071067811865e+00,        +4.061955472367e+00,        -6.302637838593e+00
 2.43052000e+00,        +7.071067811865e+00,        +4.027445703794e+00,        -6.284804816747e+00
 2.43054000e+00,        +7.071067811865e+00,        +3.992614235923e+00,        -6.266552165591e+00
 2.43056000e+00,        +7.071067811865e+00,        +3.957458763223e+00,        -6.247869249891e+00
 2.43058000e+00,        +7.071067811865e+00,        +3.921977048681e+00,        -6.228745141837e+00
 2.43060000e+00,        +7.071067811865e+00,        +3.886166930334e+00,        -6.209168612911e+00
 2.43062000e+00,        +7.071067811865e+00,        +3.850026328197e+00,        -6.189128125554e+00
 2.43064000e+00,        +7.071067811865e+00,        +3.813553251613e+00,        -6.168611824658e+00
 2.43066000e+00,        +7.071067811865e+00,        +3.776745807038e+00,        -6.147607528862e+00
 2.43068000e+00,        +7.071067811865e+00,        +3.739602206285e+00,        -6.126102721660e+00
 2.43070000e+00,        +7.071067811865e+00,        +3.702120775267e+00,        -6.104084542334e+00
 2.43072000e+00,        +7.071067811865e+00,        +3.664299963248e+00,        -6.081539776703e+00
 2.43074000e+00,        +7.071067811865e+00,        +3.626138352626e+00,        -6.058454847681e+00
 2.43076000e+00,        +7.071067811865e+00,        +3.587634669311e+00,        -6.034815805684e+00
 2.43078000e+00,        +7.071067811865e+00,        +3.548787793677e+00,        -6.010608318850e+00
 2.43080000e+00,        +7.071067811865e+00,        +3.509596772169e+00,        -5.985817663111e+00
 2.43082000e+00,        +7.071067811865e+00,        +3.470060829557e+00,        -5.960428712101e+00
 2.43084000e+00,        +7.071067811865e+00,        +3.430179381906e+00,        -5.934425926931e+00
 2.43086000e+00,        +7.071067811865e+00,        +3.389952050270e+00,        -5.907793345819e+00
 2.43088000e+00,        +7.071067811865e+00,        +3.349378675168e+00,        -5.880514573606e+00
 2.43090000e+00,        +7.071067811865e+00,        +3.308459331878e+00,        -5.852572771168e+00
 2.43092000e+00,        +7.071067811865e+00,        +3.267194346569e+00,        -5.823950644723e+00
 2.43094000e+00,        +7.071067811865e+00,        +3.225584313355e+00,        -5.794630435085e+00
 2.43096000e+00,        +7.071067811865e+00,        +3.183630112276e+00,        -5.764593906846e+00
 2.43098000e+00,        +7.071067811865e+00,        +3.141332928271e+00,        -5.733822337540e+00
 2.43100000e+00,        +7.071067811865e+00,        +3.098694271204e+00,        -5.702296506801e+00
 2.43102000e+00,        +7.071067811865e+00,        +3.055715996952e+00,        -5.669996685539e+00
 2.43104000e+00,        +7.071067811865e+00,        +3.012400329669e+00,        -5.636902625186e+00
 2.43106000e+00,        +7.071067811865e+00,        +2.968749885213e+00,        -5.602993547015e+00
 2.43108000e+00,        +7.071067811865e+00,        +2.924767695851e+00,        -5.568248131604e+00
 2.43110000e+00,        +7.071067811865e+00,        +2.880457236263e+00,        -5.532644508471e+00
 2.43112000e+00,        +7.071067811865e+00,        +2.835822450908e+00,        -5.496160245924e+00
 2.43114000e+00,        +7.071067811865e+00,        +2.790867782838e+00,        -5.458772341186e+00
 2.43116000e+00,        +7.071067811865e+00,        +2.745598204004e+00,        -5.420457210863e+00
 2.43118000e+00,        +7.071067811865e+00,        +2.700019247107e+00,        -5.381190681789e+00
 2.43120000e+00,        +7.071067811865e+00,        +2.654137039093e+00,        -5.340947982340e+00
