        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.41000000e+00,        -1.831051631003e-03,        -5.684310635960e-01
 2.41000500e+00,        -1.831093650110e-03,        -5.687066485624e-01
 2.41001000e+00,        -1.831135687913e-03,        -5.689822723431e-01
 2.41001500e+00,        -1.831177744433e-03,        -5.692579349514e-01
 2.41002000e+00,        -1.831219819693e-03,        -5.695336364010e-01
 2.41002500e+00,        -1.831261913711e-03,        -5.698093767050e-01
 2.41003000e+00,        -1.831304026459e-03,        -5.700851558772e-01
 2.41003500e+00,        -1.831346157977e-03,        -5.703609739308e-01
 2.41004000e+00,        -1.831388308268e-03,        -5.706368308796e-01
 2.41004500e+00,        -1.831430477337e-03,        -5.709127267368e-01
 2.41005000e+00,        -1.831472665197e-03,        -5.711886615160e-01
 2.41005500e+00,        -1.831514871849e-03,        -5.714646352308e-01
 2.41006000e+00,        -1.831557097308e-03,        -5.717406478945e-01
 2.41006500e+00,        -1.831599341597e-03,        -5.720166995208e-01
 2.41007000e+00,        -1.831641604702e-03,        -5.722927901232e-01
 2.41007500e+00,        -1.831683886630e-03,        -5.725689197151e-01
 2.41008000e+00,        -1.831726187407e-03,        -5.728450883102e-01
 2.41008500e+00,        -1.831768507056e-03,        -5.731212959219e-01
 2.41009000e+00,        -1.831810845543e-03,        -5.733975425638e-01
 2.41009500e+00,        -1.831853202926e-03,        -5.736738282494e-01
 2.41010000e+00,        -1.831895579161e-03,        -5.739501529924e-01
 2.41010500e+00,        -1.831937974303e-03,        -5.742265168062e-01
 2.41011000e+00,        -1.831980388355e-03,        -5.745029197045e-01
 2.41011500e+00,        -1.832022821312e-03,        -5.747793617008e-01
 2.41012000e+00,        -1.832065273171e-03,        -5.750558428087e-01
 2.41012500e+00,        -1.832107743966e-03,        -5.753323630418e-01
 2.41013000e+00,        -1.832150233710e-03,        -5.756089224137e-01
 2.41013500e+00,        -1.832192742393e-03,        -5.758855209380e-01
 2.41014000e+00,        -1.832235270024e-03,        -5.761621586282e-01
 2.41014500e+00,        -1.832277816628e-03,        -5.764388354981e-01
 2.41015000e+00,        -1.832320382203e-03,        -5.767155515612e-01
 2.41015500e+00,        -1.832362966769e-03,        -5.769923068312e-01
 2.41016000e+00,        -1.832405570324e-03,        -5.772691013216e-01
 2.41016500e+00,        -1.832448192877e-03,        -5.775459350463e-01
 2.41017000e+00,        -1.832490834447e-03,        -5.778228080186e-01
 2.41017500e+00,        -1.832533495032e-03,        -5.780997202525e-01
 2.41018000e+00,        -1.832576174652e-03,        -5.783766717614e-01
 2.41018500e+00,        -1.832618873316e-03,        -5.786536625591e-01
 2.41019000e+00,        -1.832661591027e-03,        -5.789306926592e-01
 2.41019500e+00,        -1.832704327811e-03,        -5.792077620754e-01
 2.41020000e+00,        -1.832747083652e-03,        -5.794848708214e-01
 2.41020500e+00,        -1.832789858561e-03,        -5.797620189109e-01
 2.41021000e+00,        -1.832832652565e-03,        -5.800392063576e-01
 2.41021500e+00,        -1.832875465658e-03,        -5.803164331752e-01
 2.41022000e+00,        -1.832918297859e-03,        -5.805936993773e-01
 2.41022500e+00,        -1.832961149193e-03,        -5.808710049778e-01
 2.41023000e+00,        -1.833004019637e-03,        -5.811483499903e-01
 2.41023500e+00,        -1.833046909231e-03,        -5.814257344286e-01
 2.41024000e+00,        -1.833089817946e-03,        -5.817031583064e-01
 2.41024500e+00,        -1.833132745810e-03,        -5.819806216374e-01
 2.41025000e+00,        -1.833175692874e-03,        -5.822581244354e-01
 2.41025500e+00,        -1.833218659082e-03,        -5.825356667142e-01
 2.41026000e+00,        -1.833261644470e-03,        -5.828132484874e-01
 2.41026500e+00,        -1.833304649071e-03,        -5.830908697689e-01
 2.41027000e+00,        -1.833347672858e-03,        -5.833685305725e-01
 2.41027500e+00,        -1.833390715871e-03,        -5.836462309119e-01
 2.41028000e+00,        -1.833433778062e-03,        -5.839239708009e-01
 2.41028500e+00,        -1.833476859530e-03,        -5.842017502533e-01
 2.41029000e+00,        -1.833519960213e-03,        -5.844795692829e-01
 2.41029500e+00,        -1.833563080156e-03,        -5.847574279036e-01
 2.41030000e+00,        -1.833606219349e-03,        -5.850353261290e-01
 2.41030500e+00,        -1.833649377799e-03,        -5.853132639732e-01
 2.41031000e+00,        -1.833692555545e-03,        -5.855912414497e-01
 2.41031500e+00,        -1.833735752570e-03,        -5.858692585726e-01
 2.41032000e+00,        -1.833778968878e-03,        -5.861473153556e-01
 2.41032500e+00,        -1.833822204512e-03,        -5.864254118126e-01
 2.41033000e+00,        -1.833865459460e-03,        -5.867035479575e-01
 2.41033500e+00,        -1.833908733727e-03,        -5.869817238040e-01
 2.41034000e+00,        -1.833952027329e-03,        -5.872599393661e-01
 2.41034500e+00,        -1.833995340280e-03,        -5.875381946576e-01
 2.41035000e+00,        -1.834038672559e-03,        -5.878164896924e-01
 2.41035500e+00,        -1.834082024228e-03,        -5.880948244844e-01
 2.41036000e+00,        -1.834125395254e-03,        -5.883731990475e-01
 2.41036500e+00,        -1.834168785669e-03,        -5.886516133955e-01
 2.41037000e+00,        -1.834212195488e-03,        -5.889300675425e-01
 2.41037500e+00,        -1.834255624693e-03,        -5.892085615022e-01
 2.41038000e+00,        -1.834299073315e-03,        -5.894870952886e-01
 2.41038500e+00,        -1.834342541367e-03,        -5.897656689157e-01
 2.41039000e+00,        -1.834386028834e-03,        -5.900442823973e-01
 2.41039500e+00,        -1.834429535742e-03,        -5.903229357474e-01
 2.41040000e+00,        -1.834473062101e-03,        -5.906016289799e-01
 2.41040500e+00,        -1.834516607933e-03,        -5.908803621089e-01
 2.41041000e+00,        -1.834560173224e-03,        -5.911591351481e-01
 2.41041500e+00,        -1.834603757985e-03,        -5.914379481117e-01
 2.41042000e+00,        -1.834647362248e-03,        -5.917168010135e-01
 2.41042500e+00,        -1.834690986008e-03,        -5.919956938675e-01
 2.41043000e+00,        -1.834734629272e-03,        -5.922746266878e-01
 2.41043500e+00,        -1.834778292059e-03,        -5.925535994883e-01
 2.41044000e+00,        -1.834821974353e-03,        -5.928326122830e-01
 2.41044500e+00,        -1.834865676221e-03,        -5.931116650859e-01
 2.41045000e+00,        -1.834909397601e-03,        -5.933907579109e-01
 2.41045500e+00,        -1.834953138550e-03,        -5.936698907723e-01
 2.41046000e+00,        -1.834996899070e-03,        -5.939490636839e-01
 2.41046500e+00,        -1.835040679162e-03,        -5.942282766597e-01
 2.41047000e+00,        -1.835084478837e-03,        -5.945075297139e-01
 2.41047500e+00,        -1.835128298099e-03,        -5.947868228603e-01
 2.41048000e+00,        -1.835172136991e-03,        -5.950661561133e-01
 2.41048500e+00,        -1.835215995482e-03,        -5.953455294866e-01
 2.41049000e+00,        -1.835259873591e-03,        -5.956249429944e-01
 2.41049500e+00,        -1.835303771353e-03,        -5.959043966508e-01
 2.41050000e+00,        -1.835347688740e-03,        -5.961838904699e-01
 2.41050500e+00,        -1.835391625787e-03,        -5.964634244657e-01
 2.41051000e+00,        -1.835435582508e-03,        -5.967429986523e-01
 2.41051500e+00,        -1.835479558900e-03,        -5.970226130438e-01
 2.41052000e+00,        -1.835523554958e-03,        -5.973022676543e-01
 2.41052500e+00,        -1.835567570718e-03,        -5.975819624980e-01
 2.41053000e+00,        -1.835611606184e-03,        -5.978616975888e-01
 2.41053500e+00,        -1.835655661358e-03,        -5.981414729410e-01
 2.41054000e+00,        -1.835699736277e-03,        -5.984212885686e-01
 2.41054500e+00,        -1.835743830899e-03,        -5.987011444859e-01
 2.41055000e+00,        -1.835787945279e-03,        -5.989810407069e-01
 2.41055500e+00,        -1.835832079390e-03,        -5.992609772458e-01
 2.41056000e+00,        -1.835876233290e-03,        -5.995409541167e-01
 2.41056500e+00,        -1.835920406950e-03,        -5.998209713338e-01
 2.41057000e+00,        -1.835964600386e-03,        -6.001010289113e-01
 2.41057500e+00,        -1.836008813626e-03,        -6.003811268633e-01
 2.41058000e+00,        -1.836053046667e-03,        -6.006612652040e-01
 2.41058500e+00,        -1.836097299502e-03,        -6.009414439477e-01
 2.41059000e+00,        -1.836141572178e-03,        -6.012216631084e-01
 2.41059500e+00,        -1.836185864670e-03,        -6.015019227004e-01
 2.41060000e+00,        -1.836230177007e-03,        -6.017822227379e-01
 2.41060500e+00,        -1.836274509191e-03,        -6.020625632352e-01
 2.41061000e+00,        -1.836318861254e-03,        -6.023429442064e-01
 2.41061500e+00,        -1.836363233166e-03,        -6.026233656656e-01
 2.41062000e+00,        -1.836407624972e-03,        -6.029038276274e-01
 2.41062500e+00,        -1.836452036661e-03,        -6.031843301056e-01
 2.41063000e+00,        -1.836496468254e-03,        -6.034648731149e-01
 2.41063500e+00,        -1.836540919753e-03,        -6.037454566692e-01
 2.41064000e+00,        -1.836585391191e-03,        -6.040260807829e-01
 2.41064500e+00,        -1.836629882541e-03,        -6.043067454703e-01
 2.41065000e+00,        -1.836674393823e-03,        -6.045874507456e-01
 2.41065500e+00,        -1.836718925052e-03,        -6.048681966231e-01
 2.41066000e+00,        -1.836763476271e-03,        -6.051489831170e-01
 2.41066500e+00,        -1.836808047446e-03,        -6.054298102418e-01
 2.41067000e+00,        -1.836852638593e-03,        -6.057106780116e-01
 2.41067500e+00,        -1.836897249730e-03,        -6.059915864409e-01
 2.41068000e+00,        -1.836941880885e-03,        -6.062725355438e-01
