        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 2.41000000e+00,        +9.418665062983e-11,        +7.704554020295e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.140459019603e-13,        +2.272571543090e-03,        +9.123119330413e-13,        +1.184120366524e-02,        +2.140459019603e-13,        +2.272571543090e-03,        +9.123119330413e-13,        +1.184120366524e-02,        +1.299182383945e-13,        +1.379369979989e-03,        +5.537179139212e-13,        +7.186891187506e-03,        +5.354115300791e-11,        +5.684579783853e-01,        +3.905042824781e-11,        +5.068486526922e-01,        +1.508341925255e-11,        +1.601439179723e-01,        +1.216918188213e-11,        +1.579479078227e-01,        +4.464920966286e-12,        +4.740502965578e-02,        +5.457794804968e-12,        +7.083855587995e-02,        +5.834866574461e-12,        +6.195003788162e-02,        +6.095361623879e-12,        +7.911375022906e-02,        +1.483226029293e-11,        +1.574773090851e-01,        +1.221792112996e-11,        +1.585805109261e-01,        +8.606639534068e-14,        +9.137854968315e-04,        +5.888226672439e-13,        +7.642527597222e-03
 2.41000500e+00,        +9.419777866108e-11,        +7.705636044110e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.141014174576e-13,        +2.272892423800e-03,        +9.125144501804e-13,        +1.184216909489e-02,        +2.141014174576e-13,        +2.272892423800e-03,        +9.125144501804e-13,        +1.184216909489e-02,        +1.299496245638e-13,        +1.379540222826e-03,        +5.538416832776e-13,        +7.187488224298e-03,        +5.354315079057e-11,        +5.684120321267e-01,        +3.905274174170e-11,        +5.068075045090e-01,        +1.508676902170e-11,        +1.601605604309e-01,        +1.217181737503e-11,        +1.579599309564e-01,        +4.465817273820e-12,        +4.740894464070e-02,        +5.459011192842e-12,        +7.084439443536e-02,        +5.836432777993e-12,        +6.195934618577e-02,        +6.096891121473e-12,        +7.912249016918e-02,        +1.483547327670e-11,        +1.574928144545e-01,        +1.222058584983e-11,        +1.585928245232e-01,        +8.608447827925e-14,        +9.138695147894e-04,        +5.889570267704e-13,        +7.643198087725e-03
 2.41001000e+00,        +9.420891060795e-11,        +7.706718455253e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.141569536760e-13,        +2.273213354172e-03,        +9.127170382286e-13,        +1.184313457833e-02,        +2.141569536760e-13,        +2.273213354172e-03,        +9.127170382286e-13,        +1.184313457833e-02,        +1.299810221452e-13,        +1.379710489235e-03,        +5.539654959472e-13,        +7.188085294197e-03,        +5.354514926267e-11,        +5.683660804178e-01,        +3.905505608499e-11,        +5.067663534325e-01,        +1.509011997764e-11,        +1.601772048977e-01,        +1.217445377959e-11,        +1.579719546040e-01,        +4.466713779169e-12,        +4.741285882986e-02,        +5.460227964650e-12,        +7.085023277227e-02,        +5.837999708666e-12,        +6.196865743370e-02,        +6.098421250191e-12,        +7.913123186736e-02,        +1.483868733655e-11,        +1.575083210367e-01,        +1.222325150558e-11,        +1.586051388351e-01,        +8.610256742726e-14,        +9.139535408236e-04,        +5.890914333467e-13,        +7.643868616287e-03
 2.41001500e+00,        +9.422004647236e-11,        +7.707801253918e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.142125106262e-13,        +2.273534334215e-03,        +9.129196972204e-13,        +1.184410011553e-02,        +2.142125106262e-13,        +2.273534334215e-03,        +9.129196972204e-13,        +1.184410011553e-02,        +1.300124311445e-13,        +1.379880779221e-03,        +5.540893519512e-13,        +7.188682397196e-03,        +5.354714842458e-11,        +5.683201232583e-01,        +3.905737127812e-11,        +5.067251994629e-01,        +1.509347212096e-11,        +1.601938513731e-01,        +1.217709109625e-11,        +1.579839787652e-01,        +4.467610482288e-12,        +4.741677222160e-02,        +5.461445120521e-12,        +7.085607088980e-02,        +5.839567367029e-12,        +6.197797162774e-02,        +6.099952010437e-12,        +7.913997532483e-02,        +1.484190247295e-11,        +1.575238288309e-01,        +1.222591809768e-11,        +1.586174538616e-01,        +8.612066278785e-14,        +9.140375749349e-04,        +5.892258869961e-13,        +7.644539182904e-03
 2.41002000e+00,        +9.423118625628e-11,        +7.708884440298e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.142680883191e-13,        +2.273855363938e-03,        +9.131224271908e-13,        +1.184506570649e-02,        +2.142680883191e-13,        +2.273855363938e-03,        +9.131224271908e-13,        +1.184506570649e-02,        +1.300438515677e-13,        +1.380051092788e-03,        +5.542132513111e-13,        +7.189279533287e-03,        +5.354914827665e-11,        +5.682741606480e-01,        +3.905968732151e-11,        +5.066840426006e-01,        +1.509682545225e-11,        +1.602104998571e-01,        +1.217972932544e-11,        +1.579960034395e-01,        +4.468507383131e-12,        +4.742068481425e-02,        +5.462662660583e-12,        +7.086190878705e-02,        +5.841135753630e-12,        +6.198728877024e-02,        +6.101483402619e-12,        +7.914872054280e-02,        +1.484511868637e-11,        +1.575393378366e-01,        +1.222858562658e-11,        +1.586297696026e-01,        +8.613876436413e-14,        +9.141216171244e-04,        +5.893603877420e-13,        +7.645209787568e-03
 2.41002500e+00,        +9.424232996164e-11,        +7.709968014587e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.143236867654e-13,        +2.274176443352e-03,        +9.133252281743e-13,        +1.184603135118e-02,        +2.143236867654e-13,        +2.274176443352e-03,        +9.133252281743e-13,        +1.184603135118e-02,        +1.300752834205e-13,        +1.380221429939e-03,        +5.543371940480e-13,        +7.189876702461e-03,        +5.355114881925e-11,        +5.682281925866e-01,        +3.906200421560e-11,        +5.066428828458e-01,        +1.510017997211e-11,        +1.602271503501e-01,        +1.218236846760e-11,        +1.580080286267e-01,        +4.469404481652e-12,        +4.742459660613e-02,        +5.463880584964e-12,        +7.086774646311e-02,        +5.842704869020e-12,        +6.199660886353e-02,        +6.103015427142e-12,        +7.915746752251e-02,        +1.484833597727e-11,        +1.575548480530e-01,        +1.223125409274e-11,        +1.586420860579e-01,        +8.615687215924e-14,        +9.142056673929e-04,        +5.894949356076e-13,        +7.645880430273e-03
 2.41003000e+00,        +9.425347759042e-11,        +7.711051976979e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.143793059759e-13,        +2.274497572467e-03,        +9.135281002058e-13,        +1.184699704960e-02,        +2.143793059759e-13,        +2.274497572467e-03,        +9.135281002058e-13,        +1.184699704960e-02,        +1.301067267088e-13,        +1.380391790679e-03,        +5.544611801835e-13,        +7.190473904712e-03,        +5.355315005275e-11,        +5.681822190739e-01,        +3.906432196080e-11,        +5.066017201988e-01,        +1.510353568113e-11,        +1.602438028522e-01,        +1.218500852315e-11,        +1.580200543263e-01,        +4.470301777806e-12,        +4.742850759557e-02,        +5.465098893795e-12,        +7.087358391709e-02,        +5.844274713747e-12,        +6.200593190994e-02,        +6.104548084415e-12,        +7.916621626517e-02,        +1.485155434612e-11,        +1.575703594796e-01,        +1.223392349663e-11,        +1.586544032274e-01,        +8.617498617631e-14,        +9.142897257413e-04,        +5.896295306165e-13,        +7.646551111014e-03
 2.41003500e+00,        +9.426462914455e-11,        +7.712136327667e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.144349459615e-13,        +2.274818751291e-03,        +9.137310433201e-13,        +1.184796280172e-02,        +2.144349459615e-13,        +2.274818751291e-03,        +9.137310433201e-13,        +1.184796280172e-02,        +1.301381814385e-13,        +1.380562175012e-03,        +5.545852097387e-13,        +7.191071140031e-03,        +5.355515197751e-11,        +5.681362401096e-01,        +3.906664055754e-11,        +5.065605546597e-01,        +1.510689257991e-11,        +1.602604573635e-01,        +1.218764949253e-11,        +1.580320805379e-01,        +4.471199271545e-12,        +4.743241778089e-02,        +5.466317587202e-12,        +7.087942114810e-02,        +5.845845288363e-12,        +6.201525791184e-02,        +6.106081374843e-12,        +7.917496677203e-02,        +1.485477379340e-11,        +1.575858721157e-01,        +1.223659383870e-11,        +1.586667211107e-01,        +8.619310641847e-14,        +9.143737921708e-04,        +5.897641727920e-13,        +7.647221829783e-03
 2.41004000e+00,        +9.427578462599e-11,        +7.713221066845e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.144906067329e-13,        +2.275139979835e-03,        +9.139340575521e-13,        +1.184892860754e-02,        +2.144906067329e-13,        +2.275139979835e-03,        +9.139340575521e-13,        +1.184892860754e-02,        +1.301696476155e-13,        +1.380732582942e-03,        +5.547092827352e-13,        +7.191668408411e-03,        +5.355715459389e-11,        +5.680902556935e-01,        +3.906896000626e-11,        +5.065193862289e-01,        +1.511025066905e-11,        +1.602771138845e-01,        +1.219029137618e-11,        +1.580441072612e-01,        +4.472096962823e-12,        +4.743632716041e-02,        +5.467536665315e-12,        +7.088525815522e-02,        +5.847416593419e-12,        +6.202458687156e-02,        +6.107615298836e-12,        +7.918371904430e-02,        +1.485799431958e-11,        +1.576013859606e-01,        +1.223926511942e-11,        +1.586790397079e-01,        +8.621123288886e-14,        +9.144578666820e-04,        +5.898988621574e-13,        +7.647892586576e-03
 2.41004500e+00,        +9.428694403670e-11,        +7.714306194707e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.145462883010e-13,        +2.275461258109e-03,        +9.141371429365e-13,        +1.184989446703e-02,        +2.145462883010e-13,        +2.275461258109e-03,        +9.141371429365e-13,        +1.184989446703e-02,        +1.302011252457e-13,        +1.380903014473e-03,        +5.548333991942e-13,        +7.192265709844e-03,        +5.355915790225e-11,        +5.680442658255e-01,        +3.907128030738e-11,        +5.064782149065e-01,        +1.511360994913e-11,        +1.602937724151e-01,        +1.219293417452e-11,        +1.580561344957e-01,        +4.472994851593e-12,        +4.744023573244e-02,        +5.468756128263e-12,        +7.089109493755e-02,        +5.848988629468e-12,        +6.203391879146e-02,        +6.109149856801e-12,        +7.919247308323e-02,        +1.486121592511e-11,        +1.576169010137e-01,        +1.224193733924e-11,        +1.586913590187e-01,        +8.622936559061e-14,        +9.145419492761e-04,        +5.900335987362e-13,        +7.648563381385e-03
