        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.41000000e+00,        +1.414213562373e-01,        +2.778218149026e-01,        -3.667546957179e-02
 2.41000500e+00,        +1.414213562373e-01,        +2.778216167671e-01,        -3.667620416565e-02
 2.41001000e+00,        +1.414213562373e-01,        +2.778214186019e-01,        -3.667693885255e-02
 2.41001500e+00,        +1.414213562373e-01,        +2.778212204072e-01,        -3.667767363253e-02
 2.41002000e+00,        +1.414213562373e-01,        +2.778210221829e-01,        -3.667840850560e-02
 2.41002500e+00,        +1.414213562373e-01,        +2.778208239289e-01,        -3.667914347182e-02
 2.41003000e+00,        +1.414213562373e-01,        +2.778206256454e-01,        -3.667987853120e-02
 2.41003500e+00,        +1.414213562373e-01,        +2.778204273322e-01,        -3.668061368379e-02
 2.41004000e+00,        +1.414213562373e-01,        +2.778202289893e-01,        -3.668134892961e-02
 2.41004500e+00,        +1.414213562373e-01,        +2.778200306168e-01,        -3.668208426871e-02
 2.41005000e+00,        +1.414213562373e-01,        +2.778198322147e-01,        -3.668281970110e-02
 2.41005500e+00,        +1.414213562373e-01,        +2.778196337828e-01,        -3.668355522684e-02
 2.41006000e+00,        +1.414213562373e-01,        +2.778194353213e-01,        -3.668429084594e-02
 2.41006500e+00,        +1.414213562373e-01,        +2.778192368301e-01,        -3.668502655844e-02
 2.41007000e+00,        +1.414213562373e-01,        +2.778190383092e-01,        -3.668576236438e-02
 2.41007500e+00,        +1.414213562373e-01,        +2.778188397586e-01,        -3.668649826379e-02
 2.41008000e+00,        +1.414213562373e-01,        +2.778186411782e-01,        -3.668723425669e-02
 2.41008500e+00,        +1.414213562373e-01,        +2.778184425681e-01,        -3.668797034314e-02
 2.41009000e+00,        +1.414213562373e-01,        +2.778182439282e-01,        -3.668870652315e-02
 2.41009500e+00,        +1.414213562373e-01,        +2.778180452586e-01,        -3.668944279676e-02
 2.41010000e+00,        +1.414213562373e-01,        +2.778178465592e-01,        -3.669017916400e-02
 2.41010500e+00,        +1.414213562373e-01,        +2.778176478301e-01,        -3.669091562492e-02
 2.41011000e+00,        +1.414213562373e-01,        +2.778174490711e-01,        -3.669165217953e-02
 2.41011500e+00,        +1.414213562373e-01,        +2.778172502824e-01,        -3.669238882788e-02
 2.41012000e+00,        +1.414213562373e-01,        +2.778170514638e-01,        -3.669312557000e-02
 2.41012500e+00,        +1.414213562373e-01,        +2.778168526154e-01,        -3.669386240591e-02
 2.41013000e+00,        +1.414213562373e-01,        +2.778166537371e-01,        -3.669459933566e-02
 2.41013500e+00,        +1.414213562373e-01,        +2.778164548290e-01,        -3.669533635928e-02
 2.41014000e+00,        +1.414213562373e-01,        +2.778162558911e-01,        -3.669607347680e-02
 2.41014500e+00,        +1.414213562373e-01,        +2.778160569233e-01,        -3.669681068825e-02
 2.41015000e+00,        +1.414213562373e-01,        +2.778158579256e-01,        -3.669754799367e-02
 2.41015500e+00,        +1.414213562373e-01,        +2.778156588980e-01,        -3.669828539309e-02
