        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.41000000e+00,        -1.817949666041e-03,        -2.379879436507e-01
 2.41000500e+00,        -1.817991768160e-03,        -2.382622773414e-01
 2.41001000e+00,        -1.818033888997e-03,        -2.385366499708e-01
 2.41001500e+00,        -1.818076028543e-03,        -2.388110615523e-01
 2.41002000e+00,        -1.818118186815e-03,        -2.390855120995e-01
 2.41002500e+00,        -1.818160363836e-03,        -2.393600016258e-01
 2.41003000e+00,        -1.818202559594e-03,        -2.396345301450e-01
 2.41003500e+00,        -1.818244774115e-03,        -2.399090976704e-01
 2.41004000e+00,        -1.818287007398e-03,        -2.401837042158e-01
 2.41004500e+00,        -1.818329259463e-03,        -2.404583497946e-01
 2.41005000e+00,        -1.818371530307e-03,        -2.407330344205e-01
 2.41005500e+00,        -1.818413819940e-03,        -2.410077581070e-01
 2.41006000e+00,        -1.818456128375e-03,        -2.412825208677e-01
 2.41006500e+00,        -1.818498455624e-03,        -2.415573227163e-01
 2.41007000e+00,        -1.818540801696e-03,        -2.418321636662e-01
 2.41007500e+00,        -1.818583166588e-03,        -2.421070437313e-01
 2.41008000e+00,        -1.818625550326e-03,        -2.423819629250e-01
 2.41008500e+00,        -1.818667952917e-03,        -2.426569212609e-01
 2.41009000e+00,        -1.818710374354e-03,        -2.429319187528e-01
 2.41009500e+00,        -1.818752814675e-03,        -2.432069554142e-01
 2.41010000e+00,        -1.818795273852e-03,        -2.434820312588e-01
 2.41010500e+00,        -1.818837751929e-03,        -2.437571463002e-01
 2.41011000e+00,        -1.818880248898e-03,        -2.440323005522e-01
 2.41011500e+00,        -1.818922764769e-03,        -2.443074940282e-01
 2.41012000e+00,        -1.818965299553e-03,        -2.445827267421e-01
 2.41012500e+00,        -1.819007853265e-03,        -2.448579987076e-01
 2.41013000e+00,        -1.819050425895e-03,        -2.451333099381e-01
 2.41013500e+00,        -1.819093017481e-03,        -2.454086604476e-01
 2.41014000e+00,        -1.819135628011e-03,        -2.456840502496e-01
 2.41014500e+00,        -1.819178257508e-03,        -2.459594793579e-01
 2.41015000e+00,        -1.819220905972e-03,        -2.462349477861e-01
 2.41015500e+00,        -1.819263573409e-03,        -2.465104555480e-01
 2.41016000e+00,        -1.819306259840e-03,        -2.467860026572e-01
 2.41016500e+00,        -1.819348965268e-03,        -2.470615891277e-01
 2.41017000e+00,        -1.819391689702e-03,        -2.473372149729e-01
 2.41017500e+00,        -1.819434433145e-03,        -2.476128802068e-01
 2.41018000e+00,        -1.819477195625e-03,        -2.478885848429e-01
 2.41018500e+00,        -1.819519977131e-03,        -2.481643288952e-01
 2.41019000e+00,        -1.819562777693e-03,        -2.484401123774e-01
 2.41019500e+00,        -1.819605597301e-03,        -2.487159353031e-01
 2.41020000e+00,        -1.819648435960e-03,        -2.489917976862e-01
 2.41020500e+00,        -1.819691293734e-03,        -2.492676995404e-01
 2.41021000e+00,        -1.819734170551e-03,        -2.495436408796e-01
 2.41021500e+00,        -1.819777066473e-03,        -2.498196217175e-01
 2.41022000e+00,        -1.819819981498e-03,        -2.500956420680e-01
 2.41022500e+00,        -1.819862915629e-03,        -2.503717019447e-01
 2.41023000e+00,        -1.819905868873e-03,        -2.506478013616e-01
 2.41023500e+00,        -1.819948841258e-03,        -2.509239403325e-01
 2.41024000e+00,        -1.819991832789e-03,        -2.512001188711e-01
 2.41024500e+00,        -1.820034843444e-03,        -2.514763369913e-01
 2.41025000e+00,        -1.820077873279e-03,        -2.517525947069e-01
 2.41025500e+00,        -1.820120922266e-03,        -2.520288920319e-01
 2.41026000e+00,        -1.820163990445e-03,        -2.523052289799e-01
 2.41026500e+00,        -1.820207077805e-03,        -2.525816055649e-01
 2.41027000e+00,        -1.820250184345e-03,        -2.528580218007e-01
 2.41027500e+00,        -1.820293310095e-03,        -2.531344777013e-01
 2.41028000e+00,        -1.820336455073e-03,        -2.534109732805e-01
 2.41028500e+00,        -1.820379619276e-03,        -2.536875085520e-01
 2.41029000e+00,        -1.820422802720e-03,        -2.539640835299e-01
 2.41029500e+00,        -1.820466005391e-03,        -2.542406982281e-01
 2.41030000e+00,        -1.820509227304e-03,        -2.545173526604e-01
 2.41030500e+00,        -1.820552468499e-03,        -2.547940468407e-01
 2.41031000e+00,        -1.820595728959e-03,        -2.550707807830e-01
 2.41031500e+00,        -1.820639008707e-03,        -2.553475545012e-01
 2.41032000e+00,        -1.820682307737e-03,        -2.556243680091e-01
 2.41032500e+00,        -1.820725626075e-03,        -2.559012213209e-01
 2.41033000e+00,        -1.820768963715e-03,        -2.561781144502e-01
 2.41033500e+00,        -1.820812320674e-03,        -2.564550474112e-01
 2.41034000e+00,        -1.820855696974e-03,        -2.567320202177e-01
 2.41034500e+00,        -1.820899092604e-03,        -2.570090328837e-01
 2.41035000e+00,        -1.820942507587e-03,        -2.572860854233e-01
 2.41035500e+00,        -1.820985941925e-03,        -2.575631778503e-01
 2.41036000e+00,        -1.821029395635e-03,        -2.578403101787e-01
 2.41036500e+00,        -1.821072868720e-03,        -2.581174824226e-01
 2.41037000e+00,        -1.821116361196e-03,        -2.583946945959e-01
 2.41037500e+00,        -1.821159873047e-03,        -2.586719467125e-01
 2.41038000e+00,        -1.821203404331e-03,        -2.589492387866e-01
 2.41038500e+00,        -1.821246955018e-03,        -2.592265708322e-01
 2.41039000e+00,        -1.821290525140e-03,        -2.595039428631e-01
 2.41039500e+00,        -1.821334114682e-03,        -2.597813548935e-01
 2.41040000e+00,        -1.821377723678e-03,        -2.600588069374e-01
 2.41040500e+00,        -1.821421352122e-03,        -2.603362990089e-01
 2.41041000e+00,        -1.821465000038e-03,        -2.606138311219e-01
 2.41041500e+00,        -1.821508667422e-03,        -2.608914032905e-01
 2.41042000e+00,        -1.821552354288e-03,        -2.611690155288e-01
 2.41042500e+00,        -1.821596060672e-03,        -2.614466678508e-01
 2.41043000e+00,        -1.821639786525e-03,        -2.617243602707e-01
 2.41043500e+00,        -1.821683531905e-03,        -2.620020928025e-01
 2.41044000e+00,        -1.821727296791e-03,        -2.622798654602e-01
 2.41044500e+00,        -1.821771081236e-03,        -2.625576782580e-01
 2.41045000e+00,        -1.821814885210e-03,        -2.628355312099e-01
 2.41045500e+00,        -1.821858708733e-03,        -2.631134243302e-01
 2.41046000e+00,        -1.821902551809e-03,        -2.633913576327e-01
 2.41046500e+00,        -1.821946414470e-03,        -2.636693311318e-01
 2.41047000e+00,        -1.821990296707e-03,        -2.639473448414e-01
 2.41047500e+00,        -1.822034198535e-03,        -2.642253987758e-01
 2.41048000e+00,        -1.822078119960e-03,        -2.645034929491e-01
 2.41048500e+00,        -1.822122061004e-03,        -2.647816273754e-01
 2.41049000e+00,        -1.822166021648e-03,        -2.650598020689e-01
