        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41000000e+00,        +7.755760224665e-11,        +7.706824512855e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.150321929397e-13,        +2.772548231388e-03,        +9.092669388602e-13,        +1.179820479036e-02,        +2.150321929397e-13,        +2.772548231388e-03,        +9.092669388602e-13,        +1.179820479036e-02,        +1.304394253697e-13,        +1.681839324466e-03,        +5.530619280084e-13,        +7.176262117891e-03,        +7.712555323000e-11,        +9.944293144174e-01,        +7.501577274394e-11,        +9.733681183322e-01,        +8.657739834520e-14,        +1.116298026722e-03,        +5.901435177411e-13,        +7.657414759564e-03
 2.41000500e+00,        +7.756885064084e-11,        +7.707917337498e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.150885831539e-13,        +2.772873149169e-03,        +9.094699457428e-13,        +1.179916579175e-02,        +2.150885831539e-13,        +2.772873149169e-03,        +9.094699457428e-13,        +1.179916579175e-02,        +1.304712805615e-13,        +1.682006107911e-03,        +5.531864058533e-13,        +7.176859605929e-03,        +7.713669495910e-11,        +9.944287471302e-01,        +7.502623769364e-11,        +9.733658835267e-01,        +8.659581802293e-14,        +1.116373612700e-03,        +5.902793297418e-13,        +7.658091075654e-03
 2.41001000e+00,        +7.758010305882e-11,        +7.709010560036e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.151449949046e-13,        +2.773198106498e-03,        +9.096730247077e-13,        +1.180012684667e-02,        +2.151449949046e-13,        +2.773198106498e-03,        +9.096730247077e-13,        +1.180012684667e-02,        +1.305031475980e-13,        +1.682172908421e-03,        +5.533109279447e-13,        +7.177457128066e-03,        +7.714784067213e-11,        +9.944281797826e-01,        +7.503670645754e-11,        +9.733636485924e-01,        +8.661424418525e-14,        +1.116449202440e-03,        +5.904151901698e-13,        +7.658767432886e-03
 2.41001500e+00,        +7.759135950267e-11,        +7.710104180677e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.152014282037e-13,        +2.773523103386e-03,        +9.098761757916e-13,        +1.180108795510e-02,        +2.152014282037e-13,        +2.773523103386e-03,        +9.098761757916e-13,        +1.180108795510e-02,        +1.305350264856e-13,        +1.682339725999e-03,        +5.534354943052e-13,        +7.178054684296e-03,        +7.715899037114e-11,        +9.944276123747e-01,        +7.504717903763e-11,        +9.733614135293e-01,        +8.663267683559e-14,        +1.116524795942e-03,        +5.905510990501e-13,        +7.659443831254e-03
 2.41002000e+00,        +7.760261997450e-11,        +7.711198199629e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.152578830630e-13,        +2.773848139841e-03,        +9.100793990311e-13,        +1.180204911702e-02,        +2.152578830630e-13,        +2.773848139841e-03,        +9.100793990311e-13,        +1.180204911702e-02,        +1.305669172308e-13,        +1.682506560651e-03,        +5.535601049575e-13,        +7.178652274611e-03,        +7.717014405822e-11,        +9.944270449063e-01,        +7.505765543590e-11,        +9.733591783376e-01,        +8.665111597741e-14,        +1.116600393207e-03,        +5.906870564080e-13,        +7.660120270756e-03
 2.41002500e+00,        +7.761388447638e-11,        +7.712292617100e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.153143594943e-13,        +2.774173215873e-03,        +9.102826944630e-13,        +1.180301033242e-02,        +2.153143594943e-13,        +2.774173215873e-03,        +9.102826944630e-13,        +1.180301033242e-02,        +1.305988198398e-13,        +1.682673412378e-03,        +5.536847599242e-13,        +7.179249899007e-03,        +7.718130173544e-11,        +9.944264773775e-01,        +7.506813565434e-11,        +9.733569430172e-01,        +8.666956161417e-14,        +1.116675994236e-03,        +5.908230622684e-13,        +7.660796751389e-03
 2.41003000e+00,        +7.762515301044e-11,        +7.713387433296e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.153708575093e-13,        +2.774498331492e-03,        +9.104860621239e-13,        +1.180397160129e-02,        +2.153708575093e-13,        +2.774498331492e-03,        +9.104860621239e-13,        +1.180397160129e-02,        +1.306307343191e-13,        +1.682840281185e-03,        +5.538094592281e-13,        +7.179847557475e-03,        +7.719246340486e-11,        +9.944259097883e-01,        +7.507861969495e-11,        +9.733547075681e-01,        +8.668801374933e-14,        +1.116751599030e-03,        +5.909591166564e-13,        +7.661473273149e-03
 2.41003500e+00,        +7.763642557874e-11,        +7.714482648427e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.154273771199e-13,        +2.774823486707e-03,        +9.106895020505e-13,        +1.180493292361e-02,        +2.154273771199e-13,        +2.774823486707e-03,        +9.106895020505e-13,        +1.180493292361e-02,        +1.306626606751e-13,        +1.683007167075e-03,        +5.539342028918e-13,        +7.180445250010e-03,        +7.720362906856e-11,        +9.944253421386e-01,        +7.508910755973e-11,        +9.733524719903e-01,        +8.670647238634e-14,        +1.116827207590e-03,        +5.910952195972e-13,        +7.662149836033e-03
 2.41004000e+00,        +7.764770218341e-11,        +7.715578262701e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.154839183379e-13,        +2.775148681527e-03,        +9.108930142797e-13,        +1.180589429937e-02,        +2.154839183379e-13,        +2.775148681527e-03,        +9.108930142797e-13,        +1.180589429937e-02,        +1.306945989143e-13,        +1.683174070053e-03,        +5.540589909381e-13,        +7.181042976605e-03,        +7.721479872862e-11,        +9.944247744285e-01,        +7.509959925067e-11,        +9.733502362840e-01,        +8.672493752867e-14,        +1.116902819916e-03,        +5.912313711161e-13,        +7.662826440038e-03
 2.41004500e+00,        +7.765898282653e-11,        +7.716674276325e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.155404811752e-13,        +2.775473915963e-03,        +9.110965988482e-13,        +1.180685572856e-02,        +2.155404811752e-13,        +2.775473915963e-03,        +9.110965988482e-13,        +1.180685572856e-02,        +1.307265490430e-13,        +1.683340990121e-03,        +5.541838233898e-13,        +7.181640737254e-03,        +7.722597238713e-11,        +9.944242066579e-01,        +7.511009476977e-11,        +9.733480004490e-01,        +8.674340917978e-14,        +1.116978436011e-03,        +5.913675712380e-13,        +7.663503085161e-03
